
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 9, 1998 (WEEK 18)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1998
Meningococcal Disease cummulative for 1997
Mumps current week
Mumps cummulative for 1998
Mumps cummulative for 1997
Pertussis current week
Pertussis cummulative for 1998
Pertussis cummulative for 1997
Rubella current week
Rubella cummulative for 1998
Rubella cummulative for 1997

tab delimited data:
test
UNITED STATES	1,111	1,509	10	161	225	40	1,256	1,881	22	191	23										
NEW ENGLAND	59	92	-	-	7	5	220	451	3	30	-										
Maine	4	8	-	-	-	-	5	6	-	-	-										
N.H.	1	9	-	-	-	-	19	54	-	-	-										
Vt.	1	2	-	-	-	-	23	150	-	-	-										
Mass.	27	52	-	-	2	5	167	224	-	4	-										
R.I.	3	5	-	-	4	-	-	12	-	-	-										
Conn.	23	16	-	-	1	-	6	5	3	26	-										
MID. ATLANTIC	114	147	-	6	29	4	152	171	8	88	9										
Upstate N.Y.	29	33	-	3	4	4	95	59	8	88	1										
N.Y. City	13	25	-	-	1	-	-	43	-	-	8										
N.J.	33	30	-	-	4	-	-	9	-	-	-										
Pa.	39	59	-	3	20	-	57	60	-	-	-										
E.N. CENTRAL	147	219	-	24	30	-	138	194	-	-	3										
Ohio	58	81	-	11	9	-	53	57	-	-	-										
Ind.	25	22	U	2	4	U	40	19	U	-	-										
Ill.	32	74	-	1	9	-	10	26	-	-	-										
Mich.	15	20	-	10	7	-	18	28	-	-	-										
Wis.	17	22	-	-	1	-	17	64	-	-	3										
W.N. CENTRAL	94	112	-	16	7	1	97	104	-	2	-										
Minn.	16	17	-	9	3	-	58	63	-	-	-										
Iowa	14	22	-	5	3	1	17	7	-	-	-										
Mo.	38	56	-	1	-	-	9	17	-	1	-										
N. Dak.	-	-	-	1	-	-	-	2	-	-	-										
S. Dak.	6	3	-	-	-	-	4	1	-	-	-										
Nebr.	4	4	-	-	1	-	3	2	-	-	-										
Kans.	16	10	-	-	-	-	6	12	-	1	-										
S. ATLANTIC	192	247	7	29	33	3	97	164	-	5	1										
Del.	1	4	-	-	-	-	-	-	-	-	-										
Md.	18	26	-	-	4	1	19	68	-	-	-										
D.C.	-	5	-	-	-	-	1	2	-	-	-										
Va.	19	23	-	4	4	-	6	18	-	-	1										
W. Va.	5	9	-	-	-	-	1	3	-	-	-										
N.C.	25	41	-	6	6	-	40	35	-	3	-										
S.C.	30	34	1	4	7	-	10	8	-	1	-										
Ga.	40	47	U	1	4	U	1	2	U	-	-										
Fla.	54	58	6	14	8	2	19	28	-	1	-										
E.S. CENTRAL	79	105	-	-	13	-	34	37	-	-	-										
Ky.	13	27	-	-	2	-	15	10	-	-	-										
Tenn.	35	33	-	-	3	-	9	12	-	-	-										
Ala.	31	29	-	-	4	-	10	9	-	-	-										
Miss.	-	16	U	-	4	U	-	6	U	-	-										
W.S. CENTRAL	123	145	-	22	27	5	68	35	11	51	1										
Ark.	14	22	U	-	-	U	8	2	U	-	-										
La.	24	28	-	1	7	-	-	7	-	-	-										
Okla.	21	14	-	-	-	-	6	5	-	-	-										
Tex.	64	81	-	21	20	5	54	21	11	51	1										
MOUNTAIN	68	88	-	14	11	7	279	453	-	5	-										
Mont.	2	5	-	-	-	-	1	2	-	-	-										
Idaho	3	5	-	1	2	2	131	298	-	-	-										
Wyo.	3	-	-	1	1	-	7	3	-	-	-										
Colo.	16	27	-	2	2	-	43	114	-	-	-										
N. Mex.	12	15	N	N	N	5	55	21	-	1	-										
Ariz.	22	16	-	4	-	-	22	9	-	1	-										
Utah	7	11	-	1	3	-	13	2	-	2	-										
Nev.	3	9	U	5	3	U	7	4	U	1	-										
PACIFIC	235	354	3	50	68	15	171	272	-	10	9										
Wash.	26	43	-	4	5	15	101	129	-	8	-										
Oreg.	45	70	N	N	N	-	8	10	-	-	-										
Calif.	159	238	3	32	49	-	58	127	-	1	4										
Alaska	1	1	-	2	4	-	-	2	-	-	-										
Hawaii	4	2	-	12	10	-	4	4	-	1	5										
Guam	-	1	U	-	1	U	-	-	U	-	-										
P.R.	2	6	-	2	4	-	2	-	-	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	1	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


