
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending July 4, 1998 (WEEK 26)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1998
H. influenzae, Invasive cummulative for 1997
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1997
Hepatitis (Viral), Type B cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1997
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1998
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1998
Measles (Rubeola), Total cummulative for 1998
Measles (Rubeola), Total cummulative for 1997

tab delimited data:
test
UNITED STATES	563	617	10,981	13,854	3,908	4,610	-	24	-	13	37	73									
NEW ENGLAND	33	35	140	312	62	84	-	1	-	1	2	10									
Maine	2	3	13	41	2	6	-	-	-	-	-	-									
N.H.	5	5	7	18	10	5	-	-	-	-	-	1									
Vt.	2	3	13	7	1	5	-	-	-	-	-	-									
Mass.	22	21	42	154	17	37	-	1	-	1	2	8									
R.I.	2	2	9	28	32	8	-	-	-	-	-	-									
Conn.	-	1	56	64	-	23	-	-	-	-	-	1									
MID. ATLANTIC	80	84	706	1,148	575	670	-	9	-	2	11	16									
Upstate N.Y.	33	19	166	157	158	127	-	2	-	-	2	4									
N.Y. City	15	23	188	512	143	266	-	-	-	-	-	5									
N.J.	28	28	161	177	105	128	-	7	-	1	8	2									
Pa.	4	14	191	302	169	149	-	-	-	1	1	5									
E.N. CENTRAL	84	92	1,356	1,481	385	774	-	9	-	3	12	8									
Ohio	34	46	177	200	37	42	-	-	-	1	1	-									
Ind.	23	8	89	146	37	55	-	2	-	1	3	-									
Ill.	23	25	219	374	67	146	-	-	-	-	-	6									
Mich.	-	13	773	650	228	234	-	7	-	1	8	2									
Wis.	4	-	98	111	16	297	-	-	-	-	-	-									
W.N. CENTRAL	51	30	875	1,021	176	265	-	-	-	-	-	11									
Minn.	37	21	69	90	18	23	-	-	-	-	-	2									
Iowa	1	3	374	159	33	20	-	-	-	-	-	-									
Mo.	8	3	346	556	98	194	U	-	U	-	-	1									
N. Dak.	-	-	3	9	4	3	-	-	-	-	-	-									
S. Dak.	-	2	16	14	1	-	-	-	-	-	-	8									
Nebr.	-	1	15	41	7	8	-	-	-	-	-	-									
Kans.	5	-	52	152	15	17	-	-	-	-	-	-									
S. ATLANTIC	119	101	946	748	569	548	-	2	-	5	7	3									
Del.	-	-	2	16	-	3	-	-	-	1	1	-									
Md.	38	42	173	118	83	82	-	-	-	1	1	1									
D.C.	-	-	30	14	6	21	-	-	-	-	-	1									
Va.	12	7	129	99	53	64	-	-	-	2	2	-									
W. Va.	4	3	1	6	3	9	-	-	-	-	-	-									
N.C.	15	17	51	105	111	121	-	-	-	-	-	1									
S.C.	4	3	17	65	8	60	-	-	-	-	-	-									
Ga.	24	20	253	173	92	57	-	-	-	1	1	-									
Fla.	22	9	290	152	213	131	-	2	-	-	2	-									
E.S. CENTRAL	31	37	180	347	189	359	-	-	-	-	-	1									
Ky.	4	4	12	44	22	22	-	-	-	-	-	-									
Tenn.	20	23	123	212	135	240	-	-	-	-	-	-									
Ala.	7	8	45	52	32	38	-	-	-	-	-	1									
Miss.	U	2	U	39	U	59	U	U	U	U	U	-									
W.S. CENTRAL	30	29	2,072	2,832	646	547	-	-	-	-	-	4									
Ark.	-	2	43	127	46	41	-	-	-	-	-	-									
La.	13	6	41	110	47	63	-	-	-	-	-	-									
Okla.	15	19	283	845	31	18	-	-	-	-	-	-									
Tex.	2	2	1,705	1,750	522	425	-	-	-	-	-	4									
MOUNTAIN	67	64	1,732	2,048	434	447	-	-	-	-	-	7									
Mont.	-	-	56	50	3	5	-	-	-	-	-	-									
Idaho	-	1	142	77	18	15	-	-	-	-	-	-									
Wyo.	-	1	23	20	2	14	-	-	-	-	-	-									
Colo.	14	9	131	231	52	85	-	-	-	-	-	-									
N. Mex.	5	6	85	162	176	149	-	-	-	-	-	-									
Ariz.	38	23	1,108	957	119	96	-	-	-	-	-	5									
Utah	4	3	118	346	39	53	-	-	-	-	-	-									
Nev.	6	21	69	205	25	30	U	-	U	-	-	2									
PACIFIC	68	145	2,974	3,917	872	916	-	3	-	2	5	13									
Wash.	4	2	573	280	64	39	-	-	-	1	1	-									
Oreg.	29	24	209	193	58	57	-	-	-	-	-	-									
Calif.	28	113	2,155	3,345	739	803	-	3	-	1	4	10									
Alaska	1	1	14	22	6	11	-	-	-	-	-	-									
Hawaii	6	5	23	77	5	6	-	-	-	-	-	3									
Guam	-	-	-	-	-	3	U	-	U	-	-	-									
P.R.	2	-	23	180	238	391	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	5	1	1	28	26	U	-	U	-	-	1									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


