
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 29, 2000 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2000
Meningococcal Disease cummulative for 1999
Mumps current week
Mumps cummulative for 2000
Mumps cummulative for 1999
Pertussis current week
Pertussis cummulative for 2000
Pertussis cummulative for 1999
Rubella current week
Rubella cummulative for 2000
Rubella cummulative for 1999

tab delimited data:
test
UNITED STATES	138	137	4	7	21	48	182	277	-	-	-										
NEW ENGLAND	6	15	-	-	3	4	33	45	-	-	-										
Maine	1	2	-	-	-	-	-	-	-	-	-										
N.H.	-	2	-	-	1	-	8	1	-	-	-										
Vt.	1	1	-	-	-	-	18	5	-	-	-										
Mass.	3	10	-	-	2	4	7	39	-	-	-										
R.I.	-	-	U	-	-	U	-	-	U	-	-										
Conn.	1	-	-	-	-	-	-	-	-	-	-										
MID. ATLANTIC	5	21	-	-	4	8	10	8	-	-	-										
Upstate N.Y.	2	3	-	-	-	8	10	2	-	-	-										
N.Y. City	2	8	-	-	2	-	-	4	-	-	-										
N.J.	1	6	U	-	-	U	-	2	U	-	-										
Pa.	-	4	-	-	2	-	-	-	-	-	-										
E.N. CENTRAL	17	14	-	-	1	18	73	44	-	-	-										
Ohio	6	10	-	-	-	18	72	36	-	-	-										
Ind.	-	3	-	-	-	-	-	-	-	-	-										
Ill.	4	-	-	-	1	-	-	3	-	-	-										
Mich.	7	1	-	-	-	-	1	2	-	-	-										
Wis.	-	-	U	-	-	U	-	3	U	-	-										
W.N. CENTRAL	18	15	-	1	1	1	2	7	-	-	-										
Minn.	-	-	-	-	-	1	1	-	-	-	-										
Iowa	3	2	-	1	1	-	-	4	-	-	-										
Mo.	15	7	-	-	-	-	1	-	-	-	-										
N. Dak.	-	-	U	-	-	U	-	-	U	-	-										
S. Dak.	-	3	-	-	-	-	-	1	-	-	-										
Nebr.	-	1	-	-	-	-	-	-	-	-	-										
Kans.	-	2	U	-	-	U	-	2	U	-	-										
S. ATLANTIC	21	13	-	1	2	9	16	21	-	-	-										
Del.	-	-	-	-	-	-	-	-	-	-	-										
Md.	3	6	-	-	-	1	3	12	-	-	-										
D.C.	-	-	-	-	-	-	-	-	-	-	-										
Va.	5	1	-	-	-	-	1	1	-	-	-										
W. Va.	-	-	-	-	-	-	-	-	-	-	-										
N.C.	7	3	-	-	1	-	4	7	-	-	-										
S.C.	4	3	-	1	1	8	8	1	-	-	-										
Ga.	-	-	-	-	-	-	-	-	-	-	-										
Fla.	2	-	U	-	-	U	-	-	U	-	-										
E.S. CENTRAL	3	14	-	-	-	-	5	8	-	-	-										
Ky.	1	-	-	-	-	-	3	1	-	-	-										
Tenn.	-	6	-	-	-	-	-	3	-	-	-										
Ala.	2	5	-	-	-	-	2	4	-	-	-										
Miss.	-	3	-	-	-	-	-	-	-	-	-										
W.S. CENTRAL	1	6	-	-	2	-	1	7	-	-	-										
Ark.	1	1	-	-	-	-	1	2	-	-	-										
La.	-	2	U	-	-	U	-	-	U	-	-										
Okla.	-	2	-	-	-	-	-	-	-	-	-										
Tex.	-	1	U	-	2	U	-	5	U	-	-										
MOUNTAIN	7	16	-	-	1	7	35	64	-	-	-										
Mont.	-	-	-	-	-	-	-	-	-	-	-										
Idaho	1	2	-	-	-	1	1	31	-	-	-										
Wyo.	-	1	-	-	-	-	-	1	-	-	-										
Colo.	-	4	U	-	-	U	17	12	U	-	-										
N. Mex.	1	2	N	N	N	1	10	5	-	-	-										
Ariz.	4	4	-	-	-	5	5	6	-	-	-										
Utah	1	2	-	-	-	-	2	8	-	-	-										
Nev.	-	1	U	-	1	U	-	1	U	-	-										
PACIFIC	60	23	4	5	7	1	7	73	-	-	-										
Wash.	4	3	-	-	-	-	1	1	-	-	-										
Oreg.	12	6	N	N	N	1	4	2	-	-	-										
Calif.	44	9	4	5	4	-	-	69	-	-	-										
Alaska	-	3	-	-	-	-	2	-	-	-	-										
Hawaii	-	2	U	-	3	U	-	1	U	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	-	-	-	-	-	-	-	-	-	-	-										
V.I.	-	U	U	-	U	U	-	U	U	-	U										
Amer. Samoa	-	U	U	-	U	U	-	U	U	-	U										
C.N.M.I.	-	U	U	-	U	U	-	U	U	-	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


