
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending July 2, 2011 (WEEK 26)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2011
Shigellosis cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2011
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2010

tab delimited data:
test
UNITED STATES	180	253	742	4,610	6,744	6	2	11	47	64	56	22	245	373	527						
NEW ENGLAND	-	3	20	77	183	-	0	0	-	-	-	0	1	1	1						
Conn.	-	0	18	18	69	-	0	0	-	-	-	0	0	-	-						
Maine	-	0	4	14	3	-	0	0	-	-	-	0	1	-	1						
Mass.	-	2	16	42	96	-	0	0	-	-	-	0	0	-	-						
N.H.	-	0	2	1	5	-	0	0	-	-	-	0	1	-	-						
R.I.	-	0	4	-	9	-	0	0	-	-	-	0	1	1	-						
Vt.	-	0	1	2	1	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	8	15	74	282	911	-	0	1	3	2	-	1	6	12	43						
N.J.	-	3	16	40	211	-	0	0	-	1	-	0	4	-	30						
N.Y. (Upstate)	6	3	18	90	82	-	0	0	-	1	-	0	3	2	2						
N.Y. City	1	4	14	101	163	-	0	0	-	-	-	0	2	5	6						
Pa.	1	4	56	51	455	-	0	1	3	-	-	0	2	5	5						
E.N. CENTRAL	1	16	37	258	958	-	0	1	-	-	1	1	7	21	38						
Ill.	-	6	20	64	599	-	0	1	-	-	-	0	4	11	18						
Ind.	-	1	4	27	26	-	0	1	-	-	1	0	3	8	12						
Mich.	1	4	9	73	121	-	0	0	-	-	-	0	1	-	1						
Ohio	-	4	15	94	166	-	0	0	-	-	-	0	2	2	4						
Wis.	-	0	4	-	46	-	0	0	-	-	-	0	1	-	3						
