
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending August 28, 2010 (WEEK 34)*

column labels in same order that data fields appears in each record below:
Reporting Area
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2009
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2009

tab delimited data:
test
UNITED STATES	4	2	14	100	116	18	15	421	873	1,021											
NEW ENGLAND	-	0	1	-	2	-	0	1	1	9											
Conn.	-	0	0	-	-	-	0	0	-	-											
Maine	-	0	0	-	-	-	0	1	1	4											
Mass.	-	0	0	-	1	-	0	1	-	5											
N.H.	-	0	0	-	-	-	0	1	-	-											
R.I.	-	0	0	-	-	-	0	0	-	-											
Vt.	-	0	1	-	1	-	0	0	-	-											
MID. ATLANTIC	-	0	2	13	9	-	1	5	39	73											
N.J.	-	0	0	-	2	-	0	3	-	48											
N.Y. (Upstate)	-	0	1	1	-	-	0	3	10	10											
N.Y. City	-	0	1	1	-	-	0	4	19	5											
Pa.	-	0	2	11	7	-	0	1	10	10											
E.N. CENTRAL	1	0	1	4	8	-	0	7	52	70											
Ill.	-	0	1	2	1	-	0	5	19	43											
Ind.	1	0	1	2	3	-	0	5	25	8											
Mich.	-	0	1	-	3	-	0	2	3	1											
Ohio	-	0	0	-	-	-	0	2	5	15											
Wis.	-	0	0	-	1	-	0	1	-	3											
W.N. CENTRAL	-	0	2	8	16	1	2	19	173	218											
Iowa	-	0	0	-	1	-	0	1	2	4											
Kans.	-	0	1	2	1	-	0	0	-	-											
Minn.	-	0	1	-	1	-	0	1	-	1											
Mo.	-	0	1	5	6	-	2	18	166	209											
Nebr.	-	0	1	1	7	1	0	1	4	4											
N. Dak.	-	0	0	-	-	-	0	1	1	-											
S. Dak.	-	0	0	-	-	-	0	0	-	-											
S. ATLANTIC	3	1	10	53	55	13	5	59	319	310											
Del.	-	0	1	1	-	-	0	2	14	15											
D.C.	-	0	0	-	-	-	0	1	-	-											
Fla.	-	0	1	2	-	1	0	1	7	4											
Ga.	-	0	6	33	45	-	0	0	-	-											
Md.	-	0	1	1	2	-	0	4	28	32											
N.C.	2	0	3	11	5	10	1	48	178	200											
S.C.	1	0	0	1	3	1	0	2	10	15											
Va.	-	0	2	4	-	1	1	11	82	43											
W. Va.	-	0	0	-	-	-	0	1	-	1											
E.S. CENTRAL	-	0	2	11	7	2	3	28	235	204											
Ala.	-	0	1	2	3	-	1	8	44	46											
Ky.	-	0	2	6	1	-	0	0	-	-											
Miss.	-	0	0	-	-	-	0	1	2	9											
Tenn.	-	0	2	3	3	2	3	20	189	149											
W.S. CENTRAL	-	0	3	1	6	2	1	408	48	114											
Ark.	-	0	1	-	-	-	0	110	20	59											
La.	-	0	0	-	-	-	0	1	2	2											
Okla.	-	0	2	-	5	1	0	287	16	39											
Tex.	-	0	1	1	1	1	0	11	10	14											
MOUNTAIN	-	0	2	3	12	-	0	3	5	23											
Ariz.	-	0	2	1	6	-	0	2	1	11											
Colo.	-	0	0	-	1	-	0	0	-	-											
Idaho	-	0	0	-	-	-	0	1	2	1											
Mont.	-	0	1	2	4	-	0	1	1	6											
Nev.	-	0	0	-	-	-	0	0	-	1											
N. Mex.	-	0	0	-	-	-	0	1	1	1											
Utah	-	0	0	-	-	-	0	0	-	1											
Wyo.	-	0	0	-	1	-	0	0	-	2											
PACIFIC	-	0	2	7	1	-	0	1	1	-											
Alaska	N	0	0	N	N	N	0	0	N	N											
Calif.	-	0	2	6	1	-	0	0	-	-											
Hawaii	N	0	0	N	N	N	0	0	N	N											
Oreg.	-	0	1	1	-	-	0	1	1	-											
Wash.	-	0	0	-	-	-	0	0	-	-											
Amer. Samoa	N	0	0	N	N	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	N	0	0	N	N	N	0	0	N	N											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2009 and 2010 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Illnesses with similar clinical presentation that result from Spotted fever group rickettsia infections are reported as Spotted fever rickettsiosis. Rocky Mountain Spotted Fever (RMSF) caused by Rickettsia rickettsii, is the most common and well-known spotted fever.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


