
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending January 6, 2001 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis NETSS cummulative for 2001
Shigellosis NETSS cummulative for 2000
Shigellosis PHLIS cummulative for 2001
Shigellosis PHLIS cummulative for 2000
Syphilis (Primary and Secondary) cummulative for 2001
Syphilis (Primary and Secondary) cummulative for 2000
Tuberculosis cummulative for 2001
Tuberculosis cummulative for 2000

tab delimited data:
test
UNITED STATES	56	193	-	127	70	87	58	94													
NEW ENGLAND	-	3	-	5	1	1	-	-													
Maine	-	-	-	-	-	-	-	-													
N.H.	-	-	-	-	-	-	-	-													
Vt.	-	-	-	-	-	-	-	-													
Mass.	-	1	-	4	1	1	-	-													
R.I.	-	-	-	-	-	-	-	-													
Conn.	-	2	-	1	-	-	-	-													
MID. ATLANTIC	5	18	-	21	-	3	-	1													
Upstate N.Y.	5	-	-	4	-	-	-	-													
N.Y. City	-	7	-	12	-	1	-	1													
N.J.	-	10	-	4	-	2	-	-													
Pa.	-	1	-	1	-	-	-	-													
E.N. CENTRAL	10	65	-	16	2	19	1	2													
Ohio	4	6	-	-	-	-	1	-													
Ind.	-	2	-	-	-	5	-	-													
Ill.	-	35	-	-	2	14	-	2													
Mich.	6	20	-	15	-	-	-	-													
Wis.	-	2	-	1	-	-	-	-													
W.N. CENTRAL	6	6	-	10	-	-	-	-													
Minn.	-	-	-	3	-	-	-	-													
Iowa	-	2	-	4	-	-	-	-													
Mo.	5	4	-	2	-	-	-	-													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	1	-	-	1	-	-	-	-													
Kans.	-	-	-	-	-	-	-	-													
S. ATLANTIC	13	2	-	8	10	32	2	15													
Del.	-	-	-	-	-	-	-	-													
Md.	2	-	-	-	1	9	-	-													
D.C.	1	-	U	U	-	-	2	-													
Va.	-	-	-	4	-	9	-	-													
W. Va.	-	-	-	-	-	-	-	1													
N.C.	10	1	-	-	8	5	-	-													
S.C.	-	-	-	-	-	2	-	14													
Ga.	-	-	-	2	-	1	-	-													
Fla.	-	1	-	2	1	6	-	-													
E.S. CENTRAL	6	12	-	10	54	15	-	2													
Ky.	-	1	-	-	-	-	-	-													
Tenn.	-	-	-	10	11	15	-	-													
Ala.	6	1	-	-	-	-	-	2													
Miss.	-	10	-	-	43	-	-	-													
W.S. CENTRAL	-	44	-	42	1	10	3	26													
Ark.	-	-	-	-	-	1	3	-													
La.	-	7	-	1	1	3	-	-													
Okla.	-	-	-	1	-	2	-	-													
Tex.	-	37	-	40	-	4	-	26													
MOUNTAIN	6	12	-	7	-	-	-	2													
Mont.	-	-	-	-	-	-	-	-													
Idaho	-	1	-	1	-	-	-	-													
Wyo.	-	-	-	-	-	-	-	-													
Colo.	-	4	-	1	-	-	-	-													
N. Mex.	6	2	-	1	-	-	-	2													
Ariz.	-	-	-	4	-	-	-	-													
Utah	-	-	-	-	-	-	-	-													
Nev.	-	5	-	-	-	-	-	-													
PACIFIC	10	31	-	8	2	7	52	46													
Wash.	-	-	-	4	2	-	4	-													
Oreg.	3	4	-	3	-	-	-	-													
Calif.	7	25	-	-	-	7	48	45													
Alaska	-	-	-	-	-	-	-	-													
Hawaii	-	2	-	1	-	-	-	1													
Guam	-	-	U	U	-	-	-	-													
P.R.	-	-	U	U	4	3	-	-													
V.I.	U	U	U	U	U	U	U	U													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	U	U	U	U	U	U	U	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


