
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 19, 2013 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia trachomatis infection current week
Chlamydia trachomatis infection previous 52 weeks median 
Chlamydia trachomatis infection previous 52 weeks maximum 
Chlamydia trachomatis infection cummulative for 2013
Chlamydia trachomatis infection cummulative for 2012
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2013
Coccidioidomycosis cummulative for 2012
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2013
Cryptosporidiosis cummulative for 2012

tab delimited data:
test
UNITED STATES	14,066	26,966	30,287	48,556	76,247	12	287	551	60	1,154	32	125	279	130	322						
NEW ENGLAND	737	948	1,349	1,966	2,098	-	0	1	-	-	-	7	19	3	18						
Conn.	93	243	567	250	426	N	0	0	N	N	-	1	3	2	4						
Maine	-	62	101	-	172	N	0	0	N	N	-	1	4	-	2						
Mass.	580	471	706	1,422	1,115	-	0	0	-	-	-	3	8	-	6						
N.H.	-	59	83	52	165	-	0	1	-	-	-	1	4	-	3						
R.I.	-	84	186	124	220	-	0	1	-	-	-	0	3	-	-						
Vt.	64	28	87	118	-	N	0	0	N	N	-	1	6	1	3						
MID. ATLANTIC	1,841	3,857	4,335	6,863	10,398	-	0	1	-	-	2	12	41	15	34						
N.J.	217	546	640	1,136	1,617	N	0	0	N	N	-	0	4	-	3						
N.Y. (Upstate)	644	722	1,393	1,145	1,220	N	0	0	N	N	-	2	18	-	4						
N.Y. City	-	1,128	1,320	1,237	3,500	N	0	0	N	N	-	2	8	1	6						
Pa.	980	1,496	1,817	3,345	4,061	-	0	1	-	-	2	7	21	14	21						
E.N. CENTRAL	1,387	4,136	4,652	5,612	12,231	-	1	4	1	3	2	29	108	23	88						
Ill.	40	1,120	1,508	621	3,742	N	0	0	N	N	-	3	8	-	7						
Ind.	175	573	838	818	1,424	N	0	0	N	N	-	3	8	-	7						
Mich.	507	922	1,207	1,486	2,720	-	0	3	1	1	1	5	40	4	19						
Ohio	359	1,025	1,189	1,637	3,009	-	0	2	-	2	1	10	28	12	33						
Wis.	306	468	551	1,050	1,336	-	0	0	-	-	-	9	41	7	22						
W.N. CENTRAL	202	1,554	1,788	1,831	4,965	-	2	8	-	4	2	16	41	9	32						
Iowa	12	214	274	291	843	N	0	0	N	N	-	5	22	1	15						
Kans.	16	209	292	247	811	N	0	0	N	N	-	1	4	-	2						
Minn.	-	315	365	-	1,026	-	2	7	-	4	-	0	0	-	-						
Mo.	154	545	657	853	1,539	-	0	1	-	-	1	4	12	2	6						
Nebr.	-	134	196	265	370	-	0	1	-	-	1	2	10	5	2						
N. Dak.	1	51	73	24	151	-	0	0	-	-	-	0	3	-	2						
S. Dak.	19	73	106	151	225	N	0	0	N	N	-	2	6	1	5						
S. ATLANTIC	3,774	5,263	6,335	10,855	16,063	-	0	1	-	-	16	19	59	41	54						
Del.	150	82	322	419	177	-	0	1	-	-	-	0	4	-	1						
D.C.	-	133	239	234	324	-	0	0	-	-	N	0	0	N	N						
Fla.	939	1,510	1,729	3,327	4,083	N	0	0	N	N	1	9	24	15	22						
Ga.	922	959	1,230	2,327	2,907	N	0	0	N	N	4	4	15	7	13						
Md.	178	428	1,127	764	797	-	0	1	-	-	1	1	4	4	9						
N.C.	1,511	889	1,475	1,786	4,013	N	0	0	N	N	9	0	29	9	-						
S.C.	-	515	908	367	1,494	N	0	0	N	N	1	1	4	4	6						
Va.	-	663	903	1,393	2,070	N	0	0	N	N	-	3	6	2	3						
W. Va.	74	91	149	238	198	N	0	0	N	N	-	0	1	-	-						
E.S. CENTRAL	745	1,988	2,647	1,748	5,605	-	0	0	-	-	1	5	14	7	18						
Ala.	-	584	862	-	1,516	N	0	0	N	N	1	2	6	7	7						
Ky.	371	328	787	743	549	N	0	0	N	N	-	1	4	-	1						
Miss.	374	417	792	1,005	1,752	N	0	0	N	N	-	0	4	-	3						
Tenn.	-	636	827	-	1,788	N	0	0	N	N	-	1	5	-	7						
W.S. CENTRAL	2,270	3,259	4,356	8,207	8,191	-	0	1	-	-	6	9	20	14	16						
Ark.	332	327	412	920	921	N	0	0	N	N	1	1	5	1	2						
La.	209	411	1,316	730	442	-	0	1	-	-	1	2	7	7	6						
Okla.	264	80	201	273	209	N	0	0	N	N	2	1	6	3	1						
Tex.	1,465	2,472	3,447	6,284	6,619	N	0	0	N	N	2	4	15	3	7						
MOUNTAIN	1,095	1,788	2,071	3,702	4,604	-	209	440	1	790	-	11	44	5	25						
Ariz.	207	597	872	969	1,693	-	204	438	1	782	-	1	4	1	-						
Colo.	337	421	556	1,111	1,067	N	0	0	N	N	-	1	7	1	2						
Idaho	19	86	157	162	234	N	0	0	N	N	-	3	25	1	6						
Mont.	56	74	108	160	204	-	0	1	-	-	-	1	4	-	3						
Nev.	212	212	325	488	248	-	1	7	-	3	-	0	2	-	2						
N. Mex.	255	220	463	702	544	-	0	4	-	2	-	1	7	1	5						
Utah	9	150	179	82	537	-	1	4	-	3	-	2	20	1	4						
Wyo.	-	35	62	28	77	-	0	2	-	-	-	0	4	-	3						
PACIFIC	2,015	4,169	4,922	7,772	12,092	12	69	143	58	357	3	12	25	13	37						
Alaska	26	105	150	236	346	N	0	0	N	N	-	0	1	-	-						
Calif.	1,428	3,226	3,822	5,991	9,546	12	69	143	58	356	3	7	15	11	24						
Hawaii	-	121	148	67	325	N	0	0	N	N	-	0	1	-	1						
Oreg.	199	260	368	549	739	-	0	1	-	1	-	4	11	2	12						
Wash.	362	462	607	929	1,136	-	0	0	-	-	-	1	12	-	-						
Amer. Samoa	-	0	59	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
P.R.	-	111	307	133	76	N	0	0	N	N	N	0	0	N	N						
V.I.	-	14	29	-	35	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2012 and 2013 are provisional and subject to change.
