
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending July 31, 2004 (WEEK 30)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	18,587	20,431	5,884	13,157	3,038	3,979	1,374	1,346	377	467											
NEW ENGLAND	984	1,070	138	171	137	359	18	71	7	6											
Maine	41	71	2	6	6	22	2	-	1	-											
N.H.	51	83	5	5	15	23	-	-	N	N											
Vt.	32	38	2	5	8	16	7	6	1	3											
Mass.	583	635	85	116	91	160	N	N	N	N											
R.I.	48	40	9	4	17	5	9	10	5	3											
Conn.	229	203	35	35	-	133	-	55	U	U											
MID. ATLANTIC	2,891	2,449	679	1,400	519	697	99	90	75	68											
Upstate N.Y.	610	514	310	191	171	266	46	48	51	49											
N.Y. City	645	665	192	221	72	94	U	U	U	U											
N.J.	432	422	119	241	118	138	-	-	4	2											
Pa.	1,204	848	58	747	158	199	53	42	20	17											
E.N. CENTRAL	2,105	3,016	393	1,122	617	976	322	310	107	204											
Ohio	695	758	90	211	165	234	232	202	56	74											
Ind.	212	291	87	79	70	93	90	108	22	19											
Ill.	321	1,113	87	598	133	243	-	-	-	77											
Mich.	453	416	64	158	213	281	N	N	N	N											
Wis.	424	438	65	76	36	125	N	N	29	34											
W.N. CENTRAL	1,316	1,169	223	407	208	238	11	11	55	53											
Minn.	309	284	27	54	106	113	-	-	38	37											
Iowa	260	198	43	28	N	N	N	N	N	N											
Mo.	377	378	103	207	43	52	8	7	8	2											
N. Dak.	19	23	2	6	9	12	-	3	2	4											
S. Dak.	55	51	7	9	9	19	3	1	-	-											
Nebr.	86	81	11	63	10	22	-	-	5	5											
Kans.	210	154	30	40	31	20	N	N	2	5											
S. ATLANTIC	4,640	4,606	1,578	4,140	595	664	712	705	27	12											
Del.	37	49	4	144	3	6	4	1	N	N											
Md.	468	420	76	341	124	165	-	6	16	-											
D.C.	25	15	24	32	4	5	4	-	3	4											
Va.	560	492	82	234	51	81	N	N	N	N											
W. Va.	105	63	3	-	17	30	82	50	8	8											
N.C.	571	543	172	573	85	78	N	N	U	U											
S.C.	303	226	204	259	35	32	65	102	N	N											
Ga.	699	861	350	828	122	129	160	156	N	N											
Fla.	1,872	1,937	663	1,729	154	138	397	390	N	N											
E.S. CENTRAL	1,085	1,336	348	575	142	137	81	99	-	-											
Ky.	187	219	43	63	49	36	21	12	N	N											
Tenn.	223	388	130	201	93	101	60	87	N	N											
Ala.	326	315	143	189	-	-	-	-	N	N											
Miss.	349	414	32	122	-	-	-	-	-	-											
W.S. CENTRAL	1,557	2,949	1,338	3,528	170	181	36	52	73	72											
Ark.	264	325	37	59	12	6	6	17	7	4											
La.	274	414	170	276	2	1	30	35	12	14											
Okla.	191	213	281	507	43	58	N	N	30	35											
Tex.	828	1,997	850	2,686	113	116	N	N	24	19											
MOUNTAIN	1,258	1,128	422	548	344	337	23	4	33	52											
Mont.	79	54	4	2	-	1	-	-	-	-											
Idaho	98	101	7	13	6	14	N	N	N	N											
Wyo.	29	51	1	3	6	2	6	3	-	-											
Colo.	304	279	73	98	92	92	-	-	30	40											
N. Mex.	119	113	60	109	59	84	5	-	-	8											
Ariz.	406	336	230	267	151	121	N	N	N	N											
Utah	127	106	24	27	28	22	10	1	3	4											
Nev.	96	88	23	29	2	1	2	-	-	-											
PACIFIC	2,751	2,708	765	1,266	306	390	72	4	-	-											
Wash.	260	318	58	104	34	41	-	-	N	N											
Oreg.	225	240	39	87	N	N	N	N	N	N											
Calif.	2,026	1,990	639	1,052	216	281	N	N	N	N											
Alaska	38	50	4	4	-	-	-	-	N	N											
Hawaii	202	110	25	19	56	68	72	4	-	-											
Guam	-	28	-	23	-	-	-	-	-	-											
P.R.	105	364	1	9	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	3	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


