
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending June 18, 2005 (WEEK 24)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	16,504	17,900	403,105	420,887	1,937	2,489	836	1,104													
NEW ENGLAND	673	598	14,119	14,015	-	-	45	67													
Maine	8	5	938	893	N	N	6	13													
N.H.	10	23	856	771	-	-	7	14													
Vt.	4	13	464	530	-	-	10	7													
Mass.	331	184	6,461	6,178	-	-	15	22													
R.I.	68	66	1,415	1,661	-	-	1	2													
Conn.	252	307	3,985	3,982	N	N	6	9													
MID. ATLANTIC	3,059	4,097	48,827	52,097	-	-	120	180													
Upstate N.Y.	318	472	10,242	10,223	N	N	32	36													
N.Y. City	1,725	2,310	16,654	15,970	-	-	28	55													
N.J.	472	672	5,227	8,368	N	N	7	14													
Pa.	544	643	16,704	17,536	N	N	53	75													
E.N. CENTRAL	1,387	1,470	61,254	75,761	4	5	175	278													
Ohio	209	229	15,572	19,608	N	N	62	65													
Ind.	198	194	9,156	8,384	N	N	11	31													
Ill.	664	702	18,381	21,459	-	-	12	45													
Mich.	246	263	10,835	17,899	4	5	28	51													
Wis.	70	82	7,310	8,411	N	N	62	86													
W.N. CENTRAL	394	327	24,167	25,525	3	4	127	130													
Minn.	104	78	3,856	5,370	3	N	37	51													
Iowa	48	26	2,951	3,082	N	N	20	18													
Mo.	163	127	10,209	9,358	-	3	47	20													
N. Dak.	5	13	472	895	N	N	-	6													
S. Dak.	9	5	1,283	1,124	-	-	11	16													
Nebr.	18	21	2,393	2,370	-	1	1	7													
Kans.	47	57	3,003	3,326	N	N	11	12													
S. ATLANTIC	5,315	5,616	77,582	78,700	-	-	169	197													
Del.	81	80	1,508	1,348	N	N	-	-													
Md.	637	684	8,242	8,540	-	-	11	9													
D.C.	407	332	1,727	1,666	-	-	2	4													
Va.	273	282	9,241	9,924	-	-	13	23													
W. Va.	30	30	1,121	1,288	N	N	4	2													
N.C.	399	295	15,218	13,236	N	N	24	36													
S.C.	287	328	9,699	8,451	-	-	7	9													
Ga.	896	779	11,345	14,809	-	-	42	59													
Fla.	2,305	2,806	19,481	19,438	N	N	66	55													
E.S. CENTRAL	896	815	28,417	26,326	-	3	23	46													
Ky.	118	68	4,852	2,500	N	N	8	14													
Tenn.	369	365	10,108	10,314	N	N	4	13													
Ala.	244	202	4,062	6,380	-	-	10	11													
Miss.	165	180	9,395	7,132	-	3	1	8													
W.S. CENTRAL	1,896	2,355	51,088	53,812	-	2	22	43													
Ark.	71	88	3,982	3,756	-	1	1	7													
La.	370	444	8,664	12,040	-	1	3	-													
Okla.	113	87	4,795	4,991	N	N	10	11													
Tex.	1,342	1,736	33,647	33,025	N	N	8	25													
MOUNTAIN	643	612	24,493	23,248	1,283	1,507	51	49													
Mont.	4	-	972	1,185	N	N	8	10													
Idaho	7	10	1,054	1,343	N	N	3	4													
Wyo.	1	6	501	491	2	-	2	2													
Colo.	127	133	6,336	6,071	N	N	18	23													
N. Mex.	60	88	1,945	3,961	3	10	2	2													
Ariz.	258	198	8,842	6,254	1,245	1,461	4	6													
Utah	33	31	1,864	1,555	2	6	7	1													
Nev.	153	146	2,979	2,388	31	30	7	1													
PACIFIC	2,241	2,010	73,158	71,403	647	968	104	114													
Wash.	196	165	8,768	8,058	N	N	5	-													
Oreg.	117	110	3,966	3,693	-	-	18	14													
Calif.	1,865	1,676	56,517	55,262	647	968	81	98													
Alaska	10	13	1,782	1,781	-	-	-	-													
Hawaii	53	46	2,125	2,609	-	-	-	2													
Guam	1	-	-	660	-	-	-	-													
P.R.	335	208	2,029	1,657	N	N	N	N													
V.I.	8	5	32	173	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


