
TABLE I.  Provisional cases of infrequently reported notifiable diseases (<1,000 cases reported during the preceding year), United States, week ending July 21, 2007 (WEEK 29)*

column labels in same order that data fields appears in each record below:
Disease
Current week
Cummulative for 2007
5-year weekly average†
Total cases reported for year 2006
Total cases reported for year 2005
Total cases reported for year 2004
Total cases reported for year 2003
Total cases reported for year 2002
States reporting cases during current week (No.)

tab delimited data:
test
Anthrax	-	-	0	1	-	-	-	2		
Botulism:										
foodborne	-	3	1	20	19	16	20	28		
infant	-	45	2	97	85	87	76	69		
other(wound & unspecified)	-	12	1	48	31	30	33	21		
Brucellosis	1	59	2	121	120	114	104	125	NC (1 )	
Chancroid	-	15	1	33	17	30	54	67		
Cholera	-	-	0	9	8	5	2	2		
Cyclosporiasis §	1	54	8	136	543	171	75	156	PA (1 )	
Diphtheria	-	-	-	-	-	-	1	1		
Domestic arboviral diseases §, ¶ :										
California serogroup	-	1	5	67	80	112	108	164		
eastern equine	-	-	1	8	21	6	14	10		
Powassan	-	-	0	1	1	1	-	1		
St. Louis	-	2	1	10	13	12	41	28		
western equine	-	-	-	-	-	-	-	-		
Ehrlichiosis §:										
human granulocytic	13	102	21	646	786	537	362	511	NY (8 ), MN (4 ), OR (1 )	
human monocytic	10	151	15	578	506	338	321	216	NY (1 ), MO (2 ), VA (1 ), FL (2 ), TN (2 ), AL (1 ), OK (1 )	
human (other & unspecified)	6	54	5	231	112	59	44	23	NY (2 ), NE (1 ), MD (2 ), AR (1 )	
Haemophilus influenzae**, invasive disease (age &lt;5 yrs):										
serotype B	-	6	0	29	9	19	32	34		
nonserotype B	1	55	2	173	135	135	117	144	MN (1 )	
unknown serotype	7	154	3	181	217	177	227	153	NY (1 ), PA (1 ), OH (1 ), MI (1 ), FL (2 ), CO (1 )	
Hansen disease §	2	29	2	66	87	105	95	96	MI (1 ), AR (1 )	
Hantavirus pulmonary syndrome §	1	14	1	40	26	24	26	19	CO (1 )	
Hemolytic uremic syndrome, post-diarrheal §	2	83	6	288	221	200	178	216	MN (2 )	
Hepatitis C viral, acute	7	349	20	802	652	713	1,102	1,835	RI (1 ), NY (1 ), MN (2 ), NC (1 ), OK (2 )	
