
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending October 15, 2005 (WEEK 41)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	20,405	30,659	719,661	723,643	3,514	4,507	5,582	2,875													
NEW ENGLAND	778	974	25,021	23,970	-	-	269	152													
Maine	11	20	1,712	1,625	N	N	19	18													
N.H.	20	36	1,433	1,359	-	-	28	27													
Vt.	4	14	753	892	-	-	33	21													
Mass.	368	337	11,276	10,598	-	-	114	56													
R.I.	68	109	2,593	2,719	-	-	7	4													
Conn.	307	458	7,254	6,777	N	N	68	26													
MID. ATLANTIC	4,352	6,898	89,581	88,467	-	-	2,351	423													
Upstate N.Y.	800	772	17,763	17,842	N	N	2,006	101													
N.Y. City	2,327	3,892	28,652	27,291	-	-	93	111													
N.J.	574	1,143	13,778	14,048	N	N	41	39													
Pa.	651	1,091	29,388	29,286	N	N	211	172													
E.N. CENTRAL	1,938	2,673	116,613	127,706	8	12	1,243	897													
Ohio	312	504	31,298	31,416	N	N	679	191													
Ind.	236	285	15,913	14,654	N	N	61	69													
Ill.	983	1,267	34,691	37,584	-	-	99	137													
Mich.	322	485	19,891	29,065	8	12	84	126													
Wis.	85	132	14,820	14,987	N	N	320	374													
W.N. CENTRAL	463	626	44,723	44,594	5	6	488	325													
Minn.	123	148	8,873	9,352	3	N	108	109													
Iowa	50	50	5,546	5,452	N	N	96	67													
Mo.	198	267	17,645	16,460	1	3	221	59													
N. Dak.	5	15	921	1,455	N	N	1	10													
S. Dak.	10	8	2,202	1,966	-	-	23	33													
Nebr.	18	44	4,041	4,081	1	3	7	24													
Kans.	59	94	5,495	5,828	N	N	32	23													
S. ATLANTIC	6,473	9,345	139,503	136,208	1	-	546	434													
Del.	100	118	2,648	2,289	N	N	3	-													
Md.	812	1,251	14,620	14,950	1	-	30	17													
D.C.	467	621	3,085	2,807	-	-	10	14													
Va.	307	506	16,668	17,810	-	-	52	49													
W. Va.	36	63	2,096	2,231	N	N	12	5													
N.C.	531	471	25,379	22,926	N	N	70	65													
S.C.	386	534	17,055	14,746	-	-	15	20													
Ga.	1,103	1,298	24,152	25,498	-	-	94	155													
Fla.	2,731	4,483	33,800	32,951	N	N	260	109													
E.S. CENTRAL	1,093	1,515	53,031	47,290	-	5	170	117													
Ky.	135	183	6,976	4,494	N	N	120	37													
Tenn.	434	617	18,955	17,764	N	N	30	32													
Ala.	295	350	11,491	10,631	-	-	16	21													
Miss.	229	365	15,609	14,401	-	5	4	27													
W.S. CENTRAL	2,206	3,548	83,119	88,661	1	3	165	97													
Ark.	72	175	6,878	6,374	-	1	4	13													
La.	436	704	12,572	17,757	1	2	73	3													
Okla.	167	147	8,634	8,672	N	N	36	18													
Tex.	1,531	2,522	55,035	55,858	N	N	52	63													
MOUNTAIN	789	1,126	41,457	43,979	2,413	2,792	103	144													
Mont.	4	5	1,569	1,925	N	N	16	34													
Idaho	9	16	1,826	2,192	N	N	10	23													
Wyo.	2	14	885	828	3	2	2	3													
Colo.	163	247	10,576	11,239	N	N	38	49													
N. Mex.	72	148	4,394	7,067	12	20	3	14													
Ariz.	329	403	13,900	12,732	2,361	2,699	10	15													
Utah	33	51	3,406	2,929	5	20	15	4													
Nev.	177	242	4,901	5,067	32	51	9	2													
PACIFIC	2,313	3,954	126,613	122,768	1,086	1,689	247	286													
Wash.	229	309	14,668	13,800	N	N	39	33													
Oreg.	136	236	6,327	6,537	-	-	58	29													
Calif.	1,874	3,283	99,732	95,094	1,086	1,689	146	222													
Alaska	14	32	3,177	3,042	-	-	3	-													
Hawaii	60	94	2,709	4,295	-	-	1	2													
Guam	1	1	-	803	-	-	-	-													
P.R.	537	594	2,901	2,691	N	N	N	N													
V.I.	10	10	119	276	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


