
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending July 21, 2007 (WEEK 29)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2007
Pertussis cummulative for 2006
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2007
Rabies, animal cummulative for 2006
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2007
Rocky Mountain Spotted Fever cummulative for 2006

tab delimited data:
test
UNITED STATES	81	199	1,479	4,386	7,328	50	94	171	2,421	2,827	20	29	211	729	890						
NEW ENGLAND	-	32	77	590	846	6	12	22	309	202	-	0	10	-	8						
Conn.	-	2	10	18	44	3	5	14	123	82	-	0	0	-	-						
Maine	-	2	15	38	27	-	2	8	43	49	-	0	0	-	-						
Mass.	-	22	46	476	539	-	0	0	-	-	-	0	1	-	7						
N.H.	-	2	9	34	133	3	1	4	23	18	-	0	0	-	1						
R.I.	-	0	31	4	25	-	0	3	18	16	-	0	9	-	-						
Vt.	-	0	9	20	78	-	2	13	102	37	-	0	0	-	-						
MID. ATLANTIC	17	30	155	623	903	-	13	44	420	251	-	1	6	29	43						
N.J.	-	3	16	65	165	-	0	0	-	-	-	0	4	1	24						
N.Y. (Upstate)	12	17	146	337	345	-	-	-	-	-	-	0	1	1	-						
N.Y. City	-	2	6	51	52	-	1	5	28	9	-	0	3	14	9						
Pa.	5	8	20	170	341	-	12	44	392	242	-	0	3	13	10						
E.N. CENTRAL	9	40	80	852	1,081	7	2	18	104	60	-	0	9	11	33						
Ill.	-	6	23	78	272	3	1	7	34	15	-	0	4	4	16						
Ind.	-	2	45	30	110	-	0	2	6	4	-	0	1	2	3						
Mich.	3	9	39	145	237	4	0	5	29	26	-	0	1	2	1						
Ohio	6	15	54	424	327	-	0	12	35	15	-	0	4	3	12						
Wis.	-	4	24	175	135	-	0	0	-	-	-	0	0	-	1						
W.N. CENTRAL	4	14	151	275	725	3	6	17	147	164	9	4	13	107	94						
Iowa	-	4	16	80	186	-	0	7	19	28	-	0	1	4	3						
Kans.	2	3	14	86	151	-	2	8	79	47	-	0	1	1	-						
Minn.	-	0	119	-	105	1	0	4	11	24	-	0	2	1	1						
Mo.	-	3	10	44	194	2	1	6	18	26	7	3	12	93	75						
Nebr.	2	1	4	22	68	-	0	0	-	-	2	0	5	6	15						
N. Dak.	-	0	18	4	4	-	0	6	11	13	-	0	0	-	-						
S. Dak.	-	0	6	39	17	-	0	2	9	26	-	0	1	2	-						
S. ATLANTIC	11	19	163	503	604	21	40	65	1,104	1,302	4	13	67	380	521						
Del.	1	0	2	7	3	-	0	0	-	-	-	0	2	7	12						
D.C.	-	0	2	2	3	-	0	0	-	-	-	0	1	1	-						
Fla.	9	4	18	133	118	-	0	28	72	176	3	0	4	13	8						
Ga.	-	1	5	14	54	-	4	16	97	143	-	0	5	10	26						
Md.	1	2	8	65	90	-	6	12	159	237	-	1	7	26	41						
N.C.	-	2	112	180	109	8	10	21	278	255	1	6	61	247	383						
S.C.	-	2	11	44	85	-	2	11	46	86	-	1	6	25	16						
Va.	-	2	17	48	120	13	13	31	413	352	-	2	12	49	34						
W. Va.	-	0	19	10	22	-	1	8	39	53	-	0	2	2	1						
E.S. CENTRAL	7	5	24	135	180	1	3	11	81	144	4	5	27	127	139						
Ala.	-	1	18	40	35	-	0	8	-	48	1	1	9	32	34						
Ky.	-	0	5	2	37	-	0	4	10	7	-	0	1	3	1						
Miss.	6	0	10	35	19	-	0	0	-	4	-	0	1	2	2						
Tenn.	1	3	9	58	89	1	2	6	71	85	3	4	22	90	102						
W.S. CENTRAL	19	20	226	497	414	2	6	35	62	499	2	1	168	56	31						
Ark.	3	2	17	97	41	2	0	5	17	20	-	0	53	14	21						
La.	-	0	2	8	18	-	0	1	-	2	-	0	1	-	-						
Okla.	1	0	36	3	16	-	0	22	45	44	2	0	108	34	5						
Tex.	15	17	174	389	339	-	0	34	-	433	-	0	7	8	5						
MOUNTAIN	8	27	61	631	1,699	7	3	28	78	89	1	0	4	17	19						
Ariz.	-	6	17	159	358	7	2	10	57	69	-	0	2	-	7						
Colo.	8	6	17	174	542	-	0	0	-	-	-	0	1	1	2						
Idaho	-	1	6	23	46	-	0	24	-	-	1	0	3	3	1						
Mont.	-	1	7	30	76	-	0	2	5	7	-	0	1	1	2						
Nev.	-	0	5	3	53	-	0	2	1	2	-	0	0	-	-						
N. Mex.	-	2	8	25	58	-	0	2	4	6	-	0	1	3	4						
Utah	-	8	47	203	517	-	0	1	5	3	-	0	0	-	-						
Wyo.	-	1	5	14	49	-	0	2	6	2	-	0	2	9	3						
PACIFIC	6	17	547	280	876	3	4	13	116	116	-	0	1	2	2						
Alaska	2	1	8	26	42	-	0	6	34	14	N	0	0	N	N						
Calif.	-	13	225	99	684	2	3	12	77	97	-	0	0	-	-						
Hawaii	-	0	3	13	71	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	1	11	59	79	1	0	4	5	5	-	0	1	2	2						
Wash.	4	0	377	83	-	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	-	-	U	U	U	-	-	U	U	U	-	-	U	U						
Guam	-	1	7	-	22	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	1	-	-	-	1	5	26	56	N	0	0	N	N						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


