
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending November 29, 2003 (WEEK 48)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2002
Giardiasis cummulative for 2003
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2003
Gonorrhea cummulative for 2002

tab delimited data:
test
UNITED STATES	2,392	3,488	251	180	123	50	16,681	19,182	286,681	324,771											
NEW ENGLAND	152	254	53	46	16	6	1,311	1,650	6,578	7,181											
Maine	10	37	3	8	1	-	172	194	162	126											
N.H.	12	33	2	-	-	-	22	41	76	115											
Vt.	17	12	-	1	-	1	114	133	78	90											
Mass.	64	116	8	19	15	5	677	894	2,817	3,018											
R.I.	1	12	-	1	-	-	106	145	867	843											
Conn.	48	44	40	17	-	-	220	243	2,578	2,989											
MID. ATLANTIC	225	390	19	1	35	7	3,264	3,923	38,849	39,318											
Upstate N.Y.	90	157	11	-	17	-	980	1,154	7,244	7,985											
N.Y. City	5	18	-	-	-	-	1,045	1,347	12,794	11,787											
N.J.	20	59	1	-	-	1	314	454	6,292	7,207											
Pa.	110	156	7	1	18	6	925	968	12,519	12,339											
E.N. CENTRAL	541	820	23	31	22	6	2,732	3,354	57,535	68,847											
Ohio	127	151	17	11	21	5	855	874	16,046	20,227											
Ind.	88	75	-	1	-	-	-	-	6,092	6,913											
Ill.	111	181	-	6	-	-	700	954	18,380	22,405											
Mich.	85	132	-	3	-	1	675	870	12,267	13,472											
Wis.	130	281	6	10	1	-	502	656	4,750	5,830											
W.N. CENTRAL	420	496	54	30	20	6	1,882	1,960	15,122	16,734											
Minn.	132	157	23	25	1	-	735	744	2,541	2,863											
Iowa	102	117	-	-	-	-	253	293	775	1,267											
Mo.	84	68	18	-	1	-	471	471	7,864	8,225											
N. Dak.	13	18	4	-	8	2	35	31	72	70											
S. Dak.	28	40	4	2	-	-	82	74	208	253											
Nebr.	33	65	4	3	-	-	110	170	1,414	1,452											
Kans.	28	31	1	-	10	4	196	177	2,248	2,604											
S. ATLANTIC	143	348	67	34	9	1	2,593	2,743	71,042	82,483											
Del.	11	9	N	N	N	N	46	53	1,045	1,486											
Md.	11	27	-	-	-	-	111	107	7,276	8,431											
D.C.	1	-	-	-	-	-	49	43	2,335	2,472											
Va.	37	66	11	10	-	-	335	305	7,310	9,643											
W. Va.	5	9	-	-	-	1	40	57	786	901											
N.C.	4	130	29	-	-	-	N	N	13,956	14,694											
S.C.	2	5	-	-	-	-	130	132	7,781	8,704											
Ga.	30	43	4	8	-	-	859	856	14,196	16,466											
Fla.	42	59	23	16	9	-	1,023	1,190	16,357	19,686											
E.S. CENTRAL	79	105	2	-	7	10	327	369	23,549	27,885											
Ky.	26	30	2	-	7	10	N	N	3,298	3,476											
Tenn.	34	46	-	-	-	-	168	176	7,749	8,711											
Ala.	13	18	-	-	-	-	159	193	7,037	9,444											
Miss.	6	11	-	-	-	-	-	-	5,465	6,254											
W.S. CENTRAL	85	106	5	2	9	9	274	238	38,441	44,602											
Ark.	12	11	-	-	-	-	138	160	3,612	4,294											
La.	3	4	-	-	-	-	10	6	9,683	10,799											
Okla.	28	22	-	-	-	-	125	69	4,168	4,377											
Tex.	42	69	5	2	9	9	1	3	20,978	25,132											
MOUNTAIN	315	328	24	29	5	5	1,503	1,566	8,889	10,426											
Mont.	16	30	-	-	-	-	106	87	96	106											
Idaho	79	42	15	18	-	-	181	122	67	87											
Wyo.	4	14	1	2	-	-	21	29	40	55											
Colo.	71	97	3	6	5	5	418	537	2,377	3,249											
N. Mex.	10	12	4	3	-	-	48	140	1,007	1,371											
Ariz.	39	33	N	N	N	N	245	189	3,201	3,396											
Utah	73	72	-	-	-	-	351	310	342	335											
Nev.	23	28	1	-	-	-	133	152	1,759	1,827											
PACIFIC	432	641	4	7	-	-	2,795	3,379	26,676	27,295											
Wash.	108	139	1	-	-	-	322	414	2,517	2,686											
Oreg.	97	203	3	7	-	-	372	416	901	822											
Calif.	215	256	-	-	-	-	1,937	2,357	21,935	22,529											
Alaska	4	7	-	-	-	-	82	108	495	571											
Hawaii	8	36	-	-	-	-	82	84	828	687											
Guam	N	N	-	-	-	-	-	7	-	45											
P.R.	-	1	-	-	36	-	129	81	188	323											
V.I.	-	-	-	-	-	-	-	-	55	31											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


