
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending October 16, 1999 (WEEK 41)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1999
H. influenzae, Invasive cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1999
Hepatitis (Viral), Type B cummulative for 1998
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1999
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1999
Measles (Rubeola), Total cummulative for 1999
Measles (Rubeola), Total cummulative for 1998

tab delimited data:
test
UNITED STATES	929	865	12,152	17,755	5,025	7,671	-	50	-	23	73	76									
NEW ENGLAND	75	59	219	237	76	168	-	6	-	5	11	3									
Maine	5	2	11	16	1	2	-	-	-	-	-	-									
N.H.	17	10	15	11	13	15	-	-	-	1	1	-									
Vt.	5	6	16	14	2	8	-	-	-	-	-	1									
Mass.	27	35	64	106	32	59	-	5	-	3	8	2									
R.I.	5	5	14	14	28	58	-	-	-	-	-	-									
Conn.	16	1	99	76	-	26	-	1	-	1	2	-									
MID. ATLANTIC	139	138	733	1,382	512	995	-	-	-	2	2	14									
Upstate N.Y.	68	47	215	284	153	189	-	-	-	2	2	2									
N.Y. City	31	37	212	487	157	349	-	-	-	-	-	-									
N.J.	39	47	57	283	40	173	-	-	-	-	-	8									
Pa.	1	7	249	328	162	284	-	-	-	-	-	4									
E.N. CENTRAL	142	149	2,280	2,855	523	1,166	-	1	-	1	2	15									
Ohio	50	45	542	258	78	64	-	-	-	-	-	1									
Ind.	20	36	95	125	36	92	-	1	-	-	1	3									
Ill.	59	52	516	645	1	199	-	-	-	-	-	-									
Mich.	13	9	1,091	1,658	403	375	-	-	-	1	1	10									
Wis.	-	7	36	169	5	436	-	-	-	-	-	1									
W.N. CENTRAL	79	75	630	1,176	249	326	-	-	-	-	-	-									
Minn.	38	58	61	108	41	41	-	-	-	-	-	-									
Iowa	9	2	117	379	33	48	-	-	-	-	-	-									
Mo.	23	8	352	551	133	191	-	-	-	-	-	-									
N. Dak.	1	-	2	3	-	4	U	-	U	-	-	-									
S. Dak.	1	-	8	21	1	2	-	-	-	-	-	-									
Nebr.	3	1	50	25	14	18	-	-	-	-	-	-									
Kans.	4	6	40	89	27	22	U	-	U	-	-	-									
S. ATLANTIC	209	158	1,652	1,546	995	807	-	9	-	6	15	8									
Del.	-	-	2	3	1	3	U	-	U	-	-	1									
Md.	54	50	297	333	139	115	-	-	-	-	-	1									
D.C.	4	-	54	55	21	11	U	-	U	-	-	-									
Va.	16	16	138	173	74	84	-	9	-	3	12	2									
W. Va.	6	6	32	6	22	8	-	-	-	-	-	-									
N.C.	29	23	132	99	194	173	-	-	-	1	1	-									
S.C.	5	3	41	33	63	31	-	-	-	-	-	-									
Ga.	55	35	400	485	143	127	-	-	-	-	-	2									
Fla.	40	25	556	359	338	255	-	-	-	2	2	2									
E.S. CENTRAL	52	48	324	323	341	404	-	2	-	-	2	2									
Ky.	6	7	55	27	34	40	-	2	-	-	2	-									
Tenn.	28	28	142	186	170	226	-	-	-	-	-	1									
Ala.	15	11	45	59	68	62	-	-	-	-	-	1									
Miss.	3	2	82	51	69	76	-	-	-	-	-	-									
W.S. CENTRAL	45	44	2,357	3,120	702	1,693	-	5	-	4	9	-									
Ark.	2	-	46	73	38	89	-	-	-	-	-	-									
La.	7	20	73	76	77	121	U	-	U	-	-	-									
Okla.	32	22	383	471	107	71	-	-	-	-	-	-									
Tex.	4	2	1,855	2,500	480	1,412	-	5	-	4	9	-									
MOUNTAIN	96	96	1,069	2,687	474	684	-	3	-	-	3	-									
Mont.	2	-	17	85	17	5	-	-	-	-	-	-									
Idaho	1	-	35	221	25	38	-	-	-	-	-	-									
Wyo.	1	1	7	33	12	7	-	-	-	-	-	-									
Colo.	11	21	187	263	77	87	-	-	-	-	-	-									
N. Mex.	18	5	42	124	149	267	-	-	-	-	-	-									
Ariz.	52	46	625	1,607	127	149	-	1	-	-	1	-									
Utah	8	4	42	163	27	62	-	2	-	-	2	-									
Nev.	3	19	114	191	40	69	U	-	U	-	-	-									
PACIFIC	92	98	2,888	4,429	1,153	1,428	-	24	-	5	29	34									
Wash.	4	8	263	853	55	86	-	-	-	-	-	1									
Oreg.	36	37	212	348	78	150	-	9	-	-	9	-									
Calif.	40	43	2,393	3,162	994	1,167	-	15	-	4	19	7									
Alaska	5	3	8	16	14	12	-	-	-	-	-	26									
Hawaii	7	7	12	50	12	13	-	-	-	1	1	-									
Guam	-	-	2	1	2	2	U	1	U	-	1	-									
P.R.	1	2	112	51	102	198	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


