
TABLE I.  Provisional cases of infrequently reported notifiable diseases (<1,000 cases reported during the preceding year), United States, week ending December 24, 2011 (WEEK 51)*

column labels in same order that data fields appears in each record below:
Disease
Current week
Cummulative for 2011
5-year weekly average†
Total cases reported for year 2010
Total cases reported for year 2009
Total cases reported for year 2008
Total cases reported for year 2007
Total cases reported for year 2006
States reporting cases during current week (No.)

tab delimited data:
test
Anthrax	-	1	0	-	1	-	1	1		
Arboviral diseases §, ¶ :										
California serogroup virus disease	-	125	0	75	55	62	55	67		
Eastern equine encephalitis virus disease	-	4	-	10	4	4	4	8		
Powassan virus disease	-	14	0	8	6	2	7	1		
St. Louis encephalitis virus disease	-	5	-	10	12	13	9	10		
Western equine encephalitis virus disease	-	-	-	-	-	-	-	-		
Babesiosis	4	628	0	NN	NN	NN	NN	NN	NY (4 )	
Botulism, total	1	108	4	112	118	145	144	165		
foodborne	-	9	1	7	10	17	32	20		
infant	1	69	3	80	83	109	85	97	TN (1 )	
other(wound & unspecified)	-	30	1	25	25	19	27	48		
Brucellosis	-	74	3	115	115	80	131	121		
Chancroid	-	26	1	24	28	25	23	33		
Cholera	-	29	0	13	10	5	7	9		
Cyclosporiasis §	1	141	3	179	141	139	93	137	FL (1 )	
Diphtheria	-	-	-	-	-	-	-	-		
Haemophilus influenzae **, invasive disease (age &lt;5 yrs):										
serotype b	-	8	1	23	35	30	22	29		
nonserotype b	1	103	5	200	236	244	199	175	OH (1 )	
unknown serotype	3	231	6	223	178	163	180	179	NY (1 ), OH (1 ), OK (1 )	
Hansen disease §	1	49	1	98	103	80	101	66	FL (1 )	
Hantavirus pulmonary syndrome §	-	20	1	20	20	18	32	40		
Hemolytic uremic syndrome, post-diarrheal §	-	204	7	266	242	330	292	288		
Influenza-associated pediatric mortality §, ††	-	118	2	61	358	90	77	43		
Listeriosis	10	743	22	821	851	759	808	884	OH (4 ), FL (6 )	
Measles §§	-	212	1	63	71	140	43	55		
Meningococcal disease, invasive ¶¶ :										
A,C,Y, and W-135	-	176	8	280	301	330	325	318		
serogroup B	3	103	4	135	174	188	167	193	OH (1 ), TX (1 ), WA (1 )	
other serogroup	-	12	1	12	23	38	35	32		
unknown serogroup	5	366	13	406	482	616	550	651	NY (1 ), PA (1 ), WV (1 ), FL (1 ), TX (1 )	
Novel influenza A infection virus ***	-	8	0	4	43,774	2	4	NN		
Plague	-	2	-	2	8	3	7	17		
Poliomyelitis, paralytic	-	-	0	-	1	-	-	-		
Polio virus infection, nonparalytic §	-	-	-	-	-	-	-	NN		
Psittacosis §	-	2	0	4	9	8	12	21		
Q fever total §:	3	109	3	131	113	120	171	169		
acute	1	79	2	106	93	106	-	-	NC (1 )	
chronic	2	30	1	25	20	14	-	-	MO (1 ), MT (1 )	
Rabies, human	-	2	0	2	4	2	1	3		
Rubella †††	-	5	0	5	3	16	12	11		
Rubella, congenital syndrome	-	-	-	-	2	-	-	1		
SARS CoV §	-	-	-	-	-	-	-	-		
Smallpox §	-	-	-	-	-	-	-	-		
Streptococcal toxic-shock syndrome §	2	108	4	142	161	157	132	125	OH (2 )	
Syphilis, congenital (age &lt;1 yr) §§§	-	236	8	377	423	431	430	349		
Tetanus	-	9	1	26	18	19	28	41		
Toxic-shock syndrome (staphylococcal) §	-	69	2	82	74	71	92	101		
Trichinellosis	-	9	0	7	13	39	5	15		
Tularemia	-	137	2	124	93	123	137	95		
Typhoid fever	1	313	9	467	397	449	434	353	MO (1 )	
Vancomycin-intermediate Staphylococcus aureus §	-	62	1	91	78	63	37	6		
Vancomycin-resistant Staphylococcus aureus §	-	-	0	2	1	-	2	1		
Vibriosis (non-cholera Vibrio species infections) §	4	720	12	846	789	588	549	NN	MD (1 ), FL (3 )	
Viral Hemorrhagic Fever ¶¶¶	-	-	-	1	NN	NN	NN	NN		
Yellow fever	-	-	-	-	-	-	-	-		

-: No reported cases
N: Not reportable
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.

* Case counts for reporting year 2011 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf.

† Calculated by summing the incidence counts for the current week, the 2 weeks preceding the current week, and the 2 weeks 
following the current week, for a total of 5 preceding years.  The total sum of incident cases is then 
divided by 25 weeks. Additional information is available at 
http://wwwn.cdc.gov/nndss/document/5yearweeklyaverage.pdf.

§ Not reportable in all states.   Data from states where the condition is not reportable are 
excluded from this table except starting in 2007 for the Arboviral diseases, STD data, 
TB data, and influenza-associated pediatric mortality, and in 2003 for SARS-CoV.   Reporting 
exceptions are available at http://wwwn.cdc.gov/nndss/document/SRCA_FINAL_REPORT_2006-2010.xlsx.

¶ Includes both neuroinvasive and nonneuroinvasive. Updated weekly from reports to the Division of Vector-Borne Infectious 
