
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending December 29, 2007 (WEEK 52)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	39	85	261	4,743	5,407	30	34	108	1,651	1,487											
NEW ENGLAND	-	5	28	358	360	-	2	11	110	147											
Conn.	-	0	22	116	98	-	0	6	12	43											
Maine	-	0	3	26	19	-	0	1	4	-											
Mass.	-	3	12	159	174	-	1	5	73	84											
N.H.	-	0	4	34	35	-	0	2	11	12											
R.I.	-	0	12	6	20	-	0	1	8	8											
Vt.	-	0	2	17	14	-	0	1	2	-											
MID. ATLANTIC	6	15	41	866	963	4	4	37	271	227											
N.J.	-	2	10	121	149	-	1	5	40	73											
N.Y. (Upstate)	4	5	27	285	322	4	2	15	115	117											
N.Y. City	-	4	13	206	167	-	1	35	116	37											
Pa.	2	5	11	254	325	N	0	0	N	N											
E.N. CENTRAL	9	15	34	799	1,000	5	4	13	241	380											
Ill.	-	4	13	223	307	-	1	5	59	106											
Ind.	-	2	12	117	127	-	0	5	23	68											
Mich.	-	3	10	189	205	-	1	5	77	75											
Ohio	9	4	14	239	238	5	1	4	69	82											
Wis.	-	0	5	31	123	-	0	2	13	49											
W.N. CENTRAL	-	5	32	322	372	4	2	7	124	121											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	3	31	53	-	0	1	5	14											
Minn.	-	0	29	153	171	3	1	6	76	74											
Mo.	-	2	4	82	90	-	0	2	25	16											
Nebr.	-	0	3	25	33	1	0	3	17	12											
N. Dak.	-	0	3	19	15	-	0	1	1	5											
S. Dak.	-	0	2	12	10	-	0	0	-	-											
S. ATLANTIC	14	22	51	1,202	1,218	4	6	14	285	92											
Del.	-	0	1	10	10	-	0	0	-	-											
D.C.	-	0	3	8	18	-	0	0	-	2											
Fla.	5	6	16	308	312	3	1	5	73	-											
Ga.	-	4	12	226	272	-	0	5	44	-											
Md.	6	4	10	215	212	1	1	5	70	72											
N.C.	2	1	22	164	164	-	0	0	-	-											
S.C.	-	1	7	95	69	-	1	4	54	-											
Va.	1	2	11	149	132	-	0	4	36	-											
W. Va.	-	0	3	27	29	-	0	4	8	18											
E.S. CENTRAL	-	4	13	204	209	5	2	6	104	19											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	39	44	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	2	3	19											
Tenn.	-	3	13	165	165	5	2	6	101	-											
W.S. CENTRAL	8	6	90	314	472	5	5	43	263	260											
Ark.	-	0	2	18	27	-	0	2	13	24											
La.	-	0	4	16	18	-	0	4	29	24											
Okla.	4	1	23	70	125	4	1	13	65	69											
Tex.	4	4	64	210	302	1	2	27	156	143											
MOUNTAIN	2	10	22	539	681	3	4	12	217	214											
Ariz.	2	4	10	212	351	3	2	8	126	120											
Colo.	-	3	8	152	122	-	1	4	53	55											
Idaho	-	0	2	18	12	-	0	1	2	3											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	1	-	-	0	1	3	3											
N. Mex.	-	1	4	62	123	-	0	4	26	33											
Utah	-	2	7	89	68	-	0	2	7	-											
Wyo.	-	0	1	5	5	-	0	0	-	-											
PACIFIC	-	3	7	139	132	-	0	4	36	27											
Alaska	-	0	3	30	N	-	0	4	34	N											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	5	109	132	-	0	1	2	27											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	0	-	-	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


