
TABLE I.  Provisional cases of infrequently reported notifiable diseases (<1,000 cases reported during the preceding year), United States, week ending May 12, 2007 (WEEK 19)*

column labels in same order that data fields appears in each record below:
Disease
Current week
Cummulative for 2007
5-year weekly average†
Total cases reported for year 2006
Total cases reported for year 2005
Total cases reported for year 2004
Total cases reported for year 2003
Total cases reported for year 2002
States reporting cases during current week (No.)

tab delimited data:
test
Anthrax	-	-	-	1	-	-	-	2		
Botulism:										
foodborne	-	-	0	19	19	16	20	28		
infant	1	25	1	96	85	87	76	69	UT (1 )	
other(wound & unspecified)	1	5	1	47	31	30	33	21	AZ (1 )	
Brucellosis	3	43	2	116	120	114	104	125	NC (1 ), CA (2 )	
Chancroid	1	10	1	33	17	30	54	67	LA (1 )	
Cholera	-	-	0	7	8	5	2	2		
Cyclosporiasis §	1	21	17	135	543	171	75	156	FL (1 )	
Diphtheria	-	-	-	-	-	-	1	1		
Domestic arboviral diseases §, ¶ :										
California serogroup	-	-	0	63	80	112	108	164		
eastern equine	-	-	-	7	21	6	14	10		
Powassan	-	-	-	1	1	1	-	1		
St. Louis	-	-	0	9	13	12	41	28		
western equine	-	-	-	-	-	-	-	-		
Ehrlichiosis §:										
human granulocytic	1	17	6	619	786	537	362	511	NY (1 )	
human monocytic	5	45	3	504	506	338	321	216	MI (1 ), MO (1 ), NC (1 ), TN (1 ), TX (1 )	
human (other & unspecified)	-	15	1	236	112	59	44	23		
Haemophilus influenzae**, invasive disease (age &lt;5 yrs):										
serotype B	-	4	1	15	9	19	32	34		
nonserotype B	-	30	3	131	135	135	117	144		
unknown serotype	3	100	4	221	217	177	227	153	MO (2 ), AZ (1 )	
Hansen disease §	-	18	2	60	87	105	95	96		
Hantavirus pulmonary syndrome §	-	4	1	37	26	24	26	19		
Hemolytic uremic syndrome, post-diarrheal §	-	36	3	276	221	200	178	216		
Hepatitis C viral, acute	5	221	21	810	652	713	1,102	1,835	TN (1 ), AL (1 ), TX (1 ), CA (2 )	
HIV infection, pediatric (age &lt;13 yrs) ††	-	-	6	52	380	436	504	420		
Influenza-associated pediatric mortality §, §§	2	57	0	41	45	-	N	N	NYC (1 ), OK (1 )	
Listeriosis	3	163	10	833	896	753	696	665	PA (1 ), CA (2 )	
Measles ¶¶	1	11	1	54	66	37	56	44	FL (1 )	
Meningococcal disease, invasive *** :										
A,C,Y, and W-135	1	89	6	260	297	-	-	-	NC (1 )	
serogroup B	1	36	3	163	156	-	-	-	NC (1 )	
other serogroup	-	7	0	28	27	-	-	-		
unknown serogroup	5	264	14	667	765	-	-	-	NYC (1 ), CO (1 ), CA (3 )	
Mumps	9	352	100	6,566	314	258	231	270	NY (2 ), PA (1 ), OH (1 ), IL (1 ), MD (1 ), WA (1 ), CA (2 )	
Novel influenza A infection virus	-	-	-	N	N	N	N	N		
Plague	-	-	0	17	8	3	1	2		
Poliomyelitis, paralytic	-	-	-	-	1	-	-	-		
Poliovirus infection, nonparalytic §	-	-	-	N	N	N	N	N		
Psittacosis §	-	3	0	19	16	12	12	18		
Q fever §	1	58	2	173	136	70	71	61	OH (1 )	
Rabies, human	-	-	-	3	2	7	2	3		
Rubella †††	-	7	0	10	11	10	7	18		
Rubella, congenital syndrome	-	-	-	1	1	-	1	1		
SARS CoV §, §§§	-	-	0	-	-	-	8	N		
Smallpox §	-	-	-	-	-	-	-	-		
Streptococcal toxic-shock syndrome §	1	27	3	124	129	132	161	118	KY (1 )	
Syphilis, congenital (age &lt;1 yr)	-	62	7	379	329	353	413	412		
Tetanus	-	3	1	37	27	34	20	25		
Toxic-shock syndrome (staphylococcal) §	2	27	2	95	90	95	133	109	KY (2 )	
Trichinellosis	-	1	0	13	16	5	6	14		
Tularemia	-	3	2	90	154	134	129	90		
Typhoid fever	-	88	6	322	324	322	356	321		
Vancomycin-intermediate Staphylococcus aureus §	-	3	-	6	2	-	N	N		
Vancomycin-resistant Staphylococcus aureus §	-	-	0	1	3	1	N	N		
Vibriosis (non-cholera Vibrio species infections) §	4	49	0	N	N	N	N	N	FL (4 )	
Yellow fever	-	-	-	-	-	-	-	1		

-: No reported cases
N: Not notifiable
Cum: Cumulative year-to-date counts.

* Incidence data for reporting years 2006 and 2007 are provisional, whereas data for 
2002, 2003, 2004, and 2005 are finalized.

† Calculated by summing the incidence counts for the current week, the 2 weeks preceding the current week, and the 2 weeks 
following the current week, for a total of 5 preceding years.  Additional information is available at 
http://wwwn.cdc.gov/nndss/document/5yearweeklyaverage.pdf.

§ Not notifiable in all states.  Data from states where the condition is not notifiable are excluded from this table, 
except starting in 2007 for the Arboviral diseases and influenza-associated pediatic mortality, and in 2003 for 
SARS-CoV.  Reporting exceptions are available at http://wwwn.cdc.gov/nndss/document/SRCA_FINAL_REPORT_2006-2010.xlsx.

¶ Includes both neuroinvasive and non-neuroinvasive. Updated weekly from reports to the Division of Vector-Borne Infectious 
Diseases, National Center for Zoonotic, Vector-Borne, and Enteric Diseases (ArboNET Surveillance). Data for 
West Nile virus are available in Table II.

** Data for H. influenzae (all ages, all serotypes) are available in Table II.

†† Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV/AIDS, 
Viral Hepatitis, STD, and TB Prevention. Implementation of HIV reporting influences the 
number of cases reported. Updates of pediatric HIV data have been temporarily suspended until upgrading 
of the national HIV/ AIDS surveillance data management system is completed. Data for HIV/AIDS usually are 
available quarterly in Table IV.

§§ Updated weekly from reports to the Influenza Division, National Center for Immunization and Respiratory 
Diseases. Please refer to the MMWR publication for weekly updates to the footnote for this condition.

¶¶ Please refer to the MMWR publication for weekly updates to the footnote for this condition.

*** Data for meningococcal disease (all serogroups) are available in Table II.

††† Please refer to the MMWR publication for weekly updates to the footnote for this condition.

§§§ Updated weekly from reports to the Division of Viral and Rickettsial Diseases, National Center for Zoonotic, 
Vector-Borne, and Enteric Diseases.


