
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 19, 2002 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2002
AIDS § cummulative for 2001
Chlamydia† cummulative for 2002
Chlamydia† cummulative for 2001
Cryptosporidiosis cummulative for 2002
Cryptosporidiosis cummulative for 2001
Escherichia coli O157:H7 cummulative for 2002
Escherichia coli O157:H7 cummulative for 2001
Escherichia coli Shiga toxin positive, serogroup non-0157 cummulative for 2002
Escherichia coli Shiga toxin positive, serogroup non-0157 cummulative for 2001

tab delimited data:
test
UNITED STATES	-	-	21,567	34,730	60	80	45	38	3	2											
NEW ENGLAND	-	-	693	770	-	2	7	5	-	-											
Maine	-	-	64	57	-	-	-	-	-	-											
N.H.	-	-	39	60	-	-	-	-	-	-											
Vt.	-	-	51	24	-	2	-	-	-	-											
Mass.	-	-	382	126	-	-	4	5	-	-											
R.I.	-	-	157	136	-	-	-	-	-	-											
Conn.	-	-	-	367	-	-	3	-	-	-											
MID. ATLANTIC	-	-	1,867	2,388	7	9	4	4	-	-											
Upstate N.Y.	-	-	168	143	2	-	4	4	-	-											
N.Y. City	-	-	1,034	1,215	1	7	-	-	-	-											
N.J.	-	-	-	322	-	2	-	-	-	-											
Pa.	-	-	665	708	4	-	N	N	-	-											
E.N. CENTRAL	-	-	3,173	6,891	10	31	7	5	-	-											
Ohio	-	-	196	2,249	3	4	5	1	-	-											
Ind.	-	-	174	633	-	1	1	-	-	-											
Ill.	-	-	950	2,190	-	3	1	3	-	-											
Mich.	-	-	1,664	903	4	4	-	-	-	-											
Wis.	-	-	189	916	3	19	-	1	-	-											
W.N. CENTRAL	-	-	306	1,793	4	3	8	2	2	-											
Minn.	-	-	169	480	1	-	2	1	2	-											
Iowa	-	-	-	73	1	1	3	-	-	-											
Mo.	-	-	29	656	2	-	1	-	-	-											
N. Dak.	-	-	13	46	-	-	-	-	-	-											
S. Dak.	-	-	95	106	-	-	-	1	-	-											
Nebr.	-	-	-	122	-	2	-	-	-	-											
Kans.	-	-	-	310	-	-	2	-	-	-											
S. ATLANTIC	-	-	4,145	6,353	23	6	11	4	1	1											
Del.	-	-	131	165	-	-	-	-	-	-											
Md.	-	-	748	712	1	1	-	-	-	-											
D.C.	-	-	77	175	1	1	1	-	-	-											
Va.	-	-	648	740	-	1	-	-	-	1											
W. Va.	-	-	106	110	-	-	-	-	-	-											
N.C.	-	-	457	739	2	-	1	2	-	-											
S.C.	-	-	292	1,359	-	-	-	1	-	-											
Ga.	-	-	353	1,000	19	2	9	1	1	-											
Fla.	-	-	1,333	1,353	-	1	-	-	-	-											
E.S. CENTRAL	-	-	2,527	2,321	1	2	-	2	-	-											
Ky.	-	-	417	343	1	-	-	-	-	-											
Tenn.	-	-	1,013	662	-	-	-	2	-	-											
Ala.	-	-	837	640	-	1	-	-	-	-											
Miss.	-	-	260	676	-	1	-	-	-	-											
W.S. CENTRAL	-	-	4,358	5,799	1	2	-	3	-	-											
Ark.	-	-	-	540	1	-	-	-	-	-											
La.	-	-	837	970	-	1	-	-	-	-											
Okla.	-	-	577	498	-	1	-	-	-	-											
Tex.	-	-	2,944	3,791	-	-	-	3	-	-											
MOUNTAIN	-	-	1,304	1,900	3	7	-	4	-	1											
Mont.	-	-	63	13	-	-	-	-	-	-											
Idaho	-	-	114	113	1	-	-	2	-	-											
Wyo.	-	-	31	45	-	-	-	-	-	-											
Colo.	-	-	262	658	-	3	-	1	-	1											
N. Mex.	-	-	135	262	-	2	-	-	-	-											
Ariz.	-	-	563	501	-	1	-	1	-	-											
Utah	-	-	136	33	2	1	-	-	-	-											
Nev.	-	-	-	275	-	-	-	-	-	-											
PACIFIC	-	-	3,194	6,515	11	18	8	9	-	-											
Wash.	-	-	704	756	-	U	-	-	-	-											
Oreg.	-	-	-	285	5	1	5	-	-	-											
Calif.	-	-	2,330	5,172	6	17	3	7	-	-											
Alaska	-	-	98	76	-	-	-	-	-	-											
Hawaii	-	-	62	226	-	-	-	2	-	-											
Guam	-	-	-	-	-	-	N	N	-	-											
P.R.	-	-	-	147	-	-	-	-	-	-											
V.I.	-	-	-	7	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	11	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


