
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending June 11, 2005 (WEEK 23)*

column labels in same order that data fields appears in each record below:
Reporting Area
Tuberculosis cummulative for 2005
Tuberculosis cummulative for 2004
Typhoid Fever cummulative for 2005
Typhoid Fever cummulative for 2004
Varicella (Chicken Pox) cummulative for 2005
Varicella (Chicken Pox) cummulative for 2004
West Nile virus disease § Neuroinvasive cummulative for 2005
West Nile virus disease § Neuroinvasive cummulative for 2004
West Nile virus disease § Non-neuroinvasive † cummulative for 2005

tab delimited data:
test
UNITED STATES	4,054	5,245	86	109	11,082	11,860	-	63	-												
NEW ENGLAND	134	170	9	12	446	1,514	-	-	-												
Maine	7	9	-	-	136	44	-	-	-												
N.H.	4	7	-	-	90	-	-	-	-												
Vt.	-	-	-	-	28	353	-	-	-												
Mass.	88	95	7	11	192	34	-	-	-												
R.I.	14	22	-	1	-	-	-	-	-												
Conn.	21	37	2	-	U	1,083	-	-	-												
MID. ATLANTIC	857	808	24	30	2,613	32	-	2	-												
Upstate N.Y.	107	99	4	2	-	-	-	-	-												
N.Y. City	431	415	5	10	-	-	-	1	-												
N.J.	200	170	8	11	-	-	-	-	-												
Pa.	119	124	7	7	2,613	32	-	1	-												
E.N. CENTRAL	542	467	4	11	3,681	3,792	-	1	-												
Ohio	110	81	-	2	829	923	-	-	-												
Ind.	55	54	-	-	120	N	-	-	-												
Ill.	255	226	1	5	17	1	-	-	-												
Mich.	85	74	1	3	2,460	2,409	-	1	-												
Wis.	37	32	2	1	255	459	-	-	-												
W.N. CENTRAL	193	171	1	3	77	127	-	2	-												
Minn.	77	67	1	2	-	-	-	-	-												
Iowa	17	15	-	-	N	N	-	-	-												
Mo.	54	47	-	1	3	2	-	1	-												
N. Dak.	2	3	-	-	10	70	-	-	-												
S. Dak.	5	4	-	-	64	55	-	1	-												
Nebr.	16	11	-	-	-	-	-	-	-												
Kans.	22	24	-	-	-	-	-	-	N												
S. ATLANTIC	925	1,061	12	9	978	1,398	-	1	-												
Del.	2	11	-	-	6	4	-	-	-												
Md.	99	91	2	2	-	-	-	-	-												
D.C.	27	4	-	-	16	17	-	-	-												
Va.	105	83	3	3	177	343	-	-	-												
W. Va.	10	10	-	-	602	764	-	-	N												
N.C.	87	106	2	2	-	N	-	-	-												
S.C.	93	83	-	-	177	270	-	-	-												
Ga.	128	288	2	-	-	-	-	-	-												
Fla.	374	385	3	2	-	-	-	1	-												
E.S. CENTRAL	233	233	1	4	-	-	-	1	-												
Ky.	47	39	1	2	N	N	-	-	-												
Tenn.	106	82	-	2	-	-	-	-	-												
Ala.	80	79	-	-	-	-	-	1	-												
Miss.	-	33	-	-	-	-	-	-	-												
W.S. CENTRAL	288	931	3	7	1,698	3,552	-	2	-												
Ark.	41	59	-	-	-	-	-	-	-												
La.	-	-	-	-	97	44	-	-	-												
Okla.	59	72	-	-	-	-	-	-	-												
Tex.	188	800	3	7	1,601	3,508	-	2	-												
MOUNTAIN	126	226	3	6	1,589	1,445	-	52	-												
Mont.	-	-	-	-	-	-	-	-	-												
Idaho	-	-	-	-	-	-	-	-	-												
Wyo.	-	1	-	-	42	20	-	-	-												
Colo.	25	58	-	1	1,131	1,135	-	1	-												
N. Mex.	4	16	-	-	93	U	-	-	-												
Ariz.	86	94	1	2	-	-	-	51	-												
Utah	11	19	1	1	323	290	-	-	-												
Nev.	-	38	1	2	-	-	-	-	-												
PACIFIC	756	1,178	29	27	-	-	-	2	-												
Wash.	86	96	2	2	N	N	-	-	-												
Oreg.	42	38	2	-	-	-	-	-	-												
Calif.	564	981	20	19	-	-	-	2	-												
Alaska	13	14	-	-	-	-	-	-	-												
Hawaii	51	49	5	6	-	-	-	-	-												
Guam	-	35	-	-	-	65	-	-	-												
P.R.	-	21	-	-	77	240	-	-	-												
V.I.	-	-	-	-	-	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	-												
C.N.M.I.	-	U	-	U	-	U	-	U	-												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

§ Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Infectious Diseases 
(ArboNet Surveillance).

† Not previously notifiable.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


