
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending October 23, 2004 (WEEK 42)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	32,300	34,825	9,391	18,940	3,776	4,715	1,778	1,633	562	555											
NEW ENGLAND	1,713	1,765	242	272	157	405	26	81	59	7											
Maine	77	109	4	6	8	24	2	-	3	-											
N.H.	120	124	7	7	16	28	-	-	N	N											
Vt.	50	63	2	7	8	18	7	6	3	4											
Mass.	985	1,030	152	182	108	180	N	N	46	N											
R.I.	99	103	18	13	17	11	17	10	7	3											
Conn.	382	336	59	57	-	144	-	65	U	U											
MID. ATLANTIC	4,490	4,063	949	1,941	603	819	108	106	89	80											
Upstate N.Y.	989	941	370	371	199	309	44	56	60	59											
N.Y. City	1,016	1,131	308	329	83	121	U	U	U	U											
N.J.	734	681	185	313	141	154	-	-	6	2											
Pa.	1,751	1,310	86	928	180	235	64	50	23	19											
E.N. CENTRAL	4,064	4,649	835	1,557	744	1,111	399	365	136	245											
Ohio	1,085	1,129	144	259	199	263	279	236	67	79											
Ind.	504	458	186	128	85	107	120	129	33	24											
Ill.	1,073	1,607	251	842	159	280	-	-	-	99											
Mich.	736	660	118	218	258	317	N	N	N	N											
Wis.	666	795	136	110	43	144	N	N	36	43											
W.N. CENTRAL	1,998	2,060	346	643	259	291	16	15	84	61											
Minn.	505	458	58	88	127	141	-	-	55	42											
Iowa	384	316	61	61	N	N	N	N	N	N											
Mo.	519	766	131	313	54	65	11	11	12	3											
N. Dak.	37	30	3	6	11	15	-	3	2	5											
S. Dak.	111	101	10	16	15	20	5	1	-	-											
Nebr.	127	138	22	79	13	24	-	-	6	5											
Kans.	315	251	61	80	39	26	N	N	9	6											
S. ATLANTIC	9,088	8,625	2,265	5,713	835	777	942	876	46	17											
Del.	81	90	6	159	3	6	4	1	N	N											
Md.	682	694	121	519	138	190	-	18	33	-											
D.C.	52	34	32	64	9	8	5	-	3	7											
Va.	1,016	845	137	375	65	91	N	N	N	N											
W. Va.	189	109	6	-	22	31	94	60	10	10											
N.C.	1,315	1,104	293	837	105	93	N	N	U	U											
S.C.	765	619	275	402	37	38	69	123	N	N											
Ga.	1,637	1,653	571	1,031	262	153	276	198	N	N											
Fla.	3,351	3,477	824	2,326	194	167	494	476	N	N											
E.S. CENTRAL	2,121	2,401	648	791	185	165	114	118	4	-											
Ky.	289	333	59	113	54	41	24	15	N	N											
Tenn.	512	627	317	262	131	124	89	103	N	N											
Ala.	605	591	226	260	-	-	-	-	N	N											
Miss.	715	850	46	156	-	-	1	-	4	-											
W.S. CENTRAL	2,754	5,173	2,062	4,879	230	236	49	62	106	87											
Ark.	428	677	57	97	16	6	7	19	8	7											
La.	584	753	227	403	2	1	42	43	24	17											
Okla.	345	398	385	707	56	74	N	N	36	43											
Tex.	1,397	3,345	1,393	3,672	156	155	N	N	38	20											
MOUNTAIN	2,013	1,815	686	998	432	391	31	6	38	58											
Mont.	176	90	4	2	-	1	-	-	-	-											
Idaho	131	148	12	26	8	18	N	N	N	N											
Wyo.	47	71	5	6	8	2	9	5	-	-											
Colo.	476	412	135	254	125	112	-	-	35	44											
N. Mex.	224	225	106	205	70	96	5	-	-	10											
Ariz.	609	535	336	406	180	132	N	N	N	N											
Utah	207	180	41	41	38	28	15	1	3	4											
Nev.	143	154	47	58	3	2	2	-	-	-											
PACIFIC	4,059	4,274	1,358	2,146	331	520	93	4	-	-											
Wash.	476	472	95	143	53	56	-	-	N	N											
Oreg.	361	361	59	200	N	N	N	N	N	N											
Calif.	2,871	3,209	1,156	1,757	178	358	N	N	N	N											
Alaska	50	57	5	8	-	-	-	-	N	N											
Hawaii	301	175	43	38	100	106	93	4	-	-											
Guam	-	40	-	33	-	-	-	-	-	-											
P.R.	225	537	8	25	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	3	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


