
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending October 3, 1998 (WEEK 39)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1998
H. influenzae, Invasive cummulative for 1997
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1997
Hepatitis (Viral), Type B cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1997
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1998
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1998
Measles (Rubeola), Total cummulative for 1998
Measles (Rubeola), Total cummulative for 1997

tab delimited data:
test
UNITED STATES	805	837	16,193	21,094	6,111	7,103	-	42	-	20	62	116									
NEW ENGLAND	55	48	204	509	136	132	-	1	-	2	3	19									
Maine	2	5	16	47	2	6	-	-	-	-	-	1									
N.H.	8	7	9	23	14	11	-	-	-	-	-	1									
Vt.	6	3	14	11	4	7	-	-	-	1	1	-									
Mass.	33	29	79	208	39	54	-	1	-	1	2	16									
R.I.	5	2	14	115	59	13	-	-	-	-	-	-									
Conn.	1	2	72	105	18	41	-	-	-	-	-	1									
MID. ATLANTIC	116	129	1,071	1,608	826	1,028	-	8	-	5	13	23									
Upstate N.Y.	46	42	273	258	223	220	-	1	-	1	2	5									
N.Y. City	26	32	248	717	204	372	-	-	-	-	-	7									
N.J.	39	38	255	231	161	190	-	7	-	1	8	3									
Pa.	5	17	295	402	238	246	-	-	-	3	3	8									
E.N. CENTRAL	133	137	2,471	2,198	657	1,111	-	11	-	3	14	10									
Ohio	43	74	253	250	59	60	-	-	-	1	1	-									
Ind.	36	13	120	230	88	79	-	2	-	1	3	-									
Ill.	45	34	420	589	127	207	-	-	-	-	-	7									
Mich.	5	15	1,542	973	357	330	-	9	-	1	10	2									
Wis.	4	1	136	156	26	435	-	-	-	-	-	1									
W.N. CENTRAL	76	39	1,086	1,675	311	357	-	-	-	-	-	17									
Minn.	59	27	101	133	36	27	-	-	-	-	-	8									
Iowa	2	5	377	354	51	28	-	-	-	-	-	-									
Mo.	8	4	464	863	186	260	-	-	-	-	-	1									
N. Dak.	-	-	3	10	4	5	-	-	-	-	-	-									
S. Dak.	-	2	21	18	2	1	-	-	-	-	-	8									
Nebr.	1	1	36	75	11	12	-	-	-	-	-	-									
Kans.	6	-	84	222	21	24	-	-	-	-	-	-									
S. ATLANTIC	167	128	1,454	1,286	886	937	-	3	-	5	8	11									
Del.	-	-	3	24	2	6	-	-	-	1	1	-									
Md.	48	47	246	150	122	131	-	-	-	1	1	2									
D.C.	-	-	46	17	10	25	-	-	-	-	-	1									
Va.	15	12	170	171	81	95	-	-	-	2	2	1									
W. Va.	4	3	4	10	5	14	-	-	-	-	-	-									
N.C.	23	19	90	150	174	197	-	-	-	-	-	2									
S.C.	3	4	33	88	30	84	-	-	-	-	-	1									
Ga.	35	24	446	274	129	104	-	1	-	1	2	1									
Fla.	39	19	416	402	333	281	-	2	-	-	2	3									
E.S. CENTRAL	42	43	301	476	305	532	-	-	-	2	2	1									
Ky.	7	6	19	61	33	31	-	-	-	-	-	-									
Tenn.	23	25	181	293	209	338	-	-	-	1	1	-									
Ala.	10	10	58	68	62	55	-	-	-	1	1	1									
Miss.	2	2	43	54	1	108	U	-	U	-	-	-									
W.S. CENTRAL	46	40	3,168	4,326	1,040	957	-	1	-	-	1	7									
Ark.	-	2	79	181	70	65	-	-	-	-	-	-									
La.	21	10	68	174	98	115	-	1	-	-	1	-									
Okla.	23	26	459	1,173	71	38	-	-	-	-	-	-									
Tex.	2	2	2,562	2,798	801	739	-	-	-	-	-	7									
MOUNTAIN	78	71	2,311	3,296	626	672	-	-	-	-	-	8									
Mont.	-	-	84	60	5	7	-	-	-	-	-	-									
Idaho	-	1	208	109	27	28	-	-	-	-	-	-									
Wyo.	1	4	33	27	4	22	U	-	U	-	-	-									
Colo.	17	13	241	323	92	122	-	-	-	-	-	-									
N. Mex.	6	7	112	271	266	198	-	-	-	-	-	-									
Ariz.	43	28	1,382	1,683	138	157	-	-	-	-	-	5									
Utah	4	3	165	475	60	74	-	-	-	-	-	1									
Nev.	7	15	86	348	34	64	-	-	-	-	-	2									
PACIFIC	92	202	4,127	5,720	1,324	1,377	-	18	-	3	21	20									
Wash.	7	4	810	441	93	57	-	-	-	1	1	2									
Oreg.	36	29	289	284	93	85	-	-	-	-	-	-									
Calif.	41	158	2,977	4,849	1,123	1,216	-	5	-	2	7	14									
Alaska	1	4	16	25	9	11	-	13	-	-	13	-									
Hawaii	7	7	35	121	6	8	-	-	-	-	-	4									
Guam	-	-	-	-	2	3	U	-	U	-	-	-									
P.R.	2	-	49	227	319	571	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	6	3	1	53	34	U	-	U	-	-	1									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


