
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending February 5, 2005 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Hepatitis (Viral, Acute), Type A cummulative for 2005
Hepatitis (Viral, Acute), Type A cummulative for 2004
Hepatitis (Viral, Acute), Type B cummulative for 2005
Hepatitis (Viral, Acute), Type B cummulative for 2004
Hepatitis (Viral, Acute), Type C cummulative for 2005
Hepatitis (Viral, Acute), Type c cummulative for 2004

tab delimited data:
test
UNITED STATES	247	569	393	484	38	83															
NEW ENGLAND	45	85	18	33	-	-															
Maine	-	4	-	-	-	-															
N.H.	2	1	-	4	-	-															
Vt.	-	3	-	1	-	-															
Mass.	35	68	18	15	-	-															
R.I.	-	-	-	-	-	-															
Conn.	8	9	-	13	-	-															
MID. ATLANTIC	26	85	85	84	1	14															
Upstate N.Y.	5	4	5	2	-	1															
N.Y. City	8	31	3	17	-	-															
N.J.	2	17	59	36	-	-															
Pa.	11	33	18	29	1	13															
E.N. CENTRAL	18	55	29	28	11	5															
Ohio	3	6	17	11	1	-															
Ind.	4	7	1	-	-	-															
Ill.	4	24	-	-	-	-															
Mich.	5	15	11	12	10	5															
Wis.	2	3	-	5	-	-															
W.N. CENTRAL	7	13	14	28	4	8															
Minn.	-	-	-	1	-	-															
Iowa	2	3	1	1	-	-															
Mo.	2	2	8	23	4	8															
N. Dak.	-	-	-	-	-	-															
S. Dak.	-	-	-	-	-	-															
Nebr.	2	5	3	1	-	-															
Kans.	1	3	2	2	-	-															
S. ATLANTIC	41	109	132	159	12	18															
Del.	-	-	-	1	-	-															
Md.	3	19	15	12	5	2															
D.C.	-	-	-	-	-	-															
Va.	-	5	6	5	-	1															
W. Va.	-	-	1	-	-	1															
N.C.	3	5	15	23	1	1															
S.C.	-	-	-	1	-	-															
Ga.	17	53	46	62	-	3															
Fla.	18	27	49	55	6	10															
E.S. CENTRAL	3	17	14	32	2	7															
Ky.	-	-	1	3	-	2															
Tenn.	1	10	2	8	-	2															
Ala.	2	2	10	5	2	-															
Miss.	-	5	1	16	-	3															
W.S. CENTRAL	4	85	5	24	-	24															
Ark.	-	10	-	9	-	-															
La.	3	2	2	13	-	17															
Okla.	-	4	-	2	-	-															
Tex.	1	69	3	-	-	7															
MOUNTAIN	35	7	50	20	5	2															
Mont.	4	-	-	-	-	-															
Idaho	3	1	2	1	-	-															
Wyo.	-	-	-	1	-	-															
Colo.	3	2	3	5	-	-															
N. Mex.	2	-	-	2	-	-															
Ariz.	21	-	38	-	-	1															
Utah	2	3	5	5	4	-															
Nev.	-	1	2	6	1	1															
PACIFIC	68	113	46	76	3	5															
Wash.	4	4	1	4	-	1															
Oreg.	6	12	6	17	1	1															
Calif.	58	95	38	54	2	2															
Alaska	-	-	-	-	-	-															
Hawaii	-	2	1	1	-	1															
Guam	-	-	-	-	-	-															
P.R.	-	3	1	1	-	-															
V.I.	-	-	-	-	-	-															
Amer. Samoa	U	U	U	U	U	U															
C.N.M.I.	-	U	-	U	-	U															

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


