
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 29, 2005 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	2,759	2,511	45,108	63,738	262	120	83	195													
NEW ENGLAND	85	50	2,144	2,451	-	-	1	12													
Maine	3	1	192	140	N	N	-	4													
N.H.	2	4	150	116	-	-	-	1													
Vt.	-	7	69	77	-	-	1	2													
Mass.	-	1	1,079	1,209	-	-	-	5													
R.I.	14	16	250	361	-	-	-	-													
Conn.	66	21	404	548	N	N	-	-													
MID. ATLANTIC	292	459	5,729	7,154	-	-	12	29													
Upstate N.Y.	39	24	713	791	N	N	2	5													
N.Y. City	221	281	1,998	2,460	-	-	1	12													
N.J.	31	98	726	1,441	N	N	1	2													
Pa.	1	56	2,292	2,462	N	N	8	10													
E.N. CENTRAL	274	307	4,758	10,859	-	-	16	47													
Ohio	59	96	48	2,804	N	N	12	14													
Ind.	37	53	1,501	1,189	N	N	-	1													
Ill.	146	125	2,171	3,428	-	-	-	12													
Mich.	26	15	489	2,184	-	-	2	8													
Wis.	6	18	549	1,254	N	N	2	12													
W.N. CENTRAL	78	60	947	4,222	-	1	8	12													
Minn.	35	12	109	939	N	N	1	2													
Iowa	9	5	-	536	N	N	1	1													
Mo.	17	12	244	1,488	-	-	4	5													
N. Dak.	-	5	60	103	N	N	-	-													
S. Dak.	3	-	220	187	-	-	1	2													
Nebr.	-	5	-	357	-	1	-	-													
Kans.	14	21	314	612	N	N	1	2													
S. ATLANTIC	1,093	715	10,549	11,392	-	-	23	39													
Del.	-	12	233	187	N	N	-	-													
Md.	80	10	1,177	1,260	-	-	3	2													
D.C.	28	21	165	246	-	-	-	-													
Va.	57	3	1,981	1,634	-	-	-	1													
W. Va.	11	8	130	213	N	N	-	-													
N.C.	119	1	1,813	1,951	N	N	4	8													
S.C.	42	27	1,347	795	-	-	-	1													
Ga.	231	192	981	2,655	-	-	8	14													
Fla.	525	441	2,722	2,451	N	N	8	13													
E.S. CENTRAL	141	98	3,459	3,957	-	-	4	11													
Ky.	25	20	559	509	N	N	1	3													
Tenn.	59	33	1,143	1,663	N	N	1	3													
Ala.	54	26	182	1,007	-	-	2	4													
Miss.	3	19	1,575	778	-	-	-	1													
W.S. CENTRAL	331	383	6,715	9,123	-	-	-	7													
Ark.	35	15	689	576	-	-	-	2													
La.	39	28	572	2,864	-	-	-	-													
Okla.	43	5	974	710	N	N	-	2													
Tex.	214	335	4,480	4,973	N	N	-	3													
MOUNTAIN	109	70	2,827	3,860	204	13	5	8													
Mont.	-	-	8	25	N	N	-	-													
Idaho	1	1	90	120	N	N	-	-													
Wyo.	-	-	81	65	-	-	-	1													
Colo.	12	1	439	879	N	N	1	6													
N. Mex.	17	-	56	565	-	3	-	-													
Ariz.	54	64	1,517	1,465	199	2	2	-													
Utah	8	3	213	253	-	3	-	-													
Nev.	17	1	423	488	5	5	2	1													
PACIFIC	356	369	7,980	10,720	58	106	14	30													
Wash.	28	22	1,271	1,155	N	N	-	-													
Oreg.	32	16	594	551	-	-	1	3													
Calif.	290	318	5,770	8,324	58	106	13	27													
Alaska	5	-	214	190	-	-	-	-													
Hawaii	1	13	131	500	-	-	-	-													
Guam	-	-	-	96	-	-	-	-													
P.R.	1	47	125	140	N	N	N	N													
V.I.	3	-	-	45	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


