
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending April 28, 2001 (WEEK 17)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 2001
H. influenzae, Invasive cummulative for 2000
Hepatitis (Viral), Type A cummulative for 2001
Hepatitis (Viral), Type A cummulative for 2000
Hepatitis (Viral), Type B cummulative for 2001
Hepatitis (Viral), Type B cummulative for 2000
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 2001
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 2001
Measles (Rubeola), Total cummulative for 2001
Measles (Rubeola), Total cummulative for 2000

tab delimited data:
test
UNITED STATES	493	457	2,842	4,106	1,881	1,947	-	20	-	16	36	25									
NEW ENGLAND	16	37	136	104	31	33	-	3	-	1	4	-									
Maine	1	1	3	6	3	2	-	-	-	-	-	-									
N.H.	-	6	5	8	7	6	-	-	-	-	-	-									
Vt.	-	3	2	3	1	3	-	1	-	-	1	-									
Mass.	15	21	42	42	2	1	-	2	-	1	3	-									
R.I.	-	1	6	6	6	6	-	-	-	-	-	-									
Conn.	-	5	78	39	12	15	-	-	-	-	-	-									
MID. ATLANTIC	58	67	246	288	253	326	-	1	-	5	6	8									
Upstate N.Y.	22	27	79	77	43	36	-	-	-	4	4	-									
N.Y. City	21	23	106	151	147	184	-	-	-	-	-	8									
N.J.	14	13	46	-	44	14	-	-	-	1	1	-									
Pa.	1	4	15	60	19	92	-	1	-	-	1	-									
E.N. CENTRAL	59	75	326	585	235	223	-	-	-	7	7	3									
Ohio	27	24	90	115	42	36	-	-	-	2	2	2									
Ind.	16	8	29	15	6	15	-	-	-	2	2	-									
Ill.	9	28	87	228	20	27	-	-	-	3	3	-									
Mich.	3	4	115	176	167	136	-	-	-	-	-	1									
Wis.	4	11	5	51	-	9	-	-	-	-	-	-									
W.N. CENTRAL	19	15	143	288	63	82	-	4	-	-	4	-									
Minn.	8	7	9	36	7	7	-	2	-	-	2	-									
Iowa	1	-	15	32	7	14	-	-	-	-	-	-									
Mo.	8	7	42	162	35	42	-	2	-	-	2	-									
N. Dak.	-	1	-	-	-	-	-	-	-	-	-	-									
S. Dak.	-	-	1	-	1	-	-	-	-	-	-	-									
Nebr.	2	-	18	13	6	14	U	-	U	-	-	-									
Kans.	-	-	58	45	7	5	-	-	-	-	-	-									
S. ATLANTIC	166	110	598	414	420	320	-	3	-	1	4	-									
Del.	-	-	-	6	-	4	-	-	-	-	-	-									
Md.	43	28	87	49	51	45	-	2	-	1	3	-									
D.C.	-	-	15	-	3	-	-	-	-	-	-	-									
Va.	9	21	45	50	43	50	-	-	-	-	-	-									
W. Va.	4	3	2	34	7	2	-	-	-	-	-	-									
N.C.	22	8	38	77	85	92	-	-	-	-	-	-									
S.C.	4	5	21	14	5	2	-	-	-	-	-	-									
Ga.	40	31	214	52	108	45	-	1	-	-	1	-									
Fla.	44	14	176	132	118	80	-	-	-	-	-	-									
E.S. CENTRAL	33	19	96	180	110	144	-	-	-	-	-	-									
Ky.	1	9	12	19	14	28	-	-	-	-	-	-									
Tenn.	14	7	44	60	41	62	-	-	-	-	-	-									
Ala.	17	3	36	23	34	11	-	-	-	-	-	-									
Miss.	1	-	4	78	21	43	-	-	-	-	-	-									
W.S. CENTRAL	15	27	369	781	222	215	-	1	-	-	1	-									
Ark.	-	-	18	59	32	31	-	-	-	-	-	-									
La.	2	10	31	31	15	54	-	-	-	-	-	-									
Okla.	13	17	56	117	25	30	-	-	-	-	-	-									
Tex.	-	-	264	574	150	100	-	1	-	-	1	-									
MOUNTAIN	85	53	288	302	195	160	-	-	-	1	1	8									
Mont.	-	-	4	1	1	3	-	-	-	-	-	-									
Idaho	1	2	27	12	4	4	-	-	-	1	1	-									
Wyo.	4	-	15	3	16	-	-	-	-	-	-	-									
Colo.	18	11	31	59	40	32	-	-	-	-	-	3									
N. Mex.	12	11	8	33	44	51	-	-	-	-	-	-									
Ariz.	40	23	146	153	66	52	-	-	-	-	-	-									
Utah	3	4	24	18	9	4	-	-	-	-	-	3									
Nev.	7	2	33	23	15	14	-	-	-	-	-	2									
PACIFIC	42	54	640	1,164	352	444	-	8	-	1	9	6									
Wash.	1	3	24	93	31	17	-	-	-	-	-	3									
Oreg.	3	16	20	81	10	35	-	1	-	-	1	-									
Calif.	23	20	584	979	300	384	-	7	-	1	8	3									
Alaska	1	1	11	4	4	2	-	-	-	-	-	-									
Hawaii	14	14	1	7	7	6	-	-	-	-	-	-									
Guam	-	-	-	-	-	-	-	-	-	-	-	-									
P.R.	-	2	33	113	18	80	-	-	-	-	-	-									
V.I.	-	-	-	-	-	-	U	-	U	-	-	-									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


