
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending June 16, 2007 (WEEK 24)*

column labels in same order that data fields appears in each record below:
Reporting Area
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2007
Lyme disease cummulative for 2006
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2007
Malaria cummulative for 2006
Meningococcal diseases, invasive †, all serogroups current week
Meningococcal diseases, invasive †, all serogroups previous 52 weeks median 
Meningococcal diseases, invasive †, all serogroups previous 52 weeks maximum 
Meningococcal diseases, invasive †, all serogroups cummulative for 2007
Meningococcal diseases, invasive †, all serogroups cummulative for 2006

tab delimited data:
test
UNITED STATES	207	223	1,177	3,294	3,942	14	23	80	363	548	6	18	84	509	634						
NEW ENGLAND	42	36	409	292	685	-	1	7	13	26	-	1	3	21	20						
Conn.	37	10	227	150	95	-	0	3	1	4	-	0	2	4	8						
Maine	-	2	38	24	37	-	0	1	3	3	-	0	3	4	2						
Mass.	-	2	145	2	414	-	0	2	8	15	-	0	2	10	8						
N.H.	5	6	70	99	126	-	0	3	1	3	-	0	1	-	1						
R.I.	-	0	93	-	1	-	0	1	-	-	-	0	1	1	-						
Vt.	-	1	15	17	12	-	0	0	-	1	-	0	1	2	1						
MID. ATLANTIC	104	108	560	1,706	2,030	4	5	18	90	130	1	2	8	59	105						
N.J.	-	25	192	402	794	-	0	7	-	42	-	0	2	1	11						
N.Y. (Upstate)	77	50	426	457	512	3	1	7	24	10	1	1	2	17	21						
N.Y. City	-	2	23	6	42	1	3	9	56	65	-	0	4	17	39						
Pa.	27	42	223	841	682	-	1	4	10	13	-	0	5	24	34						
E.N. CENTRAL	1	5	162	59	546	-	2	10	39	62	-	3	9	71	93						
Ill.	-	0	16	4	29	-	1	6	10	26	-	0	3	18	25						
Ind.	1	0	3	6	3	-	0	2	4	6	-	0	4	14	12						
Mich.	-	1	5	9	6	-	0	2	7	8	-	0	3	14	16						
Ohio	-	0	5	4	15	-	0	2	11	16	-	1	3	19	27						
Wis.	-	4	154	36	493	-	0	3	7	6	-	0	2	6	13						
W.N. CENTRAL	15	5	195	93	101	-	1	12	19	21	-	1	5	32	36						
Iowa	-	1	8	17	39	-	0	1	2	1	-	0	3	7	9						
Kans.	-	0	2	6	3	-	0	2	1	-	-	0	1	1	1						
Minn.	15	2	188	63	52	-	0	12	11	14	-	0	3	9	8						
Mo.	-	0	3	5	-	-	0	1	2	3	-	0	3	9	11						
Nebr.	-	0	2	2	6	-	0	1	2	1	-	0	1	2	5						
N. Dak.	-	0	7	-	-	-	0	1	-	1	-	0	3	2	1						
S. Dak.	-	0	0	-	1	-	0	1	1	1	-	0	1	2	1						
S. ATLANTIC	42	45	134	1,051	545	5	5	14	91	150	4	3	11	76	109						
Del.	-	9	28	227	186	-	0	1	2	4	-	0	1	1	4						
D.C.	-	0	7	13	8	-	0	2	3	-	-	0	1	-	-						
Fla.	1	1	3	16	8	2	1	4	20	21	2	1	7	28	43						
Ga.	-	0	1	1	2	-	1	5	9	48	1	0	3	9	10						
Md.	9	24	106	577	298	1	1	4	24	39	-	0	2	16	7						
N.C.	6	0	4	14	9	1	0	4	12	11	-	0	6	6	19						
S.C.	1	0	2	9	4	-	0	2	4	4	1	0	2	8	11						
Va.	25	9	36	190	30	1	1	4	16	22	-	0	2	8	12						
W. Va.	-	0	14	4	-	-	0	1	1	1	-	0	2	-	3						
E.S. CENTRAL	2	1	4	17	4	-	0	3	15	12	-	1	4	29	21						
Ala.	-	0	3	5	1	-	0	2	3	6	-	0	2	6	4						
Ky.	-	0	2	-	-	-	0	1	3	1	-	0	2	5	5						
Miss.	-	0	1	-	-	-	0	1	1	3	-	0	4	7	3						
Tenn.	2	0	3	12	3	-	0	2	8	2	-	0	2	11	9						
W.S. CENTRAL	-	1	6	18	5	2	1	7	16	32	-	2	13	50	60						
Ark.	-	0	0	-	-	-	0	2	-	1	-	0	2	6	6						
La.	-	0	1	2	-	-	0	2	12	1	-	0	4	14	27						
Okla.	-	0	0	-	-	2	0	3	3	2	-	0	4	11	8						
Tex.	-	1	6	16	5	-	0	6	1	28	-	0	9	19	19						
MOUNTAIN	-	0	3	9	4	3	1	6	25	28	-	1	5	42	37						
Ariz.	-	0	1	-	3	-	0	3	5	9	-	0	3	12	10						
Colo.	-	0	0	-	-	-	0	2	9	10	-	0	2	14	14						
Idaho	-	0	2	3	-	-	0	1	-	-	-	0	1	3	1						
Mont.	-	0	1	1	-	-	0	1	2	1	-	0	1	1	2						
Nev.	-	0	2	5	-	-	0	1	1	-	-	0	1	3	3						
N. Mex.	-	0	1	-	1	-	0	1	-	1	-	0	1	1	1						
Utah	-	0	1	-	-	3	0	2	8	7	-	0	2	7	4						
Wyo.	-	0	1	-	-	-	0	0	-	-	-	0	2	1	2						
PACIFIC	1	2	16	49	22	-	3	45	55	87	1	4	48	129	153						
Alaska	-	0	1	2	-	-	0	4	2	10	-	0	1	1	2						
Calif.	1	2	8	46	22	-	2	6	39	68	1	2	10	93	122						
Hawaii	N	0	0	N	N	-	0	1	2	3	-	0	1	2	4						
Oreg.	-	0	1	1	-	-	0	3	9	6	-	0	3	19	25						
Wash.	-	0	8	-	-	-	0	43	3	-	-	0	43	14	-						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	-	-						
C.N.M.I.	U	-	-	U	U	U	-	-	U	U	U	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	N	0	0	N	N	-	0	1	1	-	-	0	1	5	4						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Data for meningococcal disease, invasive caused by serogroups A, C, Y, & W-135; serogroup B; other serogroup; and 
unknown serogroup are available in Table I.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


