
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending February 2, 2002 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis cummulative for 2002
Shigellosis cummulative for 2001
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2001
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2001
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2001

tab delimited data:
test
UNITED STATES	824	1,139	240	343	160	191	4	6													
NEW ENGLAND	16	14	10	14	-	2	1	-													
Maine	-	-	3	4	-	-	-	-													
N.H.	-	-	2	2	-	-	-	-													
Vt.	-	-	1	3	-	2	1	-													
Mass.	16	12	4	5	-	-	-	-													
R.I.	-	-	-	-	-	-	-	-													
Conn.	-	2	-	-	-	-	-	-													
MID. ATLANTIC	26	164	39	70	5	13	-	6													
Upstate N.Y.	5	48	18	14	5	13	-	6													
N.Y. City	8	49	14	34	-	-	-	-													
N.J.	-	41	1	22	-	-	-	-													
Pa.	13	26	6	-	-	-	-	-													
E.N. CENTRAL	116	171	37	97	8	10	2	-													
Ohio	66	43	16	18	1	-	1	-													
Ind.	4	13	-	-	7	10	1	-													
Ill.	29	68	1	32	-	-	-	-													
Mich.	16	37	20	43	-	-	-	-													
Wis.	1	10	-	4	-	-	-	-													
W.N. CENTRAL	126	156	9	22	18	2	-	-													
Minn.	19	76	-	-	-	-	-	-													
Iowa	6	16	-	-	-	-	-	-													
Mo.	15	42	6	12	1	-	-	-													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	72	1	-	2	-	-	-	-													
Nebr.	-	5	-	-	-	1	-	-													
Kans.	14	16	3	8	17	1	-	-													
S. ATLANTIC	364	114	75	30	108	128	1	-													
Del.	2	1	-	-	-	-	-	-													
Md.	35	10	11	6	-	-	-	-													
D.C.	3	5	2	-	2	-	1	-													
Va.	92	5	5	3	-	-	-	-													
W. Va.	1	1	-	-	1	3	-	-													
N.C.	24	32	14	10	-	-	-	-													
S.C.	5	10	2	1	14	24	-	-													
Ga.	159	19	30	4	42	40	-	-													
Fla.	43	31	11	6	49	61	-	-													
E.S. CENTRAL	53	73	5	7	14	15	-	-													
Ky.	13	30	-	-	-	4	-	-													
Tenn.	5	3	5	7	14	10	-	-													
Ala.	26	21	-	-	-	1	-	-													
Miss.	9	19	-	-	-	-	-	-													
W.S. CENTRAL	39	205	5	47	2	17	-	-													
Ark.	14	13	-	-	2	4	-	-													
La.	-	18	-	-	-	13	-	-													
Okla.	24	1	4	4	-	-	-	-													
Tex.	1	173	1	43	-	-	-	-													
MOUNTAIN	21	63	32	46	5	4	-	-													
Mont.	-	-	-	-	-	-	-	-													
Idaho	1	2	-	1	-	-	-	-													
Wyo.	-	-	1	-	2	-	-	-													
Colo.	9	13	20	28	-	-	-	-													
N. Mex.	3	17	11	13	3	4	-	-													
Ariz.	3	25	-	3	-	-	-	-													
Utah	5	1	-	1	-	-	-	-													
Nev.	-	5	-	-	-	-	-	-													
PACIFIC	63	179	28	10	-	-	-	-													
Wash.	-	11	-	-	-	-	-	-													
Oreg.	12	-	-	-	-	-	-	-													
Calif.	47	166	22	8	-	-	-	-													
Alaska	1	-	-	-	-	-	-	-													
Hawaii	3	2	6	2	-	-	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	1	-	-	-	-	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	-	-	U	U													
C.N.M.I.	-	U	-	U	-	-	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


