
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending May 1, 1999 (WEEK 17)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1999
H. influenzae, Invasive cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1999
Hepatitis (Viral), Type B cummulative for 1998
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1999
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1999
Measles (Rubeola), Total cummulative for 1999
Measles (Rubeola), Total cummulative for 1998

tab delimited data:
test
UNITED STATES	408	410	4,767	7,393	1,891	2,833	-	17	1	10	27	21									
NEW ENGLAND	29	29	64	107	34	45	-	-	-	1	1	1									
Maine	2	2	2	10	-	-	-	-	-	-	-	-									
N.H.	5	1	7	6	4	5	-	-	-	1	1	-									
Vt.	4	2	3	7	1	-	-	-	-	-	-	-									
Mass.	12	22	17	32	18	23	-	-	-	-	-	1									
R.I.	-	2	6	7	11	6	-	-	-	-	-	-									
Conn.	6	-	29	45	-	11	-	-	-	-	-	-									
MID. ATLANTIC	53	58	320	538	248	428	-	-	-	2	2	9									
Upstate N.Y.	31	19	80	118	61	104	-	-	-	2	2	-									
N.Y. City	5	16	50	197	56	125	-	-	-	-	-	-									
N.J.	17	21	42	95	33	76	-	-	-	-	-	8									
Pa.	-	2	148	128	98	123	-	-	-	-	-	1									
E.N. CENTRAL	47	65	1,109	1,023	160	545	-	-	-	-	-	2									
Ohio	24	27	279	122	32	26	-	-	-	-	-	-									
Ind.	1	13	29	89	4	245	-	-	-	-	-	1									
Ill.	18	24	150	269	-	86	-	-	-	-	-	-									
Mich.	4	-	626	451	124	157	-	-	-	-	-	1									
Wis.	-	1	25	92	-	31	-	-	-	-	-	-									
W.N. CENTRAL	38	29	241	623	105	125	-	-	-	-	-	-									
Minn.	12	17	18	28	12	11	-	-	-	-	-	-									
Iowa	9	1	55	292	19	17	-	-	-	-	-	-									
Mo.	11	7	132	242	64	81	-	-	-	-	-	-									
N. Dak.	-	-	-	2	-	2	-	-	-	-	-	-									
S. Dak.	1	-	8	3	-	1	-	-	-	-	-	-									
Nebr.	3	-	15	15	6	4	-	-	-	-	-	-									
Kans.	2	4	13	41	4	9	-	-	-	-	-	-									
S. ATLANTIC	101	73	589	515	356	277	-	1	1	3	4	6									
Del.	-	-	1	1	-	-	-	-	-	-	-	1									
Md.	27	21	116	127	59	55	-	-	-	-	-	1									
D.C.	2	-	23	23	7	6	-	-	-	-	-	-									
Va.	10	10	45	91	36	32	-	1	-	2	3	2									
W. Va.	1	3	5	-	8	2	-	-	-	-	-	-									
N.C.	16	10	46	33	69	76	-	-	-	-	-	-									
S.C.	2	1	8	12	36	-	-	-	-	-	-	-									
Ga.	20	18	152	114	41	57	-	-	-	-	-	1									
Fla.	23	10	193	114	100	49	-	-	1	1	1	1									
E.S. CENTRAL	37	23	173	151	146	151	-	-	-	-	-	-									
Ky.	5	5	30	8	15	16	-	-	-	-	-	-									
Tenn.	19	12	85	86	73	107	-	-	-	-	-	-									
Ala.	11	5	32	32	34	28	-	-	-	-	-	-									
Miss.	2	1	26	25	24	-	U	-	U	-	-	-									
W.S. CENTRAL	23	24	502	1,266	155	388	-	1	-	2	3	-									
Ark.	1	-	15	16	15	29	-	-	-	-	-	-									
La.	5	11	36	12	47	10	-	-	-	-	-	-									
Okla.	15	11	167	180	38	16	-	-	-	-	-	-									
Tex.	2	2	284	1,058	55	333	-	1	-	2	3	-									
MOUNTAIN	45	64	487	1,132	198	263	-	1	-	-	1	-									
Mont.	1	-	7	16	8	3	-	-	-	-	-	-									
Idaho	1	-	18	84	10	13	-	-	-	-	-	-									
Wyo.	1	-	3	15	1	2	-	-	-	-	-	-									
Colo.	5	12	91	86	32	35	-	1	-	-	1	-									
N. Mex.	10	3	19	62	78	99	-	-	-	-	-	-									
Ariz.	23	31	281	713	37	62	-	-	-	-	-	-									
Utah	3	3	22	69	10	23	-	-	-	-	-	-									
Nev.	1	15	46	87	22	26	-	-	-	-	-	-									
PACIFIC	35	45	1,282	2,038	489	611	-	14	-	2	16	3									
Wash.	-	1	92	329	18	42	-	-	-	-	-	-									
Oreg.	14	23	91	159	29	66	-	8	-	-	8	-									
Calif.	16	18	1,095	1,520	431	493	-	6	-	2	8	3									
Alaska	4	1	3	5	7	4	-	-	-	-	-	-									
Hawaii	1	2	1	25	4	6	-	-	-	-	-	-									
Guam	-	-	-	-	-	1	U	-	U	-	-	-									
P.R.	-	2	39	16	44	194	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	-	-	1	-	28	U	-	U	-	-	-									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


