
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 10, 2001 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
Gonorrhea cummulative for 2001
Gonorrhea cummulative for 2000
Hepatitis C/NA,NB cummulative for 2001
Hepatitis C/NA,NB cummulative for 2000
Legionellosis cummulative for 2001
Legionellosis cummulative for 2000
Listeriosis cummulative for 2001
Listeriosis cummulative for 2000
Lyme Disease cummulative for 2001
Lyme Disease cummulative for 2000

tab delimited data:
test
UNITED STATES	50,050	65,811	291	656	102	127	57	377	785												
NEW ENGLAND	1,027	1,281	2	5	1	10	6	105	118												
Maine	20	14	-	-	-	2	-	-	-												
N.H.	22	18	-	-	-	1	-	42	15												
Vt.	15	8	2	2	1	-	-	1	-												
Mass.	462	521	-	3	-	6	4	14	24												
R.I.	149	104	-	-	-	-	-	-	-												
Conn.	359	616	-	-	-	1	2	48	79												
MID. ATLANTIC	4,334	6,414	15	119	6	21	5	178	543												
Upstate N.Y.	1,211	1,009	11	10	5	9	3	151	168												
N.Y. City	1,898	2,006	-	-	-	-	-	-	17												
N.J.	448	1,396	-	102	-	-	-	-	78												
Pa.	777	2,003	4	7	1	12	2	27	280												
E.N. CENTRAL	6,454	13,477	40	61	35	40	8	10	19												
Ohio	183	3,414	4	-	17	17	2	10	2												
Ind.	1,042	1,112	-	-	4	4	-	-	1												
Ill.	1,640	4,380	-	7	-	4	-	-	1												
Mich.	3,019	3,138	36	54	10	8	5	-	-												
Wis.	570	1,433	-	-	4	7	1	U	15												
W.N. CENTRAL	2,245	2,987	41	88	9	4	2	6	11												
Minn.	358	589	-	-	1	1	-	4	4												
Iowa	177	155	-	-	2	1	-	-	-												
Mo.	1,013	1,496	38	85	3	2	1	2	3												
N. Dak.	6	9	-	-	-	-	-	-	-												
S. Dak.	40	54	-	-	-	-	-	-	-												
Nebr.	211	211	2	1	2	-	-	-	-												
Kans.	440	473	1	2	1	-	1	-	4												
S. ATLANTIC	14,443	18,844	15	16	19	25	8	63	77												
Del.	314	288	-	1	-	2	-	-	11												
Md.	1,507	1,464	5	2	7	7	1	57	55												
D.C.	540	434	-	-	1	-	-	2	-												
Va.	1,865	1,924	-	-	2	3	1	2	3												
W. Va.	84	112	-	1	N	N	1	-	4												
N.C.	3,075	3,392	4	7	2	3	-	2	4												
S.C.	1,758	4,146	2	-	-	2	-	-	-												
Ga.	2,201	3,024	-	-	1	-	2	-	-												
Fla.	3,099	4,060	4	5	6	8	3	-	-												
E.S. CENTRAL	5,493	6,522	40	94	5	3	4	2	-												
Ky.	679	621	1	8	2	1	1	2	-												
Tenn.	1,791	2,066	9	18	2	1	2	-	-												
Ala.	1,850	2,229	-	3	1	1	1	-	-												
Miss.	1,173	1,606	30	65	-	-	-	-	-												
W.S. CENTRAL	9,364	9,916	99	218	1	4	1	-	3												
Ark.	1,095	454	1	3	-	-	1	-	-												
La.	2,354	2,574	51	118	1	2	-	-	2												
Okla.	941	769	-	-	-	-	-	-	-												
Tex.	4,974	6,119	47	97	-	2	-	-	1												
MOUNTAIN	1,780	2,039	15	17	5	8	5	-	-												
Mont.	14	1	-	-	-	-	-	-	-												
Idaho	18	22	1	-	-	1	-	-	-												
Wyo.	13	13	3	-	-	-	-	-	-												
Colo.	685	720	5	8	3	4	1	-	-												
N. Mex.	175	174	5	4	-	-	1	-	-												
Ariz.	608	793	-	4	1	-	1	-	-												
Utah	9	62	-	-	-	3	-	-	-												
Nev.	258	254	1	1	1	-	2	-	-												
PACIFIC	4,910	4,331	24	38	21	12	18	13	14												
Wash.	549	472	4	4	4	5	-	-	-												
Oreg.	172	95	4	9	N	N	2	2	1												
Calif.	4,070	3,638	16	25	17	7	16	11	13												
Alaska	38	41	-	-	-	-	-	-	-												
Hawaii	81	85	-	-	-	-	-	N	N												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	218	90	-	1	2	-	-	N	N												
V.I.	U	U	U	U	U	U	-	U	U												
Amer. Samoa	U	U	U	U	U	U	-	U	U												
C.N.M.I.	U	U	U	U	U	U	-	U	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


