
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending March 12, 2005 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis cummulative for 2005
Legionellosis cummulative for 2004
Listeriosis cummulative for 2005
Listeriosis cummulative for 2004
Lyme Disease cummulative for 2005
Lyme Disease cummulative for 2004
Malaria cummulative for 2005
Malaria cummulative for 2004

tab delimited data:
test
UNITED STATES	204	233	85	78	864	1,488	168	224													
NEW ENGLAND	5	4	2	2	24	102	4	18													
Maine	-	-	-	-	5	6	-	-													
N.H.	1	-	1	1	9	-	2	-													
Vt.	-	-	-	-	-	2	-	1													
Mass.	4	3	-	-	6	75	2	13													
R.I.	-	-	-	-	1	4	-	1													
Conn.	-	1	1	1	3	15	-	3													
MID. ATLANTIC	64	49	17	19	643	1,187	35	47													
Upstate N.Y.	15	10	3	3	79	277	5	6													
N.Y. City	2	-	3	3	-	-	14	24													
N.J.	12	19	4	7	277	345	11	10													
Pa.	35	20	7	6	287	565	5	7													
E.N. CENTRAL	42	67	13	10	23	33	11	17													
Ohio	24	31	4	4	21	8	3	3													
Ind.	9	10	-	2	1	-	-	3													
Ill.	-	13	-	-	-	-	1	2													
Mich.	8	11	4	2	1	-	6	4													
Wis.	1	2	5	2	U	25	1	5													
W.N. CENTRAL	9	4	7	2	24	11	7	13													
Minn.	1	-	2	1	22	3	1	6													
Iowa	-	-	2	-	1	2	2	1													
Mo.	7	3	2	1	1	6	3	4													
N. Dak.	1	-	1	-	-	-	-	-													
S. Dak.	-	1	-	-	-	-	-	-													
Nebr.	-	-	-	-	-	-	-	-													
Kans.	-	-	-	-	-	-	1	2													
S. ATLANTIC	50	50	22	14	130	120	40	67													
Del.	-	1	N	N	25	14	-	-													
Md.	13	8	3	3	71	72	11	19													
D.C.	1	2	-	-	1	1	-	4													
Va.	3	4	2	-	3	2	5	4													
W. Va.	4	2	-	1	-	-	1	-													
N.C.	6	7	5	4	11	21	5	3													
S.C.	-	1	-	-	3	1	-	4													
Ga.	6	4	3	2	-	2	11	8													
Fla.	17	21	9	4	16	7	7	25													
E.S. CENTRAL	1	9	4	3	3	4	6	7													
Ky.	-	2	-	1	-	-	1	1													
Tenn.	-	4	2	2	3	1	4	1													
Ala.	1	3	2	-	-	-	1	4													
Miss.	-	-	-	-	-	3	-	1													
W.S. CENTRAL	1	23	1	8	5	12	15	21													
Ark.	-	-	-	-	-	-	1	1													
La.	1	1	1	-	-	-	-	2													
Okla.	-	2	-	-	-	-	-	1													
Tex.	-	20	-	8	5	12	14	17													
MOUNTAIN	13	13	-	2	-	4	11	7													
Mont.	-	-	-	-	-	-	-	-													
Idaho	-	1	-	1	-	1	-	-													
Wyo.	2	2	-	-	-	1	1	-													
Colo.	2	2	-	1	-	-	6	3													
N. Mex.	1	-	-	-	-	-	-	1													
Ariz.	3	2	-	-	-	1	2	1													
Utah	2	5	-	-	-	1	2	1													
Nev.	3	1	-	-	-	-	-	1													
PACIFIC	19	14	19	18	12	15	39	27													
Wash.	1	2	2	3	-	1	-	1													
Oreg.	N	N	1	4	1	7	1	3													
Calif.	18	12	16	11	10	7	36	23													
Alaska	-	-	-	-	1	-	1	-													
Hawaii	-	-	-	-	N	N	1	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	N	N	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


