
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending October 8, 2011 (WEEK 40)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2010

tab delimited data:
test
UNITED STATES	3	6	109	596	576	19	16	50	554	1,488	-	2	13	88	80						
NEW ENGLAND	-	0	2	4	4	-	2	24	184	82	-	0	1	1	2						
Conn.	-	0	0	-	-	-	0	5	-	32	-	0	0	-	-						
Maine	-	0	1	1	2	-	0	2	13	14	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	17	124	-	-	0	0	-	-						
N.H.	-	0	1	2	2	-	0	4	14	13	-	0	1	1	2						
R.I.	-	0	1	1	-	-	0	10	30	22	-	0	0	-	-						
Vt.	-	0	0	-	-	-	0	1	3	1	-	0	0	-	-						
MID. ATLANTIC	1	1	7	53	80	18	4	27	256	222	-	0	2	11	10						
N.J.	-	0	1	-	48	-	0	3	-	61	-	0	0	-	1						
N.Y. (Upstate)	1	0	7	46	25	18	3	25	224	149	-	0	2	11	6						
N.Y. City	-	0	1	7	5	-	0	5	29	11	-	0	0	-	-						
Pa.	-	0	1	-	2	-	0	1	3	1	-	0	1	-	3						
E.N. CENTRAL	-	0	3	22	41	-	0	9	14	457	-	1	4	36	42						
Ill.	-	0	2	12	15	-	0	2	6	7	-	0	1	2	3						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	3	28	15						
Mich.	-	0	2	4	2	-	0	1	-	3	-	0	2	4	-						
Ohio	-	0	1	6	6	-	0	1	5	2	-	0	1	1	-						
Wis.	-	0	1	-	18	-	0	9	3	445	-	0	1	1	24						
W.N. CENTRAL	-	1	18	146	116	1	0	20	32	652	-	0	11	15	9						
