
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending January 10, 2004 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Hepatitis (Viral, Acute), Type B cummulative for 2004
Hepatitis (Viral, Acute), Type B cummulative for 2003
Hepatitis (Viral, Acute), Type C cummulative for 2004
Hepatitis (Viral, Acute), Type c cummulative for 2003
Legionellosis cummulative for 2004
Legionellosis cummulative for 2003
Listeriosis cummulative for 2004
Listeriosis cummulative for 2003
Lyme Disease cummulative for 2004
Lyme Disease cummulative for 2003

tab delimited data:
test
UNITED STATES	38	104	7	38	17	13	4	4	60	75											
NEW ENGLAND	1	6	-	-	-	1	-	1	1	7											
Maine	-	-	-	-	-	-	-	-	-	-											
N.H.	-	-	-	-	-	-	-	-	-	-											
Vt.	-	1	-	-	-	-	-	-	-	1											
Mass.	1	5	-	-	-	1	-	1	1	6											
R.I.	-	-	-	-	-	-	-	-	-	-											
Conn.	-	-	U	U	-	-	-	-	-	-											
MID. ATLANTIC	1	8	-	-	2	3	1	1	54	53											
Upstate N.Y.	1	-	-	-	-	-	-	-	28	-											
N.Y. City	-	3	-	-	-	1	-	-	-	-											
N.J.	-	4	-	-	1	-	1	-	9	31											
Pa.	-	1	-	-	1	2	-	1	17	22											
E.N. CENTRAL	2	12	2	3	9	2	1	1	-	3											
Ohio	1	6	-	-	5	1	1	1	-	-											
Ind.	-	-	-	-	-	-	-	-	-	-											
Ill.	-	-	-	2	-	-	-	-	-	-											
Mich.	1	1	2	1	4	1	-	-	-	-											
Wis.	-	5	-	-	-	-	-	-	U	3											
W.N. CENTRAL	-	2	-	-	-	1	-	-	-	1											
Minn.	-	-	-	-	-	-	-	-	-	-											
Iowa	-	-	-	-	-	-	-	-	-	-											
Mo.	-	2	-	-	-	-	-	-	-	1											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	-	-	-	-	-	-	-	-	-	-											
Nebr.	-	-	-	-	-	-	-	-	-	-											
Kans.	-	-	-	-	-	1	-	-	-	-											
S. ATLANTIC	29	69	4	1	6	2	2	-	1	9											
Del.	-	-	-	-	-	-	N	N	-	3											
Md.	-	1	1	-	1	1	-	-	1	6											
D.C.	-	-	-	-	-	-	-	-	-	-											
Va.	-	-	-	-	-	-	-	-	-	-											
W. Va.	-	-	-	-	-	-	-	-	-	-											
N.C.	-	-	-	-	3	-	1	-	-	-											
S.C.	-	-	-	-	-	-	-	-	-	-											
Ga.	21	63	-	1	-	1	1	-	-	-											
Fla.	8	5	3	-	2	-	-	-	-	-											
E.S. CENTRAL	-	2	-	3	-	-	-	1	-	-											
Ky.	-	-	-	-	-	-	-	-	-	-											
Tenn.	-	-	-	2	-	-	-	-	-	-											
Ala.	-	-	-	-	-	-	-	1	-	-											
Miss.	-	2	-	1	-	-	-	-	-	-											
W.S. CENTRAL	-	-	-	30	-	4	-	-	-	1											
Ark.	-	-	-	-	-	-	-	-	-	-											
La.	-	-	-	2	-	-	-	-	-	-											
Okla.	-	-	-	-	-	-	-	-	-	-											
Tex.	-	-	-	28	-	4	-	-	-	1											
MOUNTAIN	1	3	-	-	-	-	-	-	-	1											
Mont.	-	-	-	-	-	-	-	-	-	-											
Idaho	-	-	-	-	-	-	-	-	-	-											
Wyo.	1	-	-	-	-	-	-	-	-	-											
Colo.	-	1	-	-	-	-	-	-	-	-											
N. Mex.	-	1	-	-	-	-	-	-	-	-											
Ariz.	-	-	-	-	-	-	-	-	-	-											
Utah	-	-	-	-	-	-	-	-	-	-											
Nev.	-	1	-	-	-	-	-	-	-	1											
PACIFIC	4	2	1	1	-	-	-	-	4	-											
Wash.	-	-	-	-	-	-	-	-	-	-											
Oreg.	-	2	1	-	N	N	-	-	-	-											
Calif.	4	-	-	-	-	-	-	-	4	-											
Alaska	-	-	-	-	-	-	-	-	-	-											
Hawaii	-	-	-	1	-	-	-	-	N	N											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	2	-	-	-	-	-	-	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


