
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 22, 2003 (WEEK 12)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2002
Giardiasis cummulative for 2003
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2003
Gonorrhea cummulative for 2002

tab delimited data:
test
UNITED STATES	197	263	21	11	7	1	2,855	3,663	64,413	77,733											
NEW ENGLAND	12	20	2	1	-	-	162	357	1,569	1,876											
Maine	-	-	-	-	-	-	18	35	9	16											
N.H.	3	2	-	-	-	-	12	14	23	32											
Vt.	-	-	-	-	-	-	16	24	21	25											
Mass.	4	10	-	1	-	-	94	201	625	832											
R.I.	1	2	-	-	-	-	21	18	223	209											
Conn.	4	6	2	-	-	-	1	65	668	762											
MID. ATLANTIC	10	19	1	-	2	-	446	710	5,344	9,071											
Upstate N.Y.	5	13	1	-	2	-	150	201	1,467	1,503											
N.Y. City	2	1	-	-	-	-	214	210	586	2,760											
N.J.	3	5	-	-	-	-	35	113	1,300	1,772											
Pa.	N	N	-	-	-	-	47	186	1,991	3,036											
E.N. CENTRAL	45	87	6	-	2	-	455	681	13,465	16,168											
Ohio	14	14	6	-	2	-	185	193	4,180	4,579											
Ind.	6	7	-	-	-	-	-	-	1,329	1,767											
Ill.	7	24	-	-	-	-	93	200	3,678	5,076											
Mich.	9	20	-	-	-	-	141	178	3,153	3,453											
Wis.	9	22	-	-	-	-	36	110	1,125	1,293											
W.N. CENTRAL	32	39	3	3	2	-	303	298	3,375	4,080											
Minn.	12	9	3	3	-	-	92	81	464	728											
Iowa	3	8	-	-	-	-	48	58	180	251											
Mo.	9	11	N	N	N	N	81	80	1,730	1,950											
N. Dak.	1	-	-	-	1	-	8	3	5	17											
S. Dak.	2	1	-	-	-	-	12	13	31	60											
Nebr.	4	7	-	-	-	-	37	31	323	317											
Kans.	1	3	-	-	1	-	25	32	642	757											
S. ATLANTIC	26	34	4	5	-	-	525	541	17,366	19,328											
Del.	-	1	-	-	-	-	11	10	310	389											
Md.	-	-	-	-	-	-	26	21	1,866	1,953											
D.C.	-	-	-	-	-	-	5	11	551	647											
Va.	2	3	-	-	-	-	46	31	1,880	2,294											
W. Va.	-	-	-	-	-	-	5	4	193	208											
N.C.	6	6	-	-	-	-	N	N	3,041	3,271											
S.C.	-	-	-	-	-	-	14	3	1,729	1,828											
Ga.	8	19	1	4	-	-	217	119	3,740	3,735											
Fla.	10	5	3	1	-	-	201	342	4,056	5,003											
E.S. CENTRAL	10	5	-	-	-	-	62	67	6,017	6,944											
Ky.	1	1	-	-	-	-	N	N	806	811											
Tenn.	5	3	-	-	-	-	25	26	1,839	2,208											
Ala.	3	-	-	-	-	-	37	41	1,875	2,470											
Miss.	1	1	-	-	-	-	-	-	1,497	1,455											
W.S. CENTRAL	1	5	-	-	-	1	45	22	9,095	11,029											
Ark.	1	-	-	-	-	-	27	22	820	1,006											
La.	-	-	-	-	-	-	3	-	2,375	2,664											
Okla.	-	-	-	-	-	-	15	-	628	924											
Tex.	-	5	-	-	-	1	-	-	5,272	6,435											
MOUNTAIN	25	20	4	1	1	-	271	276	2,172	2,564											
Mont.	1	4	-	-	-	-	6	14	29	32											
Idaho	6	1	2	-	-	-	33	8	18	24											
Wyo.	-	-	-	1	-	-	3	2	11	16											
Colo.	7	2	1	-	1	-	76	103	545	908											
N. Mex.	-	2	1	-	-	-	11	27	164	347											
Ariz.	8	4	N	N	N	N	57	45	990	789											
Utah	3	4	-	-	-	-	59	45	77	27											
Nev.	-	3	-	-	-	-	26	32	338	421											
PACIFIC	36	34	1	1	-	-	586	711	6,010	6,673											
Wash.	11	5	-	-	-	-	36	50	648	688											
Oreg.	4	7	1	1	-	-	74	106	211	208											
Calif.	21	21	-	-	-	-	441	508	4,859	5,503											
Alaska	-	-	-	-	-	-	16	18	87	148											
Hawaii	-	1	-	-	-	-	19	29	205	126											
Guam	N	N	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	2	-	22	3											
V.I.	-	-	-	-	-	-	-	-	-	18											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


