
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending June 21, 2008 (WEEK 25)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	65	158	846	2,942	4,313	46	91	177	1,856	2,739	31	27	195	290	643						
NEW ENGLAND	-	25	49	268	668	7	8	20	161	257	-	0	2	-	4						
Conn.	-	0	5	-	34	3	4	17	89	106	-	0	0	-	-						
Maine	-	1	5	16	37	-	1	5	22	39	N	0	0	N	N						
Mass.	-	18	35	224	536	N	0	0	N	N	-	0	2	-	4						
N.H.	-	0	5	9	36	2	1	4	17	22	-	0	1	-	-						
R.I.	-	0	25	14	4	N	0	0	N	N	-	0	0	-	-						
Vt.	-	0	6	5	21	2	2	6	33	90	-	0	0	-	-						
MID. ATLANTIC	12	22	43	354	590	12	18	29	395	459	3	1	6	26	38						
N.J.	-	2	9	3	96	-	0	0	-	-	-	0	2	2	13						
N.Y. (Upstate)	9	7	23	136	291	12	9	20	196	212	1	0	2	6	3						
N.Y. City	-	2	7	34	66	-	0	2	10	26	-	0	2	10	14						
Pa.	3	8	23	181	137	-	8	18	189	221	2	0	2	8	8						
E.N. CENTRAL	3	18	188	603	815	8	3	43	36	44	-	0	3	3	22						
Ill.	-	3	8	58	90	N	0	0	N	N	-	0	3	1	15						
Ind.	-	0	12	21	26	-	0	1	1	5	-	0	2	1	3						
Mich.	-	4	16	77	126	6	1	32	22	25	-	0	1	-	2						
Ohio	3	8	176	447	385	2	1	11	13	14	-	0	2	1	2						
Wis.	-	0	13	-	188	N	0	0	N	N	-	0	1	-	-						
W.N. CENTRAL	8	11	143	269	304	1	4	13	57	122	5	4	33	76	113						
Iowa	-	1	8	30	92	-	0	3	9	15	-	0	5	-	7						
Kans.	-	1	5	24	49	-	0	7	-	70	-	0	2	-	6						
Minn.	6	0	131	69	59	-	0	6	19	6	-	0	4	-	1						
Mo.	1	2	18	110	42	1	0	3	14	12	4	3	25	74	92						
Nebr.	1	1	12	31	16	-	0	0	-	-	1	0	2	2	5						
N. Dak.	-	0	5	1	3	-	0	8	13	9	-	0	0	-	-						
S. Dak.	-	0	2	4	43	-	0	2	2	10	-	0	1	-	2						
S. ATLANTIC	21	13	50	286	469	18	40	73	995	1,097	7	8	109	80	305						
Del.	-	0	2	5	5	-	0	0	-	-	-	0	2	3	9						
D.C.	-	0	1	2	7	-	0	0	-	-	-	0	2	2	2						
Fla.	2	3	9	83	112	-	0	25	62	128	-	0	3	3	3						
Ga.	-	0	3	8	23	3	6	37	166	115	-	0	6	10	29						
Md.	2	1	6	31	64	-	9	18	199	188	-	1	6	15	21						
N.C.	15	0	38	76	159	7	9	16	235	239	3	0	96	14	178						
S.C.	-	1	22	31	43	-	0	0	-	46	3	0	5	12	23						
Va.	2	2	11	48	47	8	13	27	278	343	1	1	9	20	39						
W. Va.	-	0	12	2	9	-	0	11	55	38	-	0	3	1	1						
E.S. CENTRAL	2	7	31	99	137	-	2	7	64	75	4	4	16	48	108						
Ala.	-	1	6	19	37	-	0	0	-	-	1	1	10	12	26						
Ky.	-	0	4	14	12	-	0	3	14	9	-	0	2	-	2						
Miss.	-	3	29	42	39	-	0	1	2	-	-	0	3	3	5						
Tenn.	2	1	4	24	49	-	2	6	48	66	3	1	10	33	75						
W.S. CENTRAL	2	18	194	258	441	-	11	40	52	557	12	2	153	49	32						
Ark.	-	1	17	29	94	-	1	6	35	12	-	0	15	1	1						
La.	-	0	2	2	12	-	0	0	-	-	-	0	2	2	1						
Okla.	-	0	26	12	2	-	0	32	16	45	12	0	132	40	21						
Tex.	2	14	175	215	333	-	8	34	1	500	-	1	8	6	9						
MOUNTAIN	7	19	37	420	554	-	2	8	25	17	-	0	4	6	18						
Ariz.	-	3	10	97	146	N	0	0	N	N	-	0	2	4	3						
Colo.	2	4	13	68	141	-	0	0	-	-	-	0	2	-	-						
Idaho	-	1	4	18	22	-	0	4	-	-	-	0	1	-	2						
Mont.	-	0	11	56	30	-	0	3	1	2	-	0	1	1	1						
Nev.	2	0	7	17	22	-	0	2	1	1	-	0	0	-	-						
N. Mex.	-	1	7	22	27	-	0	3	16	5	-	0	1	1	3						
Utah	3	6	27	138	151	-	0	2	1	4	-	0	0	-	-						
Wyo.	-	0	2	4	15	-	0	4	6	5	-	0	2	-	9						
PACIFIC	10	18	303	385	335	-	4	10	71	111	-	0	1	2	3						
Alaska	2	1	29	40	19	-	0	4	12	36	N	0	0	N	N						
Calif.	-	9	129	156	196	-	3	8	57	74	-	0	1	1	1						
Hawaii	-	0	2	4	10	-	0	0	-	-	N	0	0	N	N						
Oreg.	-	2	14	69	46	-	0	3	2	1	-	0	1	1	2						
Wash.	8	5	169	116	64	-	0	0	-	-	N	0	0	N	N						
