
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending July 3, 2004 (WEEK 26)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2004
AIDS § cummulative for 2003
Chlamydia† cummulative for 2004
Chlamydia† cummulative for 2003
Coccidioidomycosis cummulative for 2004
Coccidioidomycosis cummulative for 2003
Cryptosporidiosis cummulative for 2004
Cryptosporidiosis cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2004
Encephalitis/Meningitis West Nile cummulative for 2003

tab delimited data:
test
UNITED STATES	17,011	21,197	417,650	427,648	2,703	1,486	1,099	983	49	18											
NEW ENGLAND	569	782	14,189	13,579	-	-	63	65	-	-											
Maine	5	35	980	938	N	N	14	5	-	-											
N.H.	23	18	784	784	-	-	14	10	-	-											
Vt.	13	6	511	504	-	-	6	12	-	-											
Mass.	150	324	6,792	5,182	-	-	18	26	-	-											
R.I.	66	63	1,619	1,546	-	-	2	9	-	-											
Conn.	312	336	3,503	4,625	N	N	9	3	-	-											
MID. ATLANTIC	3,912	4,755	54,128	52,716	-	-	170	139	-	4											
Upstate N.Y.	453	585	11,184	9,546	N	N	43	35	-	-											
N.Y. City	2,154	2,085	15,562	17,003	-	-	43	49	-	-											
N.J.	675	882	6,307	7,724	-	-	11	8	-	-											
Pa.	630	1,203	21,075	18,443	N	N	73	47	-	4											
E.N. CENTRAL	1,455	1,997	72,730	77,551	7	3	241	243	1	1											
Ohio	237	305	19,407	21,011	-	-	68	34	-	1											
Ind.	166	260	8,930	8,513	N	N	31	27	-	-											
Ill.	700	962	18,084	24,103	-	-	13	36	-	-											
Mich.	269	364	18,931	15,378	7	3	55	45	1	-											
Wis.	83	106	7,378	8,546	-	-	74	101	-	-											
W.N. CENTRAL	331	397	23,987	24,506	4	2	156	102	1	1											
Minn.	81	77	4,424	5,335	N	N	55	43	-	1											
Iowa	21	45	2,311	2,791	N	N	30	16	-	-											
Mo.	135	203	9,134	8,838	3	1	23	9	-	-											
N. Dak.	12	1	769	774	N	N	7	6	-	-											
S. Dak.	5	6	1,235	1,200	-	-	20	19	1	-											
Nebr.	18	30	2,546	2,105	1	1	9	4	-	-											
Kans.	59	35	3,568	3,463	N	N	12	5	-	-											
S. ATLANTIC	5,282	6,067	78,935	79,796	-	2	215	133	1	2											
Del.	78	133	1,443	1,542	N	N	-	3	-	-											
Md.	601	729	9,169	8,135	-	2	10	8	-	-											
D.C.	308	655	1,508	1,650	-	-	3	1	-	-											
Va.	288	506	10,802	9,470	-	-	24	14	-	-											
W. Va.	30	47	1,369	1,238	N	N	3	3	-	-											
N.C.	305	627	14,361	13,049	N	N	38	15	-	-											
S.C.	329	389	7,575	6,714	-	-	9	2	-	1											
Ga.	782	736	11,743	17,167	-	-	69	51	-	-											
Fla.	2,561	2,245	20,965	20,831	N	N	59	36	1	1											
E.S. CENTRAL	782	912	26,766	27,630	2	1	46	58	-	2											
Ky.	71	79	2,769	4,103	N	N	16	12	-	-											
Tenn.	326	436	11,121	9,715	N	N	12	21	-	-											
Ala.	208	185	5,151	7,468	-	-	11	22	-	2											
Miss.	177	212	7,725	6,344	2	1	7	3	-	-											
W.S. CENTRAL	2,047	2,351	53,874	53,443	2	-	32	21	-	7											
Ark.	87	86	3,842	3,786	1	-	9	3	-	-											
La.	346	400	11,986	10,451	1	-	-	1	-	2											
Okla.	90	109	5,166	5,431	N	N	10	4	-	-											
Tex.	1,524	1,756	32,880	33,775	-	-	13	13	-	5											
MOUNTAIN	571	831	20,677	25,444	1,677	965	57	48	42	1											
Mont.	-	10	1,024	1,111	N	N	11	12	-	-											
Idaho	3	13	1,434	1,227	N	N	5	7	-	-											
Wyo.	6	5	512	489	-	-	2	2	-	-											
Colo.	98	211	4,316	6,416	N	N	25	9	-	1											
N. Mex.	91	62	2,586	3,764	9	4	2	3	-	-											
Ariz.	208	339	7,200	7,596	1,625	938	9	3	42	-											
Utah	34	39	1,635	1,848	14	3	2	9	-	-											
Nev.	131	152	1,970	2,993	29	20	1	3	-	-											
PACIFIC	2,062	3,105	72,364	72,983	1,011	513	119	174	4	-											
Wash.	165	211	8,855	7,965	N	N	14	14	-	-											
Oreg.	111	126	4,071	3,781	-	-	13	20	-	-											
Calif.	1,731	2,696	56,287	56,667	1,011	513	91	140	4	-											
Alaska	14	13	1,822	1,918	-	-	-	-	-	-											
Hawaii	41	59	1,329	2,652	-	-	1	-	-	-											
Guam	1	5	-	353	-	-	-	-	-	-											
P.R.	209	620	1,002	1,191	N	N	N	N	-	-											
V.I.	5	15	143	168	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	2	U	32	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


