
TABLE I.  Provisional cases of infrequently reported notifiable diseases (<1,000 cases reported during the preceding year), United States, week ending July 7, 2007 (WEEK 27)*

column labels in same order that data fields appears in each record below:
Disease
Current week
Cummulative for 2007
5-year weekly average†
Total cases reported for year 2006
Total cases reported for year 2005
Total cases reported for year 2004
Total cases reported for year 2003
Total cases reported for year 2002
States reporting cases during current week (No.)

tab delimited data:
test
Anthrax	-	-	0	1	-	-	-	2		
Botulism:										
foodborne	-	3	1	20	19	16	20	28		
infant	-	41	2	97	85	87	76	69		
other(wound & unspecified)	1	12	0	48	31	30	33	21	CA (1 )	
Brucellosis	1	56	2	121	120	114	104	125	CA (1 )	
Chancroid	-	12	1	33	17	30	54	67		
Cholera	-	-	0	9	8	5	2	2		
Cyclosporiasis §	1	40	10	136	543	171	75	156	NY (1 )	
Diphtheria	-	-	0	-	-	-	1	1		
Domestic arboviral diseases §, ¶ :										
California serogroup	-	-	4	67	80	112	108	164		
eastern equine	-	-	0	8	21	6	14	10		
Powassan	-	-	0	1	1	1	-	1		
St. Louis	-	-	0	10	13	12	41	28		
western equine	-	-	-	-	-	-	-	-		
Ehrlichiosis §:										
human granulocytic	3	64	21	646	786	537	362	511	NY (1 ), MO (1 ), TN (1 )	
human monocytic	8	114	12	577	506	338	321	216	MO (3 ), WV (1 ), NC (3 ), TN (1 )	
human (other & unspecified)	4	44	6	231	112	59	44	23	NY (1 ), MO (1 ), TN (1 ), AR (1 )	
Haemophilus influenzae**, invasive disease (age &lt;5 yrs):										
serotype B	-	6	0	27	9	19	32	34		
nonserotype B	-	49	2	143	135	135	117	144		
unknown serotype	5	141	3	212	217	177	227	153	CT (1 ), NE (1 ), FL (1 ), TN (1 ), AL (1 )	
Hansen disease §	-	24	2	66	87	105	95	96		
Hantavirus pulmonary syndrome §	-	10	1	39	26	24	26	19		
Hemolytic uremic syndrome, post-diarrheal §	1	66	5	288	221	200	178	216	NY (1 )	
Hepatitis C viral, acute	4	336	19	813	652	713	1,102	1,835	VA (1 ), NC (1 ), TX (1 ), OR (1 )	
HIV infection, pediatric (age &lt;13 yrs) ††	-	-	5	52	380	436	504	420		
Influenza-associated pediatric mortality §, §§	-	66	1	41	45	-	N	N		
