
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending November 8, 2008 (WEEK 45)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2007
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2008
Syphillis, primary & secondary cummulative for 2007

tab delimited data:
test
UNITED STATES	35	57	307	2,377	2,534	7	9	43	359	432	77	233	351	9,987	9,679						
NEW ENGLAND	-	1	49	53	104	-	0	8	9	13	5	5	13	269	235						
Conn.	-	0	44	7	55	-	0	7	-	4	-	0	6	28	28						
Maine	-	0	2	17	11	-	0	1	3	2	-	0	2	10	9						
Mass.	-	0	0	-	2	-	0	0	-	2	5	4	11	194	140						
N.H.	-	0	0	-	-	-	0	0	-	-	-	0	2	19	26						
R.I.	-	0	3	16	19	-	0	1	4	3	-	0	5	13	29						
Vt.	-	0	2	13	17	-	0	1	2	2	-	0	5	5	3						
MID. ATLANTIC	2	4	13	208	141	-	0	2	19	26	14	32	51	1,455	1,342						
N.J.	-	0	0	-	-	-	0	0	-	-	-	4	10	162	191						
N.Y. (Upstate)	1	1	6	55	47	-	0	2	6	9	2	3	13	118	120						
N.Y. City	-	1	5	63	-	-	0	0	-	-	12	21	37	957	794						
Pa.	1	2	9	90	94	-	0	2	13	17	-	5	12	218	237						
E.N. CENTRAL	7	14	64	602	657	2	2	14	86	99	9	19	33	858	757						
Ill.	-	0	17	71	158	-	0	6	14	33	-	5	19	218	389						
Ind.	-	2	39	179	150	-	0	11	21	24	2	2	10	118	47						
Mich.	-	0	3	14	3	-	0	1	2	2	2	3	17	180	97						
Ohio	7	8	17	338	346	2	1	4	49	40	5	6	15	291	169						
Wis.	-	0	0	-	-	-	0	0	-	-	-	1	4	51	55						
W.N. CENTRAL	1	3	115	137	171	-	0	9	9	38	1	8	15	335	308						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	2	14	17						
Kans.	-	1	5	58	79	-	0	1	4	8	-	0	5	26	19						
Minn.	-	0	114	-	25	-	0	9	-	24	-	2	5	86	52						
Mo.	1	1	8	74	53	-	0	1	2	2	1	5	10	201	209						
Nebr.	-	0	0	-	2	-	0	0	-	-	-	0	2	8	4						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	2	5	12	-	0	1	3	4	-	0	0	-	7						
S. ATLANTIC	21	22	53	1,036	1,106	3	4	10	175	199	28	50	215	2,213	2,237						
Del.	-	0	1	3	10	-	0	0	-	2	-	0	4	14	15						
D.C.	-	0	3	15	19	-	0	1	1	1	-	2	9	109	163						
Fla.	14	13	30	605	610	1	3	6	112	107	8	20	36	868	776						
Ga.	7	7	22	328	403	2	1	5	52	81	-	10	175	411	420						
Md.	-	0	2	4	1	-	0	1	1	-	9	6	14	283	287						
N.C.	N	0	0	N	N	N	0	0	N	N	11	5	19	237	286						
S.C.	-	0	0	-	-	-	0	0	-	-	-	1	5	71	86						
Va.	N	0	0	N	N	N	0	0	N	N	-	5	17	218	198						
W. Va.	-	1	9	81	63	-	0	2	9	8	-	0	1	2	6						
E.S. CENTRAL	4	5	15	240	224	2	1	4	43	32	7	21	36	947	788						
Ala.	N	0	0	N	N	N	0	0	N	N	-	8	17	382	324						
Ky.	1	1	6	67	24	1	0	2	12	3	-	1	7	75	52						
Miss.	-	0	5	4	46	-	0	1	1	-	-	3	15	131	106						
Tenn.	3	3	13	169	154	1	0	3	30	29	7	8	18	359	306						
W.S. CENTRAL	-	2	7	70	74	-	0	2	12	9	8	38	61	1,723	1,628						
Ark.	-	0	2	13	6	-	0	1	3	2	5	2	19	151	107						
La.	-	1	7	57	68	-	0	2	9	7	3	9	22	386	457						
Okla.	N	0	0	N	N	N	0	0	N	N	-	1	5	54	56						
Tex.	-	0	0	-	-	-	0	0	-	-	-	25	48	1,132	1,008						
MOUNTAIN	-	1	7	29	54	-	0	2	4	13	2	9	22	344	444						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	4	17	145	243						
Colo.	-	0	0	-	-	-	0	0	-	-	-	2	7	86	45						
Idaho	N	0	0	N	N	N	0	0	N	N	2	0	1	6	1						
Mont.	-	0	0	-	-	-	0	0	-	-	-	0	3	-	4						
Nev.	N	0	0	N	N	N	0	0	N	N	-	1	6	68	96						
N. Mex.	-	0	1	2	-	-	0	0	-	-	-	1	4	36	36						
Utah	-	0	7	25	38	-	0	2	4	11	-	0	2	-	16						
Wyo.	-	0	1	2	16	-	0	1	-	2	-	0	1	3	3						
PACIFIC	-	0	1	2	3	-	0	1	2	3	3	43	65	1,843	1,940						
Alaska	N	0	0	N	N	N	0	0	N	N	-	0	1	1	7						
Calif.	N	0	0	N	N	N	0	0	N	N	2	38	59	1,658	1,789						
Hawaii	-	0	1	2	3	-	0	1	2	3	-	0	2	14	7						
Oreg.	N	0	0	N	N	N	0	0	N	N	-	0	3	20	16						
Wash.	N	0	0	N	N	N	0	0	N	N	1	3	9	150	121						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	-	0	0	-	4						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	0	0	-	-	-	0	0	-	-	3	3	11	141	137						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease caused by drug-resistant Streptococcus pneumoniae (DRSP) 
(NNDSS event code 11720).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


