
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending June 27, 1998 (WEEK 25)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1998
H. influenzae, Invasive cummulative for 1997
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1997
Hepatitis (Viral), Type B cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1997
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1998
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1998
Measles (Rubeola), Total cummulative for 1998
Measles (Rubeola), Total cummulative for 1997

tab delimited data:
test
UNITED STATES	539	590	10,456	13,295	3,715	4,438	1	23	-	13	36	73									
NEW ENGLAND	33	33	132	305	52	81	-	-	-	1	1	10									
Maine	2	3	13	41	-	5	-	-	-	-	-	-									
N.H.	5	4	7	18	10	5	-	-	-	-	-	1									
Vt.	2	2	11	7	1	3	-	-	-	-	-	-									
Mass.	22	21	41	150	16	37	-	-	-	1	1	8									
R.I.	2	2	9	26	25	8	-	-	-	-	-	-									
Conn.	-	1	51	63	-	23	-	-	-	-	-	1									
MID. ATLANTIC	76	84	650	1,142	527	656	-	9	-	2	11	16									
Upstate N.Y.	31	18	155	146	148	124	-	2	-	-	2	4									
N.Y. City	13	23	185	497	143	257	-	-	-	-	-	5									
N.J.	28	27	140	169	90	126	U	7	U	1	8	2									
Pa.	4	16	170	330	146	149	U	-	U	1	1	5									
E.N. CENTRAL	83	88	1,319	1,420	368	743	-	9	-	3	12	8									
Ohio	34	45	172	194	35	41	-	-	-	1	1	-									
Ind.	22	8	89	144	36	53	-	2	-	1	3	-									
Ill.	23	24	218	356	66	144	-	-	-	-	-	6									
Mich.	-	11	745	619	215	229	-	7	-	1	8	2									
Wis.	4	-	95	107	16	276	-	-	-	-	-	-									
W.N. CENTRAL	39	28	857	982	171	263	-	-	-	-	-	11									
Minn.	25	19	60	90	16	23	-	-	-	-	-	2									
Iowa	1	3	373	143	30	20	-	-	-	-	-	-									
Mo.	8	3	346	537	98	192	-	-	-	-	-	1									
N. Dak.	-	-	3	9	4	3	-	-	-	-	-	-									
S. Dak.	-	2	8	14	1	-	-	-	-	-	-	8									
Nebr.	-	1	15	41	7	8	-	-	-	-	-	-									
Kans.	5	-	52	148	15	17	U	-	U	-	-	-									
S. ATLANTIC	115	98	910	677	542	524	1	2	-	5	7	3									
Del.	-	-	2	14	-	3	-	-	-	1	1	-									
Md.	35	40	169	112	80	78	-	-	-	1	1	1									
D.C.	-	-	30	14	6	21	-	-	-	-	-	1									
Va.	12	7	127	92	53	60	-	-	-	2	2	-									
W. Va.	4	3	1	6	3	9	-	-	-	-	-	-									
N.C.	15	16	49	103	104	108	-	-	-	-	-	1									
S.C.	4	3	16	64	3	59	-	-	-	-	-	-									
Ga.	24	20	241	128	86	57	-	-	-	1	1	-									
Fla.	21	9	275	144	207	129	1	2	-	-	2	-									
E.S. CENTRAL	31	36	173	335	187	347	-	-	-	-	-	1									
Ky.	4	4	12	42	22	21	-	-	-	-	-	-									
Tenn.	20	22	117	205	134	229	-	-	-	-	-	-									
Ala.	7	8	44	49	31	38	-	-	-	-	-	1									
Miss.	U	2	U	39	U	59	U	U	U	U	U	-									
W.S. CENTRAL	30	28	2,040	2,658	631	521	-	-	-	-	-	4									
Ark.	-	2	43	123	46	40	-	-	-	-	-	-									
La.	13	6	40	108	47	63	-	-	-	-	-	-									
Okla.	15	18	282	823	31	18	-	-	-	-	-	-									
Tex.	2	2	1,675	1,604	507	400	-	-	-	-	-	4									
MOUNTAIN	66	64	1,658	1,960	419	422	-	-	-	-	-	7									
Mont.	-	-	51	50	3	5	-	-	-	-	-	-									
Idaho	-	1	136	76	18	14	-	-	-	-	-	-									
Wyo.	-	1	23	20	2	14	-	-	-	-	-	-									
Colo.	14	9	128	224	52	83	-	-	-	-	-	-									
N. Mex.	5	6	83	152	167	145	-	-	-	-	-	-									
Ariz.	37	23	1,052	906	114	84	-	-	-	-	-	5									
Utah	4	3	116	337	38	49	-	-	-	-	-	-									
Nev.	6	21	69	195	25	28	U	-	U	-	-	2									
PACIFIC	66	131	2,717	3,816	818	881	-	3	-	2	5	13									
Wash.	3	2	570	261	63	34	-	-	-	1	1	-									
Oreg.	29	22	205	192	57	55	-	-	-	-	-	-									
Calif.	28	101	1,907	3,268	687	775	-	3	-	1	4	10									
Alaska	1	1	12	22	6	11	-	-	-	-	-	-									
Hawaii	5	5	23	73	5	6	U	-	U	-	-	3									
Guam	-	-	-	-	-	3	U	-	U	-	-	-									
P.R.	2	-	23	176	245	332	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	5	1	1	28	26	U	-	U	-	-	1									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


