
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending January 26, 2013 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2013
Shigellosis cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2013
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2013
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012

tab delimited data:
test
UNITED STATES	204	255	486	1,242	1,482	6	20	35	41	103	85	288	366	537	1,039						
NEW ENGLAND	3	11	23	32	61	-	1	4	-	3	6	7	18	18	33						
Conn.	-	5	13	6	27	-	0	2	-	-	-	0	4	-	11						
Maine	3	2	8	14	12	-	0	1	-	-	-	0	5	-	-						
Mass.	-	1	3	-	3	-	0	2	-	2	5	5	13	15	18						
N.H.	-	1	5	1	9	-	0	1	-	1	1	1	4	2	3						
R.I.	-	0	5	-	2	-	0	1	-	-	-	0	6	1	1						
Vt.	-	1	6	11	8	-	0	0	-	-	-	0	1	-	-						
MID. ATLANTIC	8	35	70	94	210	-	2	5	2	13	7	40	60	74	159						
N.J.	-	6	24	1	66	-	0	3	-	6	-	4	8	1	15						
N.Y. (Upstate)	-	15	35	-	75	-	1	3	-	3	3	4	15	10	9						
N.Y. City	8	14	34	93	69	-	0	3	2	4	1	18	29	29	72						
Pa.	N	0	0	N	N	N	0	0	N	N	3	15	27	34	63						
E.N. CENTRAL	40	55	114	333	324	1	3	10	7	21	2	30	49	18	105						
Ill.	N	0	0	N	N	-	0	0	-	5	-	10	26	-	40						
Ind.	-	13	30	22	66	-	1	2	-	2	1	4	10	7	14						
Mich.	3	11	27	62	68	-	0	3	2	3	-	4	13	-	24						
Ohio	26	21	63	183	136	1	1	6	4	7	-	8	15	5	22						
Wis.	11	9	29	66	54	-	0	2	1	4	1	2	5	6	5						
