
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending April 7, 2007 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2007
Pertussis cummulative for 2006
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2007
Rabies, animal cummulative for 2006
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2007
Rocky Mountain Spotted Fever cummulative for 2006

tab delimited data:
test
UNITED STATES	53	246	898	1,666	3,784	74	105	173	840	1,326	7	29	118	107	283						
NEW ENGLAND	-	18	53	62	402	7	12	26	108	141	-	0	8	-	-						
Conn.	-	2	9	15	21	-	4	14	38	32	-	0	0	-	-						
Maine	-	2	15	25	22	-	2	8	22	20	N	0	0	N	N						
Mass.	-	0	22	-	309	-	0	17	-	64	-	0	1	-	-						
N.H.	-	2	27	7	6	-	1	5	8	5	-	0	1	-	-						
R.I.	-	0	30	-	11	1	0	3	9	4	-	0	8	-	-						
Vt.	-	1	14	15	33	6	2	5	31	16	-	0	0	-	-						
MID. ATLANTIC	8	34	156	324	482	1	16	57	115	193	-	2	6	10	11						
N.J.	-	3	11	9	105	-	0	0	-	-	-	0	2	-	2						
N.Y. (Upstate)	4	20	150	220	144	-	0	0	-	-	-	0	2	-	-						
N.Y. City	-	0	8	-	23	1	1	5	18	1	-	0	3	3	2						
Pa.	4	9	22	95	210	-	16	56	97	192	-	1	4	7	7						
E.N. CENTRAL	7	39	79	387	599	-	2	18	5	4	-	1	6	1	3						
Ill.	-	9	23	49	146	-	0	7	-	1	-	0	4	-	1						
Ind.	-	3	37	3	50	-	0	2	-	-	-	0	1	-	-						
Mich.	1	10	39	94	123	-	1	5	4	2	-	0	1	1	-						
Ohio	6	12	56	223	196	-	0	9	1	1	-	0	4	-	2						
Wis.	-	3	9	18	84	-	0	0	-	-	-	0	1	-	-						
W.N. CENTRAL	2	18	96	119	420	1	6	20	35	50	2	3	14	16	4						
Iowa	-	4	16	34	121	-	1	7	4	7	-	0	1	-	-						
Kans.	-	4	13	47	109	-	2	5	20	19	-	0	1	-	-						
Minn.	-	0	80	-	-	-	0	6	3	4	-	0	2	-	-						
Mo.	2	4	10	20	123	-	1	6	2	4	2	2	12	16	4						
Nebr.	-	1	4	4	57	-	0	0	-	-	-	0	5	-	-						
N. Dak.	-	0	9	1	4	1	0	7	6	2	-	0	0	-	-						
S. Dak.	-	0	4	13	6	-	0	4	-	14	-	0	0	-	-						
S. ATLANTIC	19	17	164	247	276	52	37	62	471	637	4	10	68	62	249						
Del.	-	0	1	1	1	-	0	0	-	-	-	0	3	3	3						
D.C.	-	0	2	2	3	-	0	0	-	-	-	0	1	-	-						
Fla.	5	4	20	86	68	-	0	10	33	176	-	0	5	3	6						
Ga.	-	0	3	-	7	-	4	16	36	60	-	1	5	2	3						
Md.	1	2	6	37	56	-	6	12	62	103	-	1	7	8	13						
N.C.	10	0	111	69	52	19	9	22	121	84	4	4	61	36	219						
S.C.	3	3	11	24	43	2	3	11	33	33	-	1	5	4	3						
Va.	-	2	19	25	42	31	11	27	163	159	-	2	13	6	2						
W. Va.	-	0	19	3	4	-	2	8	23	22	-	0	2	-	-						
E.S. CENTRAL	2	6	24	57	72	-	4	13	27	48	1	5	27	17	12						
Ala.	-	1	17	17	18	-	1	8	-	16	-	1	9	5	4						
Ky.	-	0	5	-	12	-	0	4	6	4	-	0	1	-	-						
Miss.	-	0	6	6	9	-	0	2	-	2	-	0	1	-	-						
Tenn.	2	3	11	34	33	-	2	7	21	26	1	4	22	12	8						
W.S. CENTRAL	-	17	147	86	159	2	2	34	17	184	-	1	28	-	4						
Ark.	-	1	13	2	10	1	0	5	7	4	-	0	10	-	3						
La.	-	0	2	5	3	-	0	0	-	-	-	0	1	-	-						
Okla.	-	0	9	-	2	1	0	9	10	11	-	0	18	-	-						
Tex.	-	14	134	79	144	-	0	29	-	169	-	0	6	-	1						
MOUNTAIN	10	38	87	320	945	3	3	28	16	30	-	0	5	1	-						
