
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending February 11, 2012 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2012
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2011
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2012
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2011
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2012
Syphillis, primary & secondary cummulative for 2011

tab delimited data:
test
UNITED STATES	190	252	464	1,596	2,174	15	21	41	110	124	77	265	308	792	1,410						
NEW ENGLAND	2	13	31	60	130	1	1	4	3	3	3	7	23	23	39						
Conn.	-	6	20	27	64	-	0	3	-	-	-	0	12	-	4						
Maine	-	2	8	13	21	-	0	1	-	-	-	0	2	-	2						
Mass.	2	0	3	5	4	1	0	2	2	2	1	5	10	19	24						
N.H.	-	1	8	7	15	-	0	1	1	-	-	0	3	1	3						
R.I.	-	1	6	-	22	-	0	1	-	1	2	0	7	3	6						
Vt.	-	1	6	8	4	-	0	2	-	-	-	0	2	-	-						
MID. ATLANTIC	41	16	53	242	137	3	1	10	12	5	9	29	53	90	191						
N.J.	-	0	16	42	-	-	0	2	4	-	-	4	13	-	23						
N.Y. (Upstate)	33	1	28	131	12	3	1	10	7	5	2	4	9	12	14						
N.Y. City	8	12	24	69	125	-	0	9	1	-	-	14	24	32	114						
Pa.	N	0	0	N	N	N	0	0	N	N	7	7	17	46	40						
E.N. CENTRAL	29	64	122	345	460	1	3	10	16	22	2	29	48	48	177						
Ill.	N	0	0	N	N	-	0	0	-	-	-	11	24	25	67						
Ind.	2	13	36	42	106	-	1	4	1	2	2	3	8	10	21						
Mich.	8	13	26	77	91	1	0	2	5	7	-	4	12	1	31						
Ohio	19	28	43	177	199	-	1	7	7	10	-	8	17	10	51						
Wis.	-	8	23	49	64	-	0	2	3	3	-	1	6	2	7						
W.N. CENTRAL	3	2	28	24	18	-	0	2	1	1	-	6	13	3	45						
Iowa	N	0	0	N	N	N	0	0	N	N	-	0	3	2	1						
Kans.	N	0	0	N	N	N	0	0	N	N	-	0	4	-	1						
Minn.	-	0	0	-	-	-	0	0	-	-	-	2	8	-	23						
Mo.	N	0	0	N	N	-	0	0	-	-	-	2	8	-	19						
Nebr.	3	2	9	24	18	-	0	2	1	1	-	0	2	1	1						
N. Dak.	-	0	25	-	-	-	0	1	-	-	-	0	1	-	-						
S. Dak.	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
S. ATLANTIC	62	65	143	443	690	7	6	15	37	42	45	66	90	259	306						
Del.	-	1	5	6	13	-	0	0	-	-	-	0	4	7	3						
D.C.	-	1	5	1	9	-	0	1	1	1	2	3	8	26	22						
Fla.	29	21	55	168	285	2	2	8	14	18	2	24	36	96	143						
Ga.	14	19	38	126	189	2	1	5	10	15	15	12	37	48	22						
Md.	10	9	29	46	102	1	1	3	3	5	6	8	20	23	34						
N.C.	N	0	0	N	N	N	0	0	N	N	7	8	21	35	29						
S.C.	7	8	22	64	92	1	0	3	3	3	-	4	14	-	34						
Va.	N	0	0	N	N	-	0	0	-	-	13	4	12	24	19						
W. Va.	2	1	48	32	-	1	0	4	6	-	-	0	2	-	-						
E.S. CENTRAL	12	23	45	139	196	-	2	4	8	18	5	15	31	34	73						
Ala.	N	0	0	N	N	N	0	0	N	N	2	4	11	12	29						
Ky.	3	4	12	28	35	-	0	3	-	5	3	2	8	10	11						
Miss.	N	0	0	N	N	-	0	0	-	-	-	3	22	-	9						
Tenn.	9	19	42	111	161	-	1	4	8	13	-	5	11	12	24						
W.S. CENTRAL	27	31	126	171	215	3	3	10	16	12	1	36	50	122	166						
Ark.	-	4	14	20	36	-	0	4	2	2	-	4	10	-	22						
La.	-	2	13	26	44	-	0	2	2	2	-	8	25	17	22						
Okla.	N	0	0	N	N	-	0	0	-	-	1	1	6	5	6						
Tex.	27	24	112	125	135	3	3	9	12	8	-	23	38	100	116						
