
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending July 20, 2002 (WEEK 29)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis cummulative for 2002
Shigellosis cummulative for 2001
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2001
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2001
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2001

tab delimited data:
test
UNITED STATES	7,402	8,696	2,577	2,389	1,370	1,850	140	270													
NEW ENGLAND	140	141	124	162	8	86	1	30													
Maine	3	6	15	10	-	-	-	-													
N.H.	5	2	25	N	-	-	N	N													
Vt.	-	3	9	9	3	7	1	-													
Mass.	93	98	62	52	N	N	N	N													
R.I.	7	8	13	8	5	-	-	2													
Conn.	32	24	-	83	-	79	-	28													
MID. ATLANTIC	427	864	432	428	78	116	46	73													
Upstate N.Y.	109	323	212	184	70	114	46	73													
N.Y. City	203	233	115	125	U	U	U	U													
N.J.	48	160	71	75	N	N	N	N													
Pa.	67	148	34	44	8	2	-	-													
E.N. CENTRAL	767	1,605	426	564	124	127	54	72													
Ohio	365	893	149	139	N	N	N	N													
Ind.	43	127	31	44	119	127	29	38													
Ill.	210	279	53	186	2	-	-	34													
Mich.	82	160	193	145	3	-	N	N													
Wis.	67	146	-	50	N	N	25	-													
W.N. CENTRAL	651	840	174	247	148	88	33	31													
Minn.	139	255	90	104	48	40	33	24													
Iowa	67	252	-	-	N	N	N	N													
Mo.	86	144	37	55	6	9	-	-													
N. Dak.	15	13	-	7	1	4	-	7													
S. Dak.	149	87	9	7	1	3	-	-													
Nebr.	141	42	14	29	25	9	N	N													
Kans.	54	47	24	45	67	23	N	N													
S. ATLANTIC	2,904	1,170	512	420	840	982	1	4													
Del.	12	5	1	2	3	2	N	N													
Md.	520	61	83	N	N	N	N	N													
D.C.	35	30	5	15	46	5	1	3													
Va.	520	117	50	60	N	N	N	N													
W. Va.	4	6	13	17	34	37	-	1													
N.C.	156	211	94	111	N	N	U	U													
S.C.	52	144	28	7	132	199	N	N													
Ga.	920	150	130	137	251	280	N	N													
Fla.	685	446	108	71	374	459	N	N													
E.S. CENTRAL	715	842	68	53	92	177	-	-													
Ky.	77	310	12	19	10	18	N	N													
Tenn.	33	55	56	34	82	158	N	N													
Ala.	375	149	-	-	-	1	N	N													
Miss.	230	328	-	-	-	-	-	-													
W.S. CENTRAL	445	1,579	39	222	51	243	3	60													
Ark.	115	391	5	-	5	14	-	-													
La.	69	149	-	-	30	199	1	60													
Okla.	260	21	33	31	N	N	2	-													
Tex.	1	1,018	1	191	N	N	-	-													
MOUNTAIN	318	466	456	253	29	30	2	-													
Mont.	2	1	-	-	-	-	-	-													
Idaho	3	21	5	4	N	N	N	N													
Wyo.	3	2	7	7	9	5	-	-													
Colo.	64	98	151	104	-	-	-	-													
N. Mex.	58	65	69	53	19	23	-	-													
Ariz.	148	216	199	82	-	-	N	N													
Utah	23	28	25	3	1	-	2	-													
Nev.	17	35	-	-	-	2	-	-													
PACIFIC	1,035	1,189	346	40	-	1	-	-													
Wash.	71	97	36	-	-	-	N	N													
Oreg.	53	64	N	N	N	N	N	N													
Calif.	875	996	268	-	N	N	N	N													
Alaska	2	4	-	-	-	-	N	N													
Hawaii	34	28	42	40	-	1	-	-													
Guam	-	31	-	1	-	-	-	-													
P.R.	5	13	N	N	-	-	N	N													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	-	-	U	U													
C.N.M.I.	14	U	-	U	-	-	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


