
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending November 30, 2002 (WEEK 48)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis cummulative for 2002
Shigellosis cummulative for 2001
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2001
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2001
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2001

tab delimited data:
test
UNITED STATES	17,518	18,009	3,691	3,366	2,128	2,358	254	388													
NEW ENGLAND	302	294	173	215	18	120	3	43													
Maine	10	6	20	12	-	-	-	-													
N.H.	11	6	35	N	-	-	N	N													
Vt.	1	7	10	16	5	8	2	1													
Mass.	182	201	93	64	N	N	N	N													
R.I.	17	22	15	13	13	4	1	3													
Conn.	81	52	-	110	-	108	-	39													
MID. ATLANTIC	1,302	1,410	601	618	106	156	69	102													
Upstate N.Y.	310	452	271	243	85	149	67	102													
N.Y. City	414	393	139	159	U	U	U	U													
N.J.	349	259	128	135	N	N	N	N													
Pa.	229	306	63	81	21	7	2	-													
E.N. CENTRAL	1,667	4,122	666	742	224	170	110	120													
Ohio	611	2,752	200	188	69	3	24	-													
Ind.	95	216	46	59	150	167	60	57													
Ill.	632	579	145	241	2	-	-	63													
Mich.	176	285	274	203	3	-	N	N													
Wis.	153	290	1	51	N	N	26	-													
W.N. CENTRAL	956	1,823	227	351	420	145	53	54													
Minn.	214	406	114	163	292	63	53	45													
Iowa	119	353	-	-	N	N	N	N													
Mo.	183	302	42	71	5	11	-	-													
N. Dak.	16	21	3	17	1	6	-	9													
S. Dak.	156	583	13	11	1	4	-	-													
Nebr.	179	88	18	39	29	22	N	N													
Kans.	89	70	37	50	92	39	N	N													
S. ATLANTIC	6,618	2,745	740	546	1,118	1,234	8	8													
Del.	344	16	2	4	3	6	N	N													
Md.	1,131	142	132	N	N	N	N	N													
D.C.	56	54	7	21	52	7	1	4													
Va.	928	441	71	73	N	N	N	N													
W. Va.	12	8	19	19	43	37	7	4													
N.C.	419	318	112	136	N	N	U	U													
S.C.	113	242	34	12	175	259	N	N													
Ga.	1,570	578	155	175	274	395	N	N													
Fla.	2,045	946	208	106	571	530	N	N													
E.S. CENTRAL	1,376	1,615	108	108	124	220	-	-													
Ky.	183	780	18	36	17	25	N	N													
Tenn.	109	99	90	72	107	194	N	N													
Ala.	766	201	-	-	-	1	N	N													
Miss.	318	535	-	-	-	-	-	-													
W.S. CENTRAL	1,692	2,755	110	309	77	269	7	61													
Ark.	190	553	7	-	9	18	-	-													
La.	398	228	-	1	68	251	3	61													
Okla.	547	89	42	45	N	N	4	-													
Tex.	557	1,885	61	263	N	N	-	-													
MOUNTAIN	847	897	542	397	41	40	4	-													
Mont.	4	8	-	-	-	-	-	-													
Idaho	15	40	9	7	N	N	N	N													
Wyo.	9	7	7	12	10	8	-	-													
Colo.	168	232	135	150	-	-	-	-													
N. Mex.	206	114	101	83	30	30	-	-													
Ariz.	360	368	260	142	-	-	N	N													
Utah	39	59	30	3	-	-	4	-													
Nev.	46	69	-	-	1	2	-	-													
PACIFIC	2,758	2,348	524	80	-	4	-	-													
Wash.	167	202	65	-	-	-	N	N													
Oreg.	109	107	N	N	N	N	N	N													
Calif.	2,414	1,976	368	-	N	N	N	N													
Alaska	6	7	-	-	-	-	N	N													
Hawaii	62	56	91	80	-	4	-	-													
Guam	-	49	-	1	-	-	-	-													
P.R.	8	18	N	N	-	-	N	N													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	-	-	U	U													
C.N.M.I.	17	U	-	U	-	-	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


