
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 12, 2005 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Giardiasis cummulative for 2005
Giardiasis cummulative for 2004
Gonorrhea cummulative for 2005
Gonorrhea cummulative for 2004

tab delimited data:
test
UNITED STATES	91	105	12	18	16	12	1,184	1,651	28,090	36,530											
NEW ENGLAND	9	6	-	3	3	1	76	108	603	836											
Maine	-	-	-	-	-	-	8	15	12	38											
N.H.	-	1	-	-	-	-	2	3	14	14											
Vt.	-	-	-	-	-	-	4	7	3	6											
Mass.	3	1	-	2	3	1	61	80	335	357											
R.I.	-	-	-	-	-	-	-	3	55	116											
Conn.	6	4	-	1	-	-	1	-	184	305											
MID. ATLANTIC	13	13	-	-	1	1	245	356	3,151	4,011											
Upstate N.Y.	7	2	-	-	-	-	64	68	589	647											
N.Y. City	1	5	-	-	-	-	65	138	920	1,318											
N.J.	1	-	-	-	-	1	39	41	439	776											
Pa.	4	6	-	-	1	-	77	109	1,203	1,270											
E.N. CENTRAL	16	25	2	6	3	1	108	287	3,467	7,925											
Ohio	9	10	-	-	2	1	59	94	201	2,669											
Ind.	-	4	-	-	-	-	N	N	961	778											
Ill.	2	3	1	-	-	-	4	101	1,576	2,313											
Mich.	3	5	-	-	1	-	30	58	354	1,656											
Wis.	2	3	1	6	-	-	15	34	375	509											
W.N. CENTRAL	17	12	2	4	1	6	95	127	1,335	2,180											
Minn.	2	6	-	-	-	-	1	28	178	547											
Iowa	5	-	-	-	-	-	27	22	-	140											
Mo.	8	3	2	4	1	1	33	50	790	1,000											
N. Dak.	-	-	-	-	-	3	-	2	5	11											
S. Dak.	2	-	-	-	-	-	3	4	39	26											
Nebr.	-	1	-	-	-	-	14	9	106	148											
Kans.	-	2	-	-	-	2	17	12	217	308											
S. ATLANTIC	15	7	2	2	8	3	217	251	8,079	8,173											
Del.	-	-	N	N	N	N	-	6	90	122											
Md.	4	2	1	-	-	-	17	12	770	923											
D.C.	-	-	-	-	-	-	1	10	243	269											
Va.	-	-	-	1	1	-	48	22	1,133	1,096											
W. Va.	-	-	-	-	-	-	1	1	91	97											
N.C.	-	-	-	-	6	3	N	N	2,130	1,144											
S.C.	-	-	-	-	-	-	5	1	999	1,054											
Ga.	3	2	-	-	-	-	62	88	579	1,694											
Fla.	8	3	1	1	1	-	83	111	2,044	1,774											
E.S. CENTRAL	4	3	-	-	-	-	22	29	2,173	2,969											
Ky.	-	1	-	-	-	-	N	N	453	320											
Tenn.	1	-	-	-	-	-	4	11	739	1,008											
Ala.	3	1	-	-	-	-	18	18	210	934											
Miss.	-	1	-	-	-	-	-	-	771	707											
W.S. CENTRAL	2	8	-	-	-	-	21	31	4,890	5,083											
Ark.	1	-	-	-	-	-	11	14	498	390											
La.	-	-	-	-	-	-	-	6	643	1,661											
Okla.	1	2	-	-	-	-	10	11	574	497											
Tex.	-	6	-	-	-	-	N	N	3,175	2,535											
MOUNTAIN	4	11	6	2	-	-	109	167	1,261	1,530											
Mont.	-	1	-	-	-	-	5	5	3	8											
Idaho	1	2	4	-	-	-	13	23	12	9											
Wyo.	-	-	1	-	-	-	1	1	7	5											
Colo.	1	2	1	1	-	-	36	63	312	373											
N. Mex.	-	1	-	-	-	-	5	6	64	105											
Ariz.	1	1	N	N	N	N	26	32	545	679											
Utah	1	2	-	-	-	-	19	24	56	36											
Nev.	-	2	-	1	-	-	4	13	262	315											
PACIFIC	11	20	-	1	-	-	291	295	3,131	3,823											
Wash.	2	3	-	-	-	-	12	20	243	334											
Oreg.	-	2	-	1	-	-	28	56	153	107											
Calif.	6	12	-	-	-	-	235	209	2,624	3,152											
Alaska	1	-	-	-	-	-	3	5	48	57											
Hawaii	2	3	-	-	-	-	13	5	63	173											
Guam	N	N	-	-	-	-	-	-	-	27											
P.R.	-	-	-	-	-	-	-	1	37	15											
V.I.	-	-	-	-	-	-	-	-	-	19											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


