
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending March 30, 2002 (WEEK 13)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	68	21	-	5	1	-	5,323	6,047													
NEW ENGLAND	-	-	-	-	-	-	309	403													
Maine	-	-	-	-	-	-	44	21													
N.H.	-	-	-	-	-	-	13	26													
Vt.	-	-	-	-	-	-	14	20													
Mass.	-	-	-	-	-	-	167	254													
R.I.	-	-	-	-	-	-	5	21													
Conn.	-	-	-	-	-	-	66	61													
MID. ATLANTIC	5	1	-	3	-	-	515	950													
Upstate N.Y.	-	-	-	1	-	-	94	158													
N.Y. City	-	-	-	2	-	-	234	215													
N.J.	-	-	-	-	-	-	57	351													
Pa.	5	1	-	-	-	-	130	226													
E.N. CENTRAL	3	2	-	1	-	-	936	829													
Ohio	3	-	-	-	-	-	298	248													
Ind.	-	1	-	-	-	-	50	58													
Ill.	-	1	-	1	-	-	300	245													
Mich.	-	-	-	-	-	-	190	146													
Wis.	-	-	-	-	-	-	98	132													
W.N. CENTRAL	10	3	-	-	-	-	421	352													
Minn.	-	-	-	-	-	-	77	114													
Iowa	-	-	-	-	-	-	63	51													
Mo.	10	3	-	-	-	-	204	86													
N. Dak.	-	-	-	-	-	-	5	1													
S. Dak.	-	-	-	-	-	-	20	22													
Nebr.	-	-	-	-	-	-	-	30													
Kans.	-	-	-	-	-	-	52	48													
S. ATLANTIC	46	11	-	-	-	-	1,441	1,357													
Del.	-	-	-	-	-	-	11	16													
Md.	5	2	-	-	-	-	126	137													
D.C.	-	-	-	-	-	-	19	16													
Va.	1	-	-	-	-	-	91	136													
W. Va.	-	-	-	-	-	-	8	9													
N.C.	30	6	-	-	-	-	223	233													
S.C.	5	1	-	-	-	-	68	129													
Ga.	4	-	-	-	-	-	377	369													
Fla.	1	2	-	-	-	-	518	312													
E.S. CENTRAL	4	3	-	-	-	-	305	326													
Ky.	-	-	-	-	-	-	44	58													
Tenn.	4	2	-	-	-	-	100	82													
Ala.	-	1	-	-	-	-	102	125													
Miss.	-	-	-	-	-	-	59	61													
W.S. CENTRAL	-	-	-	-	-	-	117	644													
Ark.	-	-	-	-	-	-	49	52													
La.	-	-	-	-	-	-	8	142													
Okla.	-	-	-	-	-	-	58	26													
Tex.	-	-	-	-	-	-	2	424													
MOUNTAIN	-	1	-	-	-	-	391	352													
Mont.	-	-	-	-	-	-	10	12													
Idaho	-	1	-	-	-	-	21	17													
Wyo.	-	-	-	-	-	-	11	15													
Colo.	-	-	-	-	-	-	109	96													
N. Mex.	-	-	-	-	-	-	59	43													
Ariz.	-	-	-	-	-	-	100	109													
Utah	-	-	-	-	-	-	36	38													
Nev.	-	-	-	-	-	-	45	22													
PACIFIC	-	-	-	1	1	-	888	834													
Wash.	-	-	-	-	-	-	41	76													
Oreg.	-	-	-	-	-	-	62	17													
Calif.	-	-	-	-	-	-	725	655													
Alaska	-	-	-	-	-	-	14	10													
Hawaii	-	-	-	1	1	-	46	76													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	37	184													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	2	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


