
TABLE I.  Provisional cases of infrequently reported notifiable diseases (<1,000 cases reported during the preceding year), United States, week ending March 17, 2007 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Disease
Current week
Cummulative for 2007
5-year weekly average†
Total cases reported for year 2006
Total cases reported for year 2005
Total cases reported for year 2004
Total cases reported for year 2003
Total cases reported for year 2002
States reporting cases during current week (No.)

tab delimited data:
test
Anthrax	-	-	0	1	-	-	-	2		
Botulism:										
foodborne	-	-	0	17	19	16	20	28		
infant	-	13	2	93	85	87	76	69		
other (wound & unspecified)	-	2	0	46	31	30	33	21		
Brucellosis	3	19	2	115	120	114	104	125	FL (1 ), CA (2 )	
Chancroid	-	1	1	34	17	30	54	67		
Cholera	-	-	-	6	8	5	2	2		
Cyclosporiasis §	-	9	4	134	543	171	75	156		
Diphtheria	-	-	-	-	-	-	1	1		
Domestic arboviral diseases §, ¶ :										
California serogroup	-	-	0	63	80	112	108	164		
eastern equine	-	-	-	7	21	6	14	10		
Powassan	-	-	-	1	1	1	-	1		
St. Louis	-	-	0	9	13	12	41	28		
western equine	-	-	-	-	-	-	-	-		
Ehrlichiosis §:										
human granulocytic	-	11	1	556	786	537	362	511		
human monocytic	2	21	1	496	506	338	321	216	NY (2 )	
human (other & unspecified)	-	6	0	201	112	59	44	23		
Haemophilus influenzae**, invasive disease (age &lt;5 yrs):										
serotype b	1	2	0	9	9	19	32	34	IN (1 )	
nonserotype b	1	10	3	101	135	135	117	144	OK (1 )	
unknown serotype	4	66	5	246	217	177	227	153	OH (2 ), DE (1 ), AZ (1 )	
Hansen disease §	-	9	2	73	87	105	95	96		
Hantavirus pulmonary syndrome §	-	2	0	36	26	24	26	19		
Hemolytic uremic syndrome, post-diarrheal §	2	17	2	268	221	200	178	216	NC (2 )	
Hepatitis C viral, acute	3	120	21	826	652	713	1,102	1,835	OH (1 ), MO (1 ), NC (1 )	
HIV infection, pediatric (age &lt;13 yrs) ††	-	-	6	52	380	436	504	420		
Influenza-associated pediatric mortality §, §§	3	35	1	41	45	-	N	N	NC (1 ), NY (1 ), NYC (1 )	
Listeriosis	5	87	9	804	896	753	696	665	OH (1 ), GA (1 ), AZ (1 ), CA (2 )	
Measles ¶¶	-	2	1	52	66	37	56	44		
Meningococcal disease, invasive *** :										
A, C, Y, and W-135	2	35	7	226	297	-	-	-	MD (1 ), NC (1 )	
serogroup B	4	17	4	141	156	-	-	-	NC (1 ), SC (1 ), TN (1 ), WA (1 )	
other serogroup	-	4	1	24	27	-	-	-		
unknown serogroup	12	136	22	718	765	-	-	-	CT (1 ), MN (2 ), MO (1 ), MD (1 ), NC (1 ), ID (1 ), CO (1 ), CA (4 )	
Mumps	11	149	30	6,487	314	258	231	270	NY (2 ), MI (1 ), MN (2 ), KS (2 ), TX (1 ), CO (1 ), AZ (1 ), WA (1 )	
Plague	-	-	0	16	8	3	1	2		
