
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 15, 2005 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Giardiasis cummulative for 2005
Giardiasis cummulative for 2004
Gonorrhea cummulative for 2005
Gonorrhea cummulative for 2004

tab delimited data:
test
UNITED STATES	20	37	2	4	5	2	265	507	6,559	12,001											
NEW ENGLAND	1	-	-	1	-	-	20	43	266	250											
Maine	-	-	-	-	-	-	1	7	2	10											
N.H.	-	-	-	-	-	-	-	2	6	4											
Vt.	-	-	-	-	-	-	3	2	2	-											
Mass.	1	-	-	1	-	-	16	32	92	126											
R.I.	-	-	-	-	-	-	-	-	15	44											
Conn.	-	-	-	-	-	-	-	-	149	66											
MID. ATLANTIC	-	6	-	-	-	-	28	111	641	1,132											
Upstate N.Y.	-	-	-	-	-	-	9	13	108	90											
N.Y. City	-	3	-	-	-	-	5	48	248	435											
N.J.	-	-	-	-	-	-	12	16	162	253											
Pa.	-	3	-	-	-	-	2	34	123	354											
E.N. CENTRAL	7	10	-	1	2	1	21	94	460	2,180											
Ohio	6	5	-	-	2	1	18	37	1	785											
Ind.	-	-	-	-	-	-	-	-	328	244											
Ill.	-	2	-	-	-	-	-	26	55	598											
Mich.	1	3	-	-	-	-	3	23	31	387											
Wis.	-	-	-	1	-	-	-	8	45	166											
W.N. CENTRAL	3	3	-	2	-	-	20	37	134	797											
Minn.	-	-	-	-	-	-	-	8	-	210											
Iowa	2	-	-	-	-	-	3	8	-	52											
Mo.	1	2	-	2	-	-	8	14	-	332											
N. Dak.	-	-	-	-	-	-	-	-	1	4											
S. Dak.	-	-	-	-	-	-	-	1	13	11											
Nebr.	-	-	-	-	-	-	2	1	-	61											
Kans.	-	1	-	-	-	-	7	5	120	127											
S. ATLANTIC	4	3	-	-	3	1	64	79	2,680	2,870											
Del.	-	-	N	N	N	N	-	-	33	46											
Md.	2	-	-	-	-	-	6	4	285	353											
D.C.	-	-	-	-	-	-	-	-	91	104											
Va.	-	-	-	-	-	-	1	-	380	366											
W. Va.	-	-	-	-	-	-	-	-	27	31											
N.C.	-	-	-	-	3	1	N	N	808	661											
S.C.	-	-	-	-	-	-	1	-	382	142											
Ga.	1	1	-	-	-	-	34	40	128	680											
Fla.	1	2	-	-	-	-	22	35	546	487											
E.S. CENTRAL	-	-	-	-	-	-	4	12	407	1,099											
Ky.	-	-	-	-	-	-	N	N	164	121											
Tenn.	-	-	-	-	-	-	1	2	176	393											
Ala.	-	-	-	-	-	-	3	10	3	344											
Miss.	-	-	-	-	-	-	-	-	64	241											
W.S. CENTRAL	-	2	-	-	-	-	2	7	935	1,910											
Ark.	-	-	-	-	-	-	-	3	78	116											
La.	-	-	-	-	-	-	-	4	216	732											
Okla.	-	-	-	-	-	-	2	-	140	179											
Tex.	-	2	-	-	-	-	N	N	501	883											
MOUNTAIN	1	4	2	-	-	-	28	38	395	513											
Mont.	-	-	-	-	-	-	-	1	1	-											
Idaho	1	1	-	-	-	-	5	5	-	3											
Wyo.	-	-	1	-	-	-	1	-	1	2											
Colo.	-	-	1	-	-	-	15	23	127	152											
N. Mex.	-	-	-	-	-	-	1	1	2	22											
Ariz.	-	-	N	N	N	N	1	-	167	203											
Utah	-	1	-	-	-	-	3	5	1	12											
Nev.	-	2	-	-	-	-	2	3	96	119											
PACIFIC	4	9	-	-	-	-	78	86	641	1,250											
Wash.	-	-	-	-	-	-	-	-	84	74											
Oreg.	-	1	-	-	-	-	5	22	39	30											
Calif.	3	5	-	-	-	-	70	62	509	1,069											
Alaska	-	-	-	-	-	-	2	1	9	14											
Hawaii	1	3	-	-	-	-	1	1	-	63											
Guam	N	N	-	-	-	-	-	-	-	12											
P.R.	-	-	-	-	-	-	-	-	8	2											
V.I.	-	-	-	-	-	-	-	-	-	9											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


