
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending June 29, 2002 (WEEK 26)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	272	155	6	14	2	-	13,358	14,894													
NEW ENGLAND	-	2	-	-	-	-	811	1,091													
Maine	-	-	-	-	-	-	67	101													
N.H.	-	-	-	-	-	-	46	87													
Vt.	-	-	-	-	-	-	29	35													
Mass.	-	2	-	-	-	-	451	623													
R.I.	-	-	-	-	-	-	53	54													
Conn.	-	-	-	-	-	-	165	191													
MID. ATLANTIC	14	11	2	5	-	-	1,697	2,018													
Upstate N.Y.	3	-	1	1	-	-	597	454													
N.Y. City	2	1	-	3	-	-	565	546													
N.J.	2	2	1	1	-	-	188	468													
Pa.	7	8	-	-	-	-	347	550													
E.N. CENTRAL	4	10	-	2	-	-	2,213	2,061													
Ohio	4	1	-	-	-	-	624	615													
Ind.	-	1	-	-	-	-	185	192													
Ill.	-	8	-	2	-	-	689	573													
Mich.	-	-	-	-	-	-	397	359													
Wis.	-	-	-	-	-	-	318	322													
W.N. CENTRAL	37	28	-	3	-	-	1,030	883													
Minn.	-	-	-	-	-	-	228	274													
Iowa	1	1	-	1	-	-	162	137													
Mo.	36	25	-	1	-	-	401	214													
N. Dak.	-	-	-	-	-	-	25	15													
S. Dak.	-	2	-	-	-	-	38	55													
Nebr.	-	-	-	-	-	-	51	64													
Kans.	-	-	-	1	-	-	125	124													
S. ATLANTIC	170	56	2	3	-	-	3,238	3,144													
Del.	2	-	-	-	-	-	20	33													
Md.	21	11	1	-	-	-	332	331													
D.C.	-	-	-	-	-	-	36	33													
Va.	7	4	-	-	-	-	364	498													
W. Va.	1	-	-	-	-	-	43	49													
N.C.	92	23	-	-	-	-	495	461													
S.C.	28	10	-	2	-	-	193	323													
Ga.	16	5	-	-	-	-	749	571													
Fla.	3	3	1	1	-	-	1,006	845													
E.S. CENTRAL	28	34	-	-	1	-	833	836													
Ky.	2	1	-	-	-	-	129	148													
Tenn.	18	27	-	-	1	-	214	223													
Ala.	8	3	-	-	-	-	267	242													
Miss.	-	3	-	-	-	-	223	223													
W.S. CENTRAL	13	9	1	-	-	-	516	1,749													
Ark.	-	4	-	-	-	-	259	219													
La.	-	1	-	-	-	-	97	310													
Okla.	13	4	-	-	-	-	158	121													
Tex.	-	-	1	-	-	-	2	1,099													
MOUNTAIN	5	5	-	-	-	-	943	925													
Mont.	1	1	-	-	-	-	42	37													
Idaho	-	1	-	-	-	-	57	57													
Wyo.	2	1	-	-	-	-	27	30													
Colo.	1	-	-	-	-	-	244	253													
N. Mex.	-	-	-	-	-	-	130	114													
Ariz.	-	-	-	-	-	-	277	254													
Utah	-	2	-	-	-	-	73	102													
Nev.	1	-	-	-	-	-	93	78													
PACIFIC	1	-	1	1	1	-	2,077	2,187													
Wash.	-	-	-	-	-	-	179	208													
Oreg.	-	-	-	-	-	-	190	128													
Calif.	1	-	1	-	-	-	1,549	1,667													
Alaska	-	-	-	-	-	-	36	23													
Hawaii	-	-	-	1	1	-	123	161													
Guam	-	-	-	-	-	-	-	9													
P.R.	-	-	-	3	-	-	69	454													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	18	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


