
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending June 15, 2002 (WEEK 24)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	217	117	6	11	2	-	11,978	13,013													
NEW ENGLAND	-	-	-	-	-	-	728	945													
Maine	-	-	-	-	-	-	64	96													
N.H.	-	-	-	-	-	-	43	68													
Vt.	-	-	-	-	-	-	29	35													
Mass.	-	-	-	-	-	-	412	524													
R.I.	-	-	-	-	-	-	36	49													
Conn.	-	-	-	-	-	-	144	173													
MID. ATLANTIC	12	6	2	4	-	-	1,502	1,795													
Upstate N.Y.	2	-	1	1	-	-	481	404													
N.Y. City	2	1	-	2	-	-	536	483													
N.J.	1	2	1	1	-	-	184	407													
Pa.	7	3	-	-	-	-	301	501													
E.N. CENTRAL	2	7	-	2	-	-	1,993	1,820													
Ohio	2	1	-	-	-	-	571	575													
Ind.	-	-	-	-	-	-	164	164													
Ill.	-	6	-	2	-	-	587	497													
Mich.	-	-	-	-	-	-	353	305													
Wis.	-	-	-	-	-	-	318	279													
W.N. CENTRAL	24	24	-	3	-	-	924	796													
Minn.	-	-	-	-	-	-	204	251													
Iowa	1	1	-	1	-	-	145	126													
Mo.	22	21	-	1	-	-	362	188													
N. Dak.	-	-	-	-	-	-	22	15													
S. Dak.	-	2	-	-	-	-	29	49													
Nebr.	-	-	-	-	-	-	51	61													
Kans.	1	-	-	1	-	-	111	106													
S. ATLANTIC	142	41	2	1	-	-	2,899	2,769													
Del.	1	-	-	-	-	-	15	30													
Md.	18	7	1	-	-	-	293	280													
D.C.	-	-	-	-	-	-	31	32													
Va.	4	3	-	-	-	-	330	443													
W. Va.	1	-	-	-	-	-	41	41													
N.C.	75	16	-	-	-	-	443	421													
S.C.	28	7	-	-	-	-	189	297													
Ga.	14	5	-	-	-	-	695	480													
Fla.	1	3	1	1	-	-	862	745													
E.S. CENTRAL	21	27	-	-	1	-	752	717													
Ky.	1	1	-	-	-	-	123	132													
Tenn.	15	22	-	-	1	-	201	189													
Ala.	5	1	-	-	-	-	229	215													
Miss.	-	3	-	-	-	-	199	181													
W.S. CENTRAL	13	7	1	-	-	-	413	1,395													
Ark.	-	4	-	-	-	-	205	174													
La.	-	1	-	-	-	-	75	264													
Okla.	13	2	-	-	-	-	131	106													
Tex.	-	-	1	-	-	-	2	851													
MOUNTAIN	3	5	-	-	-	-	887	843													
Mont.	1	1	-	-	-	-	42	30													
Idaho	-	1	-	-	-	-	56	47													
Wyo.	1	1	-	-	-	-	22	27													
Colo.	-	-	-	-	-	-	224	234													
N. Mex.	-	-	-	-	-	-	116	106													
Ariz.	-	-	-	-	-	-	273	232													
Utah	-	2	-	-	-	-	63	89													
Nev.	1	-	-	-	-	-	91	78													
PACIFIC	-	-	1	1	1	-	1,880	1,933													
Wash.	-	-	-	-	-	-	179	188													
Oreg.	-	-	-	-	-	-	167	117													
Calif.	-	-	1	-	-	-	1,394	1,455													
Alaska	-	-	-	-	-	-	32	22													
Hawaii	-	-	-	1	1	-	108	151													
Guam	-	-	-	-	-	-	-	4													
P.R.	-	-	-	3	-	-	69	393													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	17	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


