
TABLE I.  Provisional cases of infrequently reported notifiable diseases (<1,000 cases reported during the preceding year), United States, week ending March 10, 2007 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Disease
Current week
Cummulative for 2007
5-year weekly average†
Total cases reported for year 2006
Total cases reported for year 2005
Total cases reported for year 2004
Total cases reported for year 2003
Total cases reported for year 2002
States reporting cases during current week (No.)

tab delimited data:
test
Anthrax	-	-	0	1	-	-	-	2		
Botulism:										
foodborne	-	-	0	19	19	16	20	28		
infant	1	12	2	92	85	87	76	69	KY (1 )	
other (wound & unspecified)	-	2	0	46	31	30	33	21		
Brucellosis	1	15	2	115	120	114	104	125	CA (1 )	
Chancroid	-	1	1	34	17	30	54	67		
Cholera	-	-	-	6	8	5	2	2		
Cyclosporiasis §	-	9	4	134	543	171	75	156		
Diphtheria	-	-	-	-	-	-	1	1		
Domestic arboviral diseases §, ¶ :										
California serogroup	-	-	0	63	80	112	108	164		
eastern equine	-	-	-	7	21	6	14	10		
Powassan	-	-	-	1	1	1	-	1		
St. Louis	-	-	-	9	13	12	41	28		
western equine	-	-	-	-	-	-	-	-		
Ehrlichiosis §:										
human granulocytic	2	11	1	556	786	537	362	511	NY (2 )	
human monocytic	2	19	1	493	506	338	321	216	NY (1 ), PA (1 )	
human (other & unspecified)	-	6	0	201	112	59	44	23		
Haemophilus influenzae**, invasive disease (age &lt;5 yrs):										
serotype b	-	1	0	9	9	19	32	34		
nonserotype b	1	9	3	100	135	135	117	144	FL (1 )	
unknown serotype	2	60	5	247	217	177	227	153	NY (1 ), UT (1 )	
Hansen disease §	-	9	2	75	87	105	95	96		
Hantavirus pulmonary syndrome §	-	2	0	36	26	24	26	19		
Hemolytic uremic syndrome, post-diarrheal §	1	14	2	271	221	200	178	216	NY (1 )	
Hepatitis C viral, acute	7	107	21	833	652	713	1,102	1,835	CT (1 ), NY (1 ), TX (1 ), CA (4 )	
HIV infection, pediatric (age &lt;13 yrs) ††	-	-	6	52	380	436	504	420		
Influenza-associated pediatric mortality §, §§	7	32	1	41	45	-	N	N	AZ (1 ), SD (1 ), MN (1 ), GA (1 ), CA (3 )	
Listeriosis	4	78	9	802	896	753	696	665	VA (1 ), TX (2 ), WA (1 )	
Measles ¶¶	-	1	1	51	66	37	56	44		
Meningococcal disease, invasive *** :										
A, C, Y, and W-135	5	31	7	224	297	-	-	-	OH (1 ), TX (1 ), WA (3 )	
serogroup B	1	13	3	137	156	-	-	-	WA (1 )	
