
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending December 1, 2001 (WEEK 48)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2001
Meningococcal Disease cummulative for 2000
Mumps current week
Mumps cummulative for 2001
Mumps cummulative for 2000
Pertussis current week
Pertussis cummulative for 2001
Pertussis cummulative for 2000
Rubella current week
Rubella cummulative for 2001
Rubella cummulative for 2000

tab delimited data:
test
UNITED STATES	2,041	2,009	3	201	299	82	4,394	6,600	-	20	165										
NEW ENGLAND	106	118	-	-	4	4	415	1,789	-	-	12										
Maine	4	8	-	-	-	-	21	45	-	-	-										
N.H.	13	12	-	-	-	-	38	126	-	-	2										
Vt.	6	3	-	-	-	3	36	236	-	-	-										
Mass.	54	68	-	-	1	-	297	1,318	-	-	8										
R.I.	6	9	-	-	1	1	6	19	-	-	1										
Conn.	23	18	-	-	2	-	17	45	-	-	1										
MID. ATLANTIC	203	238	-	20	26	2	265	654	-	5	9										
Upstate N.Y.	59	72	-	3	10	2	133	326	-	1	1										
N.Y. City	40	41	-	10	7	-	44	82	-	3	8										
N.J.	49	49	-	3	3	-	18	30	-	1	-										
Pa.	55	76	-	4	6	-	70	216	-	-	-										
E.N. CENTRAL	295	362	-	19	22	7	605	774	-	3	1										
Ohio	75	87	-	1	7	2	235	318	-	-	-										
Ind.	37	41	-	3	1	1	80	111	-	1	-										
Ill.	70	82	-	11	6	2	71	113	-	2	1										
Mich.	66	110	-	4	6	2	132	111	-	-	-										
Wis.	47	42	-	-	2	-	87	121	-	-	-										
W.N. CENTRAL	145	146	1	11	17	23	345	564	-	3	2										
Minn.	22	21	-	3	-	21	167	343	-	-	1										
Iowa	29	34	-	-	7	1	43	56	-	1	-										
Mo.	49	66	-	2	4	-	92	85	-	1	-										
N. Dak.	6	2	-	-	1	-	5	6	-	-	-										
S. Dak.	5	5	-	-	-	-	4	7	-	-	-										
Nebr.	20	7	-	1	2	-	7	27	-	-	1										
Kans.	14	11	1	5	3	1	27	40	-	1	-										
S. ATLANTIC	347	268	1	37	44	9	247	478	-	7	112										
Del.	5	1	-	-	-	-	-	9	-	1	1										
Md.	40	26	1	7	9	-	38	114	-	-	-										
D.C.	-	-	-	-	-	-	1	3	-	-	-										
Va.	38	39	-	8	10	8	49	106	-	-	-										
W. Va.	13	13	-	-	-	-	4	1	-	-	-										
N.C.	62	36	-	5	7	1	70	108	-	-	82										
S.C.	34	22	-	5	11	-	32	35	-	2	27										
Ga.	48	45	-	7	2	-	27	40	-	1	-										
Fla.	107	86	-	5	5	-	26	62	-	3	2										
E.S. CENTRAL	123	127	-	9	5	2	149	108	-	-	6										
Ky.	21	26	-	3	1	2	52	55	-	-	1										
Tenn.	56	53	-	1	2	-	57	32	-	-	1										
Ala.	31	34	-	-	2	-	36	18	-	-	4										
Miss.	15	14	-	5	-	-	4	3	-	-	-										
W.S. CENTRAL	322	214	1	14	32	14	470	351	-	1	8										
Ark.	19	13	-	1	3	-	45	36	-	-	1										
La.	65	43	-	2	5	-	3	20	-	-	1										
Okla.	28	27	-	-	-	-	27	47	-	-	-										
Tex.	210	131	1	11	24	14	395	248	-	1	6										
MOUNTAIN	88	94	-	13	21	19	1,248	755	-	-	2										
Mont.	4	4	-	1	1	-	37	35	-	-	-										
Idaho	7	7	-	1	1	-	170	61	-	-	-										
Wyo.	5	1	-	1	1	-	1	4	-	-	-										
Colo.	34	32	-	3	1	11	283	453	-	-	1										
N. Mex.	10	11	-	2	1	2	137	88	-	-	-										
Ariz.	13	29	-	1	4	-	509	75	-	-	1										
Utah	8	7	-	1	6	-	76	24	-	-	-										
Nev.	7	3	-	3	6	6	35	15	-	-	-										
PACIFIC	412	442	-	78	128	2	650	1,127	-	1	13										
Wash.	60	56	-	2	10	2	161	391	-	-	7										
Oreg.	41	66	N	N	N	-	51	106	-	-	-										
Calif.	295	303	-	39	87	-	395	569	-	-	6										
Alaska	3	9	-	1	8	-	11	21	-	-	-										
Hawaii	13	8	-	36	23	-	32	40	-	1	-										
Guam	-	-	-	-	16	-	-	4	-	-	1										
P.R.	4	10	-	-	-	-	2	9	-	-	-										
V.I.	-	-	-	-	-	-	-	-	-	-	-										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	U	U	-	U	U	-	U	U	-	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


