
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending November 19, 2005 (WEEK 46)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	20,405	35,513	807,509	814,051	4,263	5,257	6,593	3,249													
NEW ENGLAND	778	1,129	28,146	26,576	-	-	309	161													
Maine	11	23	1,952	1,847	N	N	25	18													
N.H.	20	39	1,631	1,546	-	-	32	30													
Vt.	4	14	846	999	-	-	35	23													
Mass.	368	425	12,773	11,842	-	-	128	59													
R.I.	68	114	2,778	3,011	-	-	13	4													
Conn.	307	514	8,166	7,331	N	N	76	27													
MID. ATLANTIC	4,352	7,866	101,337	100,041	-	-	2,941	528													
Upstate N.Y.	800	855	20,522	20,370	N	N	2,530	167													
N.Y. City	2,327	4,452	32,570	30,473	-	-	119	127													
N.J.	574	1,302	15,603	15,543	N	N	52	43													
Pa.	651	1,257	32,642	33,655	N	N	240	191													
E.N. CENTRAL	1,938	2,818	133,588	144,000	11	13	1,381	976													
Ohio	312	541	36,299	35,397	N	N	744	208													
Ind.	236	327	17,431	16,534	N	N	77	70													
Ill.	983	1,274	40,235	42,313	-	-	131	150													
Mich.	322	535	23,541	32,583	11	13	100	141													
Wis.	85	141	16,082	17,173	N	N	329	407													
W.N. CENTRAL	463	720	49,505	50,545	5	6	544	374													
Minn.	123	190	9,601	10,473	3	N	131	123													
Iowa	50	57	6,355	6,167	N	N	105	81													
Mo.	198	297	19,364	18,741	1	3	241	65													
N. Dak.	5	16	1,011	1,595	N	N	1	12													
S. Dak.	10	8	2,459	2,252	-	-	24	37													
Nebr.	18	44	4,494	4,672	1	3	9	27													
Kans.	59	108	6,221	6,645	N	N	33	29													
S. ATLANTIC	6,473	11,141	153,946	152,690	2	-	653	480													
Del.	100	136	3,021	2,609	N	N	4	-													
Md.	812	1,293	16,411	16,796	2	-	33	22													
D.C.	467	785	3,322	3,148	-	-	15	14													
Va.	307	565	18,368	19,397	-	-	60	56													
W. Va.	36	71	2,426	2,480	N	N	13	6													
N.C.	531	1,015	27,891	25,923	N	N	83	72													
S.C.	386	643	18,186	16,908	-	-	17	22													
Ga.	1,103	1,410	26,745	27,966	-	-	111	168													
Fla.	2,731	5,223	37,576	37,463	N	N	317	120													
E.S. CENTRAL	1,093	1,647	59,905	53,644	-	5	191	133													
Ky.	135	212	7,724	5,333	N	N	129	42													
Tenn.	434	684	21,125	19,793	N	N	38	41													
Ala.	295	382	13,764	12,027	-	-	20	22													
Miss.	229	369	17,292	16,491	-	5	4	28													
W.S. CENTRAL	2,206	4,223	92,348	98,391	1	3	177	126													
Ark.	72	183	7,718	7,124	-	1	6	15													
La.	436	799	14,441	19,768	1	2	78	5													
Okla.	167	169	9,506	9,428	N	N	41	22													
Tex.	1,531	3,072	60,683	62,071	N	N	52	84													
MOUNTAIN	789	1,242	46,072	49,954	2,944	3,304	121	157													
Mont.	4	5	1,844	2,198	N	N	16	34													
Idaho	9	17	2,253	2,466	N	N	15	27													
Wyo.	2	14	997	944	3	2	3	3													
Colo.	163	278	11,712	12,823	N	N	47	54													
N. Mex.	72	164	5,135	8,035	14	21	8	17													
Ariz.	329	454	14,986	14,408	2,889	3,202	9	15													
Utah	33	62	3,819	3,338	6	22	14	5													
Nev.	177	248	5,326	5,742	32	57	9	2													
PACIFIC	2,313	4,727	142,662	138,210	1,300	1,926	276	314													
Wash.	229	348	16,531	15,604	N	N	43	33													
Oreg.	136	249	7,939	7,360	-	-	64	29													
Calif.	1,874	3,981	111,681	107,075	1,300	1,926	165	250													
Alaska	14	43	3,495	3,391	-	-	3	-													
Hawaii	60	106	3,016	4,780	-	-	1	2													
Guam	1	1	-	803	-	-	-	-													
P.R.	537	635	3,311	3,037	N	N	N	N													
V.I.	10	18	196	303	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


