
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 17, 2004 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Giardiasis cummulative for 2004
Giardiasis cummulative for 2003
Gonorrhea cummulative for 2004
Gonorrhea cummulative for 2003

tab delimited data:
test
UNITED STATES	256	318	33	69	32	28	3,942	5,140	76,284	91,572											
NEW ENGLAND	15	14	1	7	4	3	357	309	1,942	2,012											
Maine	-	1	-	-	-	-	35	34	80	42											
N.H.	2	4	-	1	-	-	13	17	34	38											
Vt.	-	-	-	-	-	-	22	21	23	28											
Mass.	2	4	-	2	4	3	183	164	992	761											
R.I.	1	1	-	-	-	-	23	29	271	284											
Conn.	10	4	1	4	-	-	81	44	542	859											
MID. ATLANTIC	18	32	1	1	9	4	859	903	9,649	11,554											
Upstate N.Y.	6	8	1	-	3	2	262	203	2,057	1,968											
N.Y. City	4	3	-	-	-	-	273	348	2,884	3,852											
N.J.	-	4	-	-	2	-	71	129	1,479	2,584											
Pa.	8	17	-	1	4	2	253	223	3,229	3,150											
E.N. CENTRAL	51	71	7	11	4	4	484	745	15,558	19,796											
Ohio	15	15	-	8	4	4	217	217	4,320	6,510											
Ind.	9	9	-	-	-	-	-	-	1,811	1,854											
Ill.	7	14	-	-	-	-	59	224	3,612	6,262											
Mich.	10	14	1	-	-	-	145	178	4,680	3,422											
Wis.	10	19	6	3	-	-	63	126	1,135	1,748											
W.N. CENTRAL	48	39	7	6	7	6	462	428	4,476	4,750											
Minn.	20	14	3	5	-	-	159	130	965	768											
Iowa	5	3	-	-	-	-	61	61	-	291											
Mo.	6	14	4	1	2	-	131	136	2,333	2,448											
N. Dak.	2	1	-	-	3	1	8	13	37	14											
S. Dak.	1	2	-	-	-	-	19	13	81	41											
Nebr.	7	4	-	-	-	-	42	43	318	438											
Kans.	7	1	-	-	2	5	42	32	742	750											
S. ATLANTIC	21	59	12	35	3	10	655	1,510	16,343	21,826											
Del.	-	-	N	N	N	N	16	15	292	379											
Md.	2	-	-	-	-	-	26	29	2,427	2,227											
D.C.	-	1	-	-	-	-	20	9	666	723											
Va.	1	4	5	-	-	-	101	69	472	2,265											
W. Va.	1	1	-	-	-	-	9	7	240	241											
N.C.	-	-	4	8	-	-	N	N	4,274	3,770											
S.C.	-	-	-	-	-	-	15	34	2,573	2,403											
Ga.	6	6	2	2	-	-	172	211	1,095	4,568											
Fla.	11	47	1	25	3	10	296	1,136	4,304	5,250											
E.S. CENTRAL	8	12	1	-	3	-	85	87	6,557	7,991											
Ky.	4	2	1	-	3	-	N	N	703	1,015											
Tenn.	2	6	-	-	-	-	33	37	2,285	2,452											
Ala.	1	3	-	-	-	-	52	50	1,939	2,607											
Miss.	1	1	-	-	-	-	-	-	1,630	1,917											
W.S. CENTRAL	15	10	-	2	1	-	69	59	10,727	12,183											
Ark.	1	2	-	-	-	-	35	33	1,037	1,064											
La.	-	-	-	-	-	-	8	4	3,413	3,066											
Okla.	3	-	-	-	-	-	26	22	1,282	1,064											
Tex.	11	8	-	2	1	-	-	-	4,995	6,989											
MOUNTAIN	47	34	3	6	1	1	345	336	3,002	3,148											
Mont.	2	-	-	-	-	-	8	12	11	40											
Idaho	6	9	1	4	-	-	49	42	22	25											
Wyo.	-	-	-	-	-	-	3	5	16	14											
Colo.	23	14	1	1	1	1	108	95	747	867											
N. Mex.	3	-	-	1	-	-	15	15	152	364											
Ariz.	4	8	N	N	N	N	67	59	1,405	1,220											
Utah	5	3	-	-	-	-	64	72	102	76											
Nev.	4	-	1	-	-	-	31	36	547	542											
PACIFIC	33	47	1	1	-	-	626	763	8,030	8,312											
Wash.	6	16	-	-	-	-	60	59	802	800											
Oreg.	4	8	1	1	-	-	104	81	225	272											
Calif.	16	23	-	-	-	-	422	573	6,817	6,780											
Alaska	1	-	-	-	-	-	17	24	185	160											
Hawaii	6	-	-	-	-	-	23	26	1	300											
Guam	N	N	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	25	5	23	46	68											
V.I.	-	-	-	-	-	-	-	-	4	28											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	3	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


