
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 7, 2007 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
Giardiasis current week
Giardiasis previous 52 weeks median 
Giardiasis previous 52 weeks maximum 
Giardiasis cummulative for 2007
Giardiasis cummulative for 2006
Gonorrhea current week
Gonorrhea previous 52 weeks median 
Gonorrhea previous 52 weeks maximum 
Gonorrhea cummulative for 2007
Gonorrhea cummulative for 2006
Haemophilus influenzae, invasive, All ages, all serotypes† current week
Haemophilus influenzae, invasive, All ages, all serotypes† previous 52 weeks median 
Haemophilus influenzae, invasive, All ages, all serotypes† previous 52 weeks maximum 
Haemophilus influenzae, invasive, All ages, all serotypes† cummulative for 2007
Haemophilus influenzae, invasive, All ages, all serotypes† cummulative for 2006

tab delimited data:
test
UNITED STATES	155	309	530	3,172	3,914	3,052	6,792	8,674	76,649	91,545	43	43	137	612	636						
NEW ENGLAND	4	18	44	118	264	64	111	259	1,343	1,312	-	2	12	23	31						
Conn.	-	5	25	48	45	55	42	203	433	419	-	0	7	15	8						
Maine	2	4	14	39	18	1	2	8	20	38	-	0	4	5	5						
Mass.	-	0	18	-	137	-	48	96	697	651	-	0	7	-	15						
N.H.	-	0	9	1	8	2	3	9	40	61	-	0	2	3	-						
R.I.	-	0	17	-	12	6	10	19	139	128	-	0	3	-	1						
Vt.	2	3	12	30	44	-	1	5	14	15	-	0	2	-	2						
MID. ATLANTIC	27	64	120	586	811	505	633	1,521	8,428	8,897	10	10	25	138	141						
N.J.	-	7	16	36	125	-	103	158	1,229	1,468	-	1	4	8	22						
N.Y. (Upstate)	17	25	101	219	227	124	122	1,035	1,596	1,508	8	3	14	38	30						
N.Y. City	3	17	33	182	263	199	175	376	2,502	2,808	-	2	6	35	33						
Pa.	7	14	35	149	196	182	224	336	3,101	3,113	2	3	10	57	56						
E.N. CENTRAL	13	39	96	420	683	391	1,283	2,227	15,497	18,459	1	5	14	55	92						
Ill.	-	8	27	29	157	157	363	488	4,231	5,640	-	1	5	3	27						
Ind.	N	0	0	N	N	-	154	289	2,062	2,491	-	1	10	7	14						
Mich.	2	13	38	151	194	178	306	880	4,279	2,870	-	0	5	8	13						
Ohio	11	15	32	188	204	8	310	1,165	3,244	5,449	1	2	6	37	24						
Wis.	-	9	24	52	128	48	133	181	1,681	2,009	-	0	3	-	14						
W.N. CENTRAL	7	23	117	222	340	11	384	518	4,444	5,132	2	3	22	35	28						
Iowa	-	5	16	46	60	-	37	63	475	490	-	0	1	-	-						
Kans.	-	3	11	29	41	-	43	90	564	641	-	0	2	4	3						
Minn.	-	0	87	7	77	-	65	87	668	840	2	1	17	12	10						
Mo.	5	9	28	109	114	-	195	269	2,354	2,701	-	0	5	15	12						
Nebr.	1	2	9	20	22	-	24	48	290	338	-	0	2	3	3						
N. Dak.	1	0	4	1	5	2	2	6	16	31	-	0	2	1	-						
S. Dak.	-	1	6	10	21	9	6	15	77	91	-	0	0	-	-						
S. ATLANTIC	36	52	97	631	571	870	1,599	2,696	15,301	22,275	16	11	28	176	162						
Del.	-	1	4	7	7	18	28	44	379	401	1	0	3	5	-						
D.C.	-	1	7	15	16	41	35	63	586	498	-	0	2	2	-						
Fla.	23	23	44	288	240	-	446	549	1,564	5,777	7	3	9	56	47						
Ga.	4	12	26	154	118	-	349	1,539	2,706	3,933	4	2	6	50	41						
Md.	2	4	11	49	49	134	119	230	1,642	1,798	2	2	5	30	21						
N.C.	-	0	0	-	-	270	314	608	4,080	5,216	2	0	8	15	15						
S.C.	1	2	8	15	22	278	166	1,026	2,590	2,675	-	1	3	12	13						
Va.	6	9	28	96	114	129	119	238	1,595	1,785	-	1	7	1	16						
W. Va.	-	0	21	7	5	-	19	44	159	192	-	0	6	5	9						
E.S. CENTRAL	1	8	34	91	100	198	584	878	7,314	8,211	2	2	9	33	46						
Ala.	1	4	22	46	49	8	193	271	2,017	3,195	-	0	3	7	10						
Ky.	N	0	0	N	N	20	50	268	499	895	-	0	1	1	4						
Miss.	N	0	0	N	N	-	154	434	2,106	1,625	-	0	1	-	3						
Tenn.	-	4	12	45	51	170	194	240	2,692	2,496	2	1	6	25	29						
W.S. CENTRAL	5	7	21	74	38	556	960	1,483	11,929	12,353	5	1	26	35	23						
Ark.	3	3	13	35	18	111	80	142	1,072	1,231	-	0	2	2	2						
La.	-	1	6	12	-	83	184	366	2,302	2,668	-	0	3	3	1						
Okla.	2	2	11	27	20	40	107	238	1,566	926	5	1	24	28	19						
Tex.	N	0	0	N	N	322	587	931	6,989	7,528	-	0	2	2	1						
MOUNTAIN	10	29	69	313	357	62	269	455	2,360	3,680	4	4	14	86	84						
Ariz.	1	3	11	49	40	19	106	220	626	1,217	2	2	9	42	34						
Colo.	5	10	26	116	119	-	71	93	524	973	1	1	4	20	23						
Idaho	1	3	12	25	38	4	2	20	64	58	-	0	1	3	2						
Mont.	-	2	11	16	18	-	3	20	26	32	-	0	0	-	-						
Nev.	-	1	9	19	29	39	31	135	534	627	-	0	2	3	6						
N. Mex.	-	1	6	18	17	-	30	65	395	473	-	0	2	8	10						
Utah	3	7	25	62	91	-	16	28	173	250	1	0	3	10	9						
Wyo.	-	1	4	8	5	-	2	5	18	50	-	0	1	-	-						
PACIFIC	52	60	147	717	750	395	787	971	10,033	11,226	3	2	8	31	29						
Alaska	2	1	17	16	8	11	11	27	118	148	-	0	2	4	3						
Calif.	30	43	71	512	570	324	649	833	8,524	9,284	-	0	6	-	9						
Hawaii	-	1	4	15	17	-	15	30	146	286	-	0	1	1	4						
Oreg.	7	8	14	101	102	8	26	46	285	372	3	1	6	26	12						
Wash.	13	8	68	73	53	52	76	131	960	1,136	-	0	2	-	1						
Amer. Samoa	U	0	0	U	U	U	0	2	U	U	U	0	0	U	U						
C.N.M.I.	U	-	-	U	U	U	-	-	U	U	U	-	-	U	U						
Guam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
P.R.	-	5	19	42	22	-	6	16	97	94	-	0	2	-	-						
V.I.	U	0	0	U	U	U	0	3	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Data for H. influenzae (age <5 yrs serotype b, nonserotype b, and unknown serotype) are available in Table I.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


