
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending June 21, 2003 (WEEK 25)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2002
Giardiasis cummulative for 2003
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2003
Gonorrhea cummulative for 2002

tab delimited data:
test
UNITED STATES	569	846	70	47	51	8	6,695	8,279	144,073	164,409											
NEW ENGLAND	34	64	12	12	6	1	458	748	3,100	3,702											
Maine	4	3	1	-	-	-	54	72	105	49											
N.H.	6	5	1	-	-	-	15	22	50	62											
Vt.	1	2	-	-	-	-	41	53	38	51											
Mass.	12	32	2	8	6	1	208	387	1,251	1,603											
R.I.	1	5	-	-	-	-	51	56	424	445											
Conn.	10	17	8	4	-	-	89	158	1,232	1,492											
MID. ATLANTIC	70	97	3	-	18	2	1,366	1,802	16,490	19,624											
Upstate N.Y.	29	40	1	-	10	-	382	484	3,511	3,880											
N.Y. City	3	6	-	-	-	-	488	690	5,780	5,951											
N.J.	5	17	-	-	-	-	112	210	3,552	3,593											
Pa.	33	34	2	-	8	2	384	418	3,647	6,200											
E.N. CENTRAL	131	211	10	10	9	1	1,115	1,383	30,654	34,532											
Ohio	35	38	10	4	9	1	380	365	10,404	10,230											
Ind.	19	18	-	-	-	-	-	-	2,998	3,407											
Ill.	20	70	-	4	-	-	263	413	8,727	11,491											
Mich.	27	32	-	2	-	-	298	377	6,036	6,636											
Wis.	30	53	-	-	-	-	174	228	2,489	2,768											
W.N. CENTRAL	88	102	8	5	9	-	679	783	7,538	8,327											
Minn.	30	30	7	4	-	-	265	270	1,155	1,440											
Iowa	12	22	-	-	-	-	100	108	546	570											
Mo.	24	17	N	N	1	-	164	215	3,846	4,064											
N. Dak.	4	4	-	-	2	-	15	13	30	33											
S. Dak.	5	8	-	-	-	-	22	29	95	118											
Nebr.	6	14	1	1	-	-	55	70	678	719											
Kans.	7	7	-	-	6	-	58	78	1,188	1,383											
S. ATLANTIC	54	77	24	10	-	-	1,090	1,223	36,564	42,024											
Del.	-	4	N	N	N	N	16	23	555	784											
Md.	2	5	-	-	-	-	51	45	3,736	4,127											
D.C.	1	-	-	-	-	-	17	20	1,005	1,268											
Va.	18	19	2	-	-	-	149	96	4,125	4,800											
W. Va.	1	2	-	-	-	-	14	18	385	478											
N.C.	5	15	6	-	-	-	N	N	7,122	7,881											
S.C.	-	-	-	-	-	-	53	32	3,731	4,180											
Ga.	11	20	2	5	-	-	393	379	7,785	8,056											
Fla.	16	12	14	5	-	-	397	610	8,120	10,450											
E.S. CENTRAL	28	38	-	-	4	-	149	150	12,192	14,243											
Ky.	9	12	-	-	4	-	N	N	1,659	1,623											
Tenn.	11	19	-	-	-	-	62	68	3,630	4,373											
Ala.	6	3	-	-	-	-	87	82	3,959	5,040											
Miss.	2	4	-	-	-	-	-	-	2,944	3,207											
W.S. CENTRAL	13	38	1	-	1	2	117	67	20,109	22,946											
Ark.	3	2	-	-	-	-	64	58	1,885	2,157											
La.	-	1	-	-	-	-	4	1	5,170	5,536											
Okla.	4	8	-	-	-	-	49	7	2,016	2,155											
Tex.	6	27	1	-	1	2	-	1	11,038	13,098											
MOUNTAIN	69	69	10	7	4	2	583	597	4,610	5,147											
Mont.	2	9	-	-	-	-	34	34	55	41											
Idaho	18	6	5	2	-	-	72	31	39	38											
Wyo.	2	2	-	1	-	-	8	10	24	28											
Colo.	20	18	1	3	4	2	161	205	1,024	1,644											
N. Mex.	1	4	3	1	-	-	19	71	521	698											
Ariz.	13	8	N	N	N	N	107	78	1,885	1,677											
Utah	10	13	1	-	-	-	128	106	192	99											
Nev.	3	9	-	-	-	-	54	62	870	922											
PACIFIC	82	150	2	3	-	-	1,138	1,526	12,816	13,864											
Wash.	21	17	1	-	-	-	99	196	1,365	1,391											
Oreg.	15	37	1	3	-	-	146	170	458	384											
Calif.	45	73	-	-	-	-	837	1,074	10,604	11,509											
Alaska	1	4	-	-	-	-	39	39	253	291											
Hawaii	-	19	-	-	-	-	17	47	136	289											
Guam	N	N	-	-	-	-	-	4	-	32											
P.R.	-	1	-	-	-	-	27	9	87	219											
V.I.	-	-	-	-	-	-	-	-	-	21											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


