
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending August 3, 2002 (WEEK 31)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis cummulative for 2002
Shigellosis cummulative for 2001
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2001
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2001
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2001

tab delimited data:
test
UNITED STATES	8,224	9,753	2,740	2,501	1,416	1,877	156	291													
NEW ENGLAND	156	155	135	165	9	90	1	30													
Maine	3	6	18	10	-	-	-	-													
N.H.	5	2	26	N	-	-	N	N													
Vt.	-	4	9	9	4	7	1	-													
Mass.	100	111	69	53	N	N	N	N													
R.I.	7	8	13	8	5	-	-	2													
Conn.	41	24	-	85	-	83	-	28													
MID. ATLANTIC	485	921	465	453	80	120	48	75													
Upstate N.Y.	139	337	218	195	72	118	48	75													
N.Y. City	215	249	115	131	U	U	U	U													
N.J.	48	179	91	82	N	N	N	N													
Pa.	83	156	41	45	8	2	-	-													
E.N. CENTRAL	863	2,024	499	593	154	129	65	76													
Ohio	384	1,196	157	149	27	-	-	-													
Ind.	56	138	32	47	122	129	40	39													
Ill.	250	330	105	193	2	-	-	37													
Mich.	93	173	205	153	3	-	N	N													
Wis.	80	187	-	51	N	N	25	-													
W.N. CENTRAL	675	912	180	257	150	99	36	45													
Minn.	143	269	95	108	48	49	36	38													
Iowa	71	276	-	-	N	N	N	N													
Mo.	97	164	37	56	6	9	-	-													
N. Dak.	15	16	-	11	1	4	-	7													
S. Dak.	149	89	10	7	1	3	-	-													
Nebr.	141	50	14	30	25	9	N	N													
Kans.	59	48	24	45	69	25	N	N													
S. ATLANTIC	3,212	1,289	528	429	860	1,004	1	4													
Del.	20	5	1	2	3	2	N	N													
Md.	608	72	90	N	N	N	N	N													
D.C.	36	32	6	15	48	5	1	3													
Va.	569	137	51	61	N	N	N	N													
W. Va.	4	7	13	17	34	37	-	1													
N.C.	180	225	96	111	N	N	U	U													
S.C.	58	165	28	7	135	204	N	N													
Ga.	987	163	130	141	253	286	N	N													
Fla.	750	483	113	75	387	470	N	N													
E.S. CENTRAL	766	898	70	65	99	186	-	-													
Ky.	81	333	12	28	11	22	N	N													
Tenn.	34	60	58	37	88	163	N	N													
Ala.	417	154	-	-	-	1	N	N													
Miss.	234	351	-	-	-	-	-	-													
W.S. CENTRAL	496	1,702	41	231	35	216	3	61													
Ark.	124	408	5	-	5	14	-	-													
La.	85	159	-	-	30	202	1	61													
Okla.	286	28	35	33	N	N	2	-													
Tex.	1	1,107	1	198	N	N	-	-													
MOUNTAIN	367	526	469	266	29	31	2	-													
Mont.	3	1	-	-	-	-	-	-													
Idaho	4	23	5	6	N	N	N	N													
Wyo.	3	2	7	7	9	5	-	-													
Colo.	72	130	153	110	-	-	-	-													
N. Mex.	65	67	71	56	19	24	-	-													
Ariz.	179	231	207	84	-	-	N	N													
Utah	23	35	26	3	1	-	2	-													
Nev.	18	37	-	-	-	2	-	-													
PACIFIC	1,204	1,326	353	42	-	2	-	-													
Wash.	75	113	36	-	-	-	N	N													
Oreg.	60	71	N	N	N	N	N	N													
Calif.	1,033	1,106	273	-	N	N	N	N													
Alaska	2	4	-	-	-	-	N	N													
Hawaii	34	32	44	42	-	2	-	-													
Guam	-	32	-	1	-	-	-	-													
P.R.	5	13	N	N	-	-	N	N													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	-	-	U	U													
C.N.M.I.	15	U	-	U	-	-	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


