
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending December 4, 1999 (WEEK 48)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1999
AIDS § cummulative for 1998
Chlamydia† cummulative for 1999
Chlamydia† cummulative for 1998
Cryptosporidiosis cummulative for 1999
Cryptosporidiosis cummulative for 1998
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 1998
Escherichia coli O157:H7 PHLIS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 1998

tab delimited data:
test
UNITED STATES	40,933	42,308	541,736	546,981	2,223	3,529	3,249	2,784	2,179	2,089											
NEW ENGLAND	2,090	1,664	19,450	18,616	154	146	389	319	337	269											
Maine	75	28	904	962	29	31	38	36	-	-											
N.H.	45	34	875	891	19	15	34	44	33	45											
Vt.	16	18	429	378	35	26	32	21	20	18											
Mass.	1,338	844	8,419	7,688	50	67	168	142	181	152											
R.I.	96	119	2,159	2,112	6	7	27	12	26	1											
Conn.	520	621	6,664	6,585	15	U	90	64	77	53											
MID. ATLANTIC	10,473	11,353	55,592	57,178	412	549	294	288	92	86											
Upstate N.Y.	1,196	1,322	N	N	170	322	232	208	-	-											
N.Y. City	5,571	6,520	21,963	24,367	116	203	11	13	17	13											
N.J.	1,932	2,007	10,095	10,910	36	24	51	67	46	52											
Pa.	1,774	1,504	23,534	21,901	90	N	N	N	29	21											
E.N. CENTRAL	2,801	3,061	75,658	93,186	547	712	672	441	482	359											
Ohio	448	645	21,787	24,986	61	70	235	120	199	73											
Ind.	320	473	10,196	10,372	38	54	103	99	63	52											
Ill.	1,345	1,188	23,831	24,684	67	84	221	109	81	79											
Mich.	555	577	19,844	20,247	47	38	113	113	75	68											
Wis.	133	178	U	12,897	334	466	N	N	64	87											
W.N. CENTRAL	940	827	32,533	32,463	202	328	582	461	401	391											
Minn.	178	163	6,301	6,521	78	138	228	191	174	205											
Iowa	77	62	4,423	4,087	55	64	113	91	73	58											
Mo.	449	400	12,295	11,649	29	26	60	49	63	62											
N. Dak.	6	5	707	966	18	30	16	12	14	15											
S. Dak.	15	15	1,471	1,437	7	24	47	33	62	37											
Nebr.	65	66	3,110	2,623	14	35	97	50	-	-											
Kans.	150	116	4,226	5,180	1	11	21	35	15	14											
S. ATLANTIC	11,305	11,023	117,615	105,803	362	334	332	238	158	168											
Del.	159	152	2,551	2,391	-	3	6	-	3	2											
Md.	1,344	1,482	10,551	6,815	17	19	42	42	4	14											
D.C.	637	808	N	N	8	25	1	1	U	U											
Va.	782	908	13,066	12,760	27	20	71	N	56	52											
W. Va.	64	77	1,240	2,257	3	2	14	13	9	10											
N.C.	739	753	20,314	20,312	29	N	72	54	52	47											
S.C.	919	720	11,037	16,327	-	-	20	15	14	12											
Ga.	1,581	1,173	30,493	22,019	128	124	33	73	-	-											
Fla.	5,080	4,950	28,363	22,922	150	141	73	40	20	31											
E.S. CENTRAL	1,796	1,681	41,642	37,704	28	25	119	116	58	64											
Ky.	255	262	6,900	5,963	7	10	46	34	-	-											
Tenn.	706	621	12,569	12,608	6	9	43	53	38	40											
Ala.	449	455	11,811	9,460	11	N	25	23	16	20											
Miss.	386	343	10,362	9,673	4	6	5	6	4	4											
W.S. CENTRAL	4,177	5,129	75,156	82,722	84	909	128	99	120	102											
Ark.	188	189	5,490	3,724	2	6	15	11	8	10											
La.	813	874	11,220	13,969	22	16	9	5	14	7											
Okla.	123	274	7,580	8,747	12	N	31	23	26	9											
Tex.	3,053	3,792	50,866	56,282	48	887	73	60	72	76											
MOUNTAIN	1,608	1,478	29,312	30,740	96	121	319	359	198	244											
Mont.	13	28	1,450	1,205	13	10	25	15	-	5											
Idaho	22	28	1,606	1,883	8	17	64	41	20	25											
Wyo.	11	3	710	646	1	2	15	53	14	55											
Colo.	290	286	5,310	7,628	12	18	108	89	88	68											
N. Mex.	82	203	3,828	3,565	42	47	12	19	5	20											
Ariz.	819	588	11,634	10,689	12	18	37	43	21	26											
Utah	142	128	1,992	2,021	N	N	38	75	48	21											
Nev.	229	214	2,782	3,103	8	9	20	24	2	24											
PACIFIC	5,743	6,092	94,778	88,569	338	405	414	463	333	406											
Wash.	337	386	11,111	10,203	N	N	164	106	159	128											
Oreg.	208	166	5,567	5,268	93	67	74	106	68	100											
Calif.	5,089	5,364	73,925	68,926	245	334	165	244	94	162											
Alaska	15	17	1,611	1,772	-	1	1	7	1	-											
Hawaii	94	159	2,564	2,400	-	3	10	-	11	16											
Guam	10	1	299	396	-	-	N	N	U	U											
P.R.	1,180	1,601	U	U	-	N	8	5	U	U											
V.I.	35	31	U	U	U	U	U	U	U	U											
Amer. Samoa	-	-	U	U	U	U	U	U	U	U											
C.N.M.I.	-	-	U	U	U	U	U	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 1999 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


