
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending May 21, 2011 (WEEK 20)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2010

tab delimited data:
test
UNITED STATES	6	7	109	48	109	5	21	145	24	186	-	1	13	9	15						
NEW ENGLAND	1	0	2	2	2	1	1	10	2	18	-	0	1	-	-						
Conn.	-	0	0	-	-	-	0	6	-	5	-	0	0	-	-						
Maine	-	0	1	1	2	-	0	2	1	4	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
N.H.	1	0	1	1	-	1	0	2	1	5	-	0	1	-	-						
R.I.	-	0	1	-	-	-	0	6	-	4	-	0	0	-	-						
Vt.	-	0	0	-	-	-	0	1	-	-	-	0	0	-	-						
MID. ATLANTIC	1	1	8	5	20	1	5	17	5	20	-	0	2	1	1						
N.J.	-	0	6	-	15	-	1	7	-	14	-	0	1	-	-						
N.Y. (Upstate)	1	0	7	3	4	1	3	14	5	6	-	0	2	1	1						
N.Y. City	-	0	2	2	-	-	0	3	-	-	-	0	0	-	-						
Pa.	-	0	1	-	1	-	0	1	-	-	-	0	1	-	-						
E.N. CENTRAL	-	0	4	2	12	1	5	45	2	65	-	1	6	3	8						
Ill.	-	0	2	1	6	-	0	2	-	-	-	0	2	1	-						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	3	1	7						
Mich.	-	0	1	-	-	-	0	0	-	-	-	0	1	1	-						
Ohio	-	0	3	1	-	1	0	1	1	-	-	0	0	-	-						
Wis.	-	0	2	-	6	-	4	45	1	65	-	0	3	-	1						
W.N. CENTRAL	1	1	13	12	15	1	4	77	4	74	-	0	11	1	-						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	2	1	-	-	0	1	-	-	-	0	0	-	-						
Minn.	-	0	12	-	-	-	4	75	1	74	-	0	11	-	-						
Mo.	1	0	13	11	15	1	0	2	3	-	-	0	3	1	-						
Nebr.	-	0	1	-	-	-	0	0	-	-	-	0	0	-	-						
N. Dak.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
S. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
S. ATLANTIC	2	3	18	22	43	-	1	7	7	8	-	0	1	-	-						
Del.	1	0	3	4	4	-	0	1	-	1	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	-	0	2	4	2	-	0	1	1	-	-	0	0	-	-						
Ga.	-	0	2	1	9	-	0	1	1	-	-	0	1	-	-						
Md.	-	0	3	2	4	-	0	2	-	4	-	0	1	-	-						
N.C.	-	1	13	6	19	-	0	4	5	1	-	0	0	-	-						
S.C.	-	0	2	-	-	-	0	1	-	-	-	0	0	-	-						
Va.	1	1	8	5	5	-	0	2	-	2	-	0	1	-	-						
W. Va.	-	0	1	-	-	-	0	0	-	-	-	0	0	-	-						
E.S. CENTRAL	1	0	11	5	9	1	0	2	4	1	-	0	2	1	4						
Ala.	-	0	3	-	1	1	0	2	2	-	N	0	0	N	N						
Ky.	-	0	2	2	1	-	0	0	-	-	-	0	1	-	-						
Miss.	-	0	1	-	-	-	0	1	-	-	-	0	1	-	1						
Tenn.	1	0	7	3	7	-	0	2	2	1	-	0	1	1	3						
W.S. CENTRAL	-	0	87	-	7	-	0	9	-	-	-	0	1	-	-						
Ark.	-	0	5	-	-	-	0	2	-	-	-	0	0	-	-						
La.	-	0	0	-	1	-	0	0	-	-	-	0	0	-	-						
Okla.	-	0	82	-	5	-	0	7	-	-	-	0	0	-	-						
Tex.	-	0	1	-	1	-	0	1	-	-	-	0	1	-	-						
MOUNTAIN	-	0	0	-	-	-	0	0	-	-	-	0	1	2	-						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	0	1	2	-						
Colo.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Idaho	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Mont.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Nev.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
N. Mex.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Utah	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Wyo.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
PACIFIC	-	0	1	-	1	-	0	0	-	-	-	0	1	1	2						
Alaska	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Calif.	-	0	1	-	1	-	0	0	-	-	-	0	1	1	2						
Hawaii	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Wash.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
P.R.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2010 and 2011 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Please refer to the MMWR publication for weekly updates to the footnote for this condition.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


