
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 13, 1999 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1999*
AIDS § cummulative for 1998
Chlamydia† cummulative for 1999
Chlamydia† cummulative for 1998
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 1999
Gonorrhea cummulative for 1999
Gonorrhea cummulative for 1998
Hepatitis C/NA,NB cummulative for 1999
Hepatitis C/NA,NB cummulative for 1998

tab delimited data:
test
UNITED STATES	3,137	3,128	46,584	62,805	119	37	28,036	38,958	206	330											
NEW ENGLAND	158	64	1,434	2,435	19	11	414	739	37	10											
Maine	3	2	57	114	1	-	7	6	-	-											
N.H.	3	-	96	110	1	-	5	16	-	-											
Vt.	-	5	27	32	-	-	5	1	-	2											
Mass.	124	6	987	1,025	11	7	318	265	37	8											
R.I.	9	13	258	290	-	-	77	43	-	-											
Conn.	19	38	9	864	6	4	2	408	-	-											
MID. ATLANTIC	489	893	7,188	9,410	6	-	3,556	5,561	3	22											
Upstate N.Y.	17	114	N	N	4	-	139	682	3	20											
N.Y. City	237	488	4,352	4,059	-	-	2,048	1,979	-	-											
N.J.	162	131	398	1,325	2	-	172	836	-	-											
Pa.	73	160	2,438	4,026	N	-	1,197	2,064	-	2											
E.N. CENTRAL	179	202	7,394	9,946	27	4	5,470	8,082	58	59											
Ohio	38	33	2,644	3,563	17	3	1,647	2,121	-	3											
Ind.	25	38	-	-	5	-	691	726	-	1											
Ill.	77	101	2,395	2,409	1	-	1,484	2,288	-	9											
Mich.	22	15	1,997	2,391	4	-	1,495	2,304	58	46											
Wis.	17	15	358	1,583	N	1	153	643	-	-											
W.N. CENTRAL	110	57	1,516	3,977	24	9	534	1,474	-	52											
Minn.	20	15	506	814	8	8	201	300	-	-											
Iowa	3	6	84	334	5	1	24	90	-	1											
Mo.	72	19	-	1,344	1	-	-	531	-	50											
N. Dak.	-	-	-	113	2	-	-	11	-	-											
S. Dak.	-	4	206	199	-	-	21	27	-	-											
Nebr.	6	9	259	370	2	-	117	145	-	-											
Kans.	9	4	461	803	6	-	171	370	-	1											
S. ATLANTIC	883	773	13,125	11,035	13	5	9,938	9,549	21	10											
Del.	13	13	316	228	-	-	187	175	-	-											
Md.	81	52	965	802	1	-	951	943	15	2											
D.C.	8	84	N	N	-	-	354	405	-	-											
Va.	54	38	1,766	1,433	5	-	1,503	908	2	1											
W. Va.	10	5	278	363	-	1	69	107	-	-											
N.C.	69	45	2,500	2,021	2	2	2,337	1,773	-	4											
S.C.	60	59	3,427	2,065	1	1	1,864	1,472	1	-											
Ga.	111	113	813	2,187	1	-	282	2,064	-	-											
Fla.	477	364	3,060	1,936	4	1	2,391	1,702	3	3											
E.S. CENTRAL	157	156	4,058	4,453	7	-	3,718	4,628	15	14											
Ky.	15	19	-	664	-	-	-	451	-	4											
Tenn.	64	52	1,604	1,529	5	-	1,345	1,450	14	9											
Ala.	31	56	1,365	1,131	2	-	1,343	1,597	1	1											
Miss.	47	29	1,089	1,129	-	-	1,030	1,130	-	-											
W.S. CENTRAL	532	379	3,781	8,668	2	-	2,759	5,604	7	8											
Ark.	19	17	521	332	-	-	253	525	-	-											
La.	27	66	2,158	1,392	1	-	1,904	1,154	6	-											
Okla.	6	14	1,102	855	-	-	602	497	-	-											
Tex.	480	282	-	6,089	1	-	-	3,428	1	8											
MOUNTAIN	45	87	2,181	3,114	5	1	489	932	12	40											
Mont.	-	5	114	82	-	-	1	4	-	3											
Idaho	4	3	165	184	-	-	10	16	3	15											
Wyo.	-	-	-	92	-	-	-	6	-	9											
Colo.	26	21	663	742	2	1	107	331	3	3											
N. Mex.	4	9	546	496	1	-	111	92	3	5											
Ariz.	4	33	522	1,092	1	-	243	395	2	-											
Utah	4	13	171	215	1	-	17	25	1	3											
Nev.	3	3	-	211	-	-	-	63	-	2											
PACIFIC	584	517	5,907	9,767	16	7	1,158	2,389	53	115											
Wash.	29	31	-	1,192	-	2	-	216	2	1											
Oreg.	15	13	394	687	6	5	55	117	-	1											
Calif.	525	468	5,146	7,417	10	-	1,042	1,964	51	89											
Alaska	5	-	212	226	-	-	42	45	-	-											
Hawaii	10	5	155	245	-	-	19	47	-	24											
Guam	1	-	-	10	N	-	-	3	-	-											
P.R.	92	87	U	U	-	U	46	69	-	-											
V.I.	-	1	N	N	N	U	U	U	U	U											
Amer. Samoa	-	-	U	U	N	U	U	U	U	U											
C.N.M.I.	-	-	N	N	N	U	-	7	-	-											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


