
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 20, 2001 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 2001
H. influenzae, Invasive cummulative for 2000
Hepatitis (Viral), Type A cummulative for 2001
Hepatitis (Viral), Type A cummulative for 2000
Hepatitis (Viral), Type B cummulative for 2001
Hepatitis (Viral), Type B cummulative for 2000
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 2001
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 2001
Measles (Rubeola), Total cummulative for 2001
Measles (Rubeola), Total cummulative for 2000

tab delimited data:
test
UNITED STATES	35	52	165	607	93	274	-	-	-	-	-	2									
NEW ENGLAND	2	6	5	16	1	8	-	-	-	-	-	-									
Maine	-	-	-	1	-	1	-	-	-	-	-	-									
N.H.	-	-	2	1	-	1	-	-	-	-	-	-									
Vt.	-	1	-	-	-	2	-	-	-	-	-	-									
Mass.	2	5	1	8	1	-	-	-	-	-	-	-									
R.I.	-	-	-	-	-	-	-	-	-	-	-	-									
Conn.	-	-	2	6	-	4	-	-	-	-	-	-									
MID. ATLANTIC	5	7	8	29	4	53	-	-	-	-	-	-									
Upstate N.Y.	4	3	5	-	1	1	-	-	-	-	-	-									
N.Y. City	1	3	3	22	3	36	-	-	-	-	-	-									
N.J.	-	-	-	1	-	3	U	-	U	-	-	-									
Pa.	-	1	-	6	-	13	-	-	-	-	-	-									
E.N. CENTRAL	5	8	34	104	31	37	-	-	-	-	-	1									
Ohio	4	2	9	25	6	6	-	-	-	-	-	-									
Ind.	-	1	-	-	-	1	-	-	-	-	-	-									
Ill.	-	4	3	37	-	-	-	-	-	-	-	-									
Mich.	1	1	22	32	25	30	-	-	-	-	-	1									
Wis.	-	-	-	10	-	-	-	-	-	-	-	-									
W.N. CENTRAL	-	1	24	73	6	19	-	-	-	-	-	-									
Minn.	-	-	-	-	-	-	-	-	-	-	-	-									
Iowa	-	-	1	2	-	2	-	-	-	-	-	-									
Mo.	-	1	6	59	4	15	-	-	-	-	-	-									
N. Dak.	-	-	-	-	-	-	-	-	-	-	-	-									
S. Dak.	-	-	-	-	1	-	-	-	-	-	-	-									
Nebr.	-	-	13	2	1	2	-	-	-	-	-	-									
Kans.	-	-	4	10	-	-	-	-	-	-	-	-									
S. ATLANTIC	12	9	27	20	16	24	-	-	-	-	-	-									
Del.	-	-	-	-	-	-	-	-	-	-	-	-									
Md.	1	8	14	5	2	12	-	-	-	-	-	-									
D.C.	-	-	1	-	1	-	-	-	-	-	-	-									
Va.	1	-	3	-	2	-	-	-	-	-	-	-									
W. Va.	1	-	-	-	-	-	-	-	-	-	-	-									
N.C.	5	1	4	12	8	11	-	-	-	-	-	-									
S.C.	-	-	-	-	-	-	-	-	-	-	-	-									
Ga.	1	-	-	-	-	-	-	-	-	-	-	-									
Fla.	3	-	5	3	3	1	-	-	-	-	-	-									
E.S. CENTRAL	1	1	11	35	4	15	-	-	-	-	-	-									
Ky.	-	-	1	1	-	-	-	-	-	-	-	-									
Tenn.	-	1	2	-	1	1	-	-	-	-	-	-									
Ala.	1	-	8	5	1	2	-	-	-	-	-	-									
Miss.	-	-	-	29	2	12	-	-	-	-	-	-									
W.S. CENTRAL	-	6	5	123	1	14	-	-	-	-	-	-									
Ark.	-	-	3	2	1	3	-	-	-	-	-	-									
La.	-	3	-	4	-	9	-	-	-	-	-	-									
Okla.	-	3	2	12	-	1	-	-	-	-	-	-									
Tex.	-	-	-	105	-	1	-	-	-	-	-	-									
MOUNTAIN	6	4	11	37	4	11	-	-	-	-	-	-									
Mont.	-	-	2	-	-	-	-	-	-	-	-	-									
Idaho	-	-	-	-	-	1	-	-	-	-	-	-									
Wyo.	-	-	-	-	-	-	-	-	-	-	-	-									
Colo.	-	3	1	12	-	5	-	-	-	-	-	-									
N. Mex.	6	-	1	6	3	4	-	-	-	-	-	-									
Ariz.	-	-	6	9	1	-	-	-	-	-	-	-									
Utah	-	1	1	5	-	-	-	-	-	-	-	-									
Nev.	-	-	-	5	-	1	-	-	-	-	-	-									
PACIFIC	4	10	40	170	26	93	-	-	-	-	-	1									
Wash.	-	-	-	-	-	-	-	-	-	-	-	-									
Oreg.	4	2	4	19	3	10	-	-	-	-	-	-									
Calif.	-	4	32	150	22	82	-	-	-	-	-	1									
Alaska	-	1	4	-	1	1	-	-	-	-	-	-									
Hawaii	-	3	-	1	-	-	-	-	-	-	-	-									
Guam	-	-	-	-	-	-	U	-	U	-	-	-									
P.R.	-	-	-	2	-	4	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


