
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 21, 1998 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1998
Meningococcal Disease cummulative for 1997
Mumps current week
Mumps cummulative for 1998
Mumps cummulative for 1997
Pertussis current week
Pertussis cummulative for 1998
Pertussis cummulative for 1997
Rubella current week
Rubella cummulative for 1998
Rubella cummulative for 1997

tab delimited data:
test
UNITED STATES	650	918	9	84	119	58	689	992	15	72	7										
NEW ENGLAND	43	55	-	-	6	2	138	306	-	9	-										
Maine	3	5	-	-	-	-	4	6	-	-	-										
N.H.	1	5	-	-	-	1	15	34	-	-	-										
Vt.	1	2	-	-	-	-	21	101	-	-	-										
Mass.	19	36	-	-	1	1	95	155	-	-	-										
R.I.	3	1	-	-	4	-	-	9	-	-	-										
Conn.	16	6	-	-	1	-	3	1	-	9	-										
MID. ATLANTIC	46	80	-	2	15	5	59	76	12	51	3										
Upstate N.Y.	19	17	-	2	2	5	59	35	12	51	1										
N.Y. City	8	16	-	-	1	-	-	15	-	-	2										
N.J.	19	16	-	-	2	-	-	6	-	-	-										
Pa.	-	31	-	-	10	-	-	20	-	-	-										
E.N. CENTRAL	107	115	2	12	15	4	69	108	-	-	3										
Ohio	47	43	-	7	3	1	34	45	-	-	-										
Ind.	19	12	U	-	3	U	8	8	U	-	-										
Ill.	18	36	-	-	5	2	5	16	-	-	-										
Mich.	12	9	2	5	3	1	12	19	-	-	-										
Wis.	11	15	-	-	1	-	10	20	-	-	3										
W.N. CENTRAL	48	73	-	8	5	12	61	49	-	-	-										
Minn.	-	2	-	4	3	11	39	31	-	-	-										
Iowa	9	16	-	2	2	1	12	6	-	-	-										
Mo.	23	40	-	1	-	-	8	-	-	-	-										
N. Dak.	-	-	-	1	-	-	-	1	-	-	-										
S. Dak.	4	3	-	-	-	-	-	1	-	-	-										
Nebr.	1	3	-	-	-	-	2	2	-	-	-										
Kans.	11	9	-	-	-	-	-	8	-	-	-										
S. ATLANTIC	135	172	1	16	15	6	60	86	-	2	-										
Del.	1	3	-	-	-	-	-	-	-	-	-										
Md.	14	19	-	2	1	-	10	47	-	-	-										
D.C.	-	4	-	-	-	-	-	2	-	-	-										
Va.	12	10	-	2	1	-	-	13	-	-	-										
W. Va.	3	5	-	-	-	-	-	3	-	-	-										
N.C.	19	36	-	5	5	-	30	11	-	1	-										
S.C.	14	31	-	3	1	-	5	4	-	1	-										
Ga.	36	26	-	-	2	-	-	2	-	-	-										
Fla.	36	38	1	4	5	6	15	4	-	-	-										
E.S. CENTRAL	23	70	-	-	9	-	13	26	-	-	-										
Ky.	-	16	-	-	-	-	-	9	-	-	-										
Tenn.	23	26	-	-	3	-	4	5	-	-	-										
Ala.	-	21	-	-	3	-	9	7	-	-	-										
Miss.	-	7	U	-	3	U	-	5	U	-	-										
W.S. CENTRAL	36	67	2	16	11	13	28	17	3	5	-										
Ark.	7	15	-	-	-	-	4	2	-	-	-										
La.	12	15	-	-	2	-	-	2	-	-	-										
Okla.	17	10	-	-	-	6	6	-	-	-	-										
Tex.	-	27	2	16	9	7	18	13	3	5	-										
MOUNTAIN	47	61	1	5	6	9	191	172	-	5	-										
Mont.	2	4	-	-	-	-	1	2	-	-	-										
Idaho	2	4	-	-	1	-	103	99	-	-	-										
Wyo.	3	-	-	1	-	-	-	3	-	-	-										
Colo.	11	14	1	1	2	5	25	52	-	-	-										
N. Mex.	7	12	N	N	N	4	45	8	-	1	-										
Ariz.	17	12	-	1	-	-	9	7	-	1	-										
Utah	4	7	-	-	1	-	5	-	-	2	-										
Nev.	1	8	-	2	2	-	3	1	-	1	-										
PACIFIC	165	225	3	25	37	7	70	152	-	-	1										
Wash.	21	21	2	4	3	7	61	58	-	-	-										
Oreg.	35	54	N	N	N	-	8	5	-	-	-										
Calif.	106	147	1	13	27	-	-	83	-	-	1										
Alaska	1	1	-	2	2	-	-	2	-	-	-										
Hawaii	2	2	U	6	5	U	1	4	U	-	-										
Guam	-	1	U	-	1	U	-	-	U	-	-										
P.R.	-	5	1	2	4	-	2	-	-	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	-	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


