
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending February 17, 2007 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2006
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2006
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2007
Syphillis, primary & secondary cummulative for 2006

tab delimited data:
test
UNITED STATES	41	44	96	380	414	5	6	19	40	55	68	180	232	830	1,144						
NEW ENGLAND	1	0	4	10	4	-	0	1	-	1	3	4	11	23	25						
Conn.	-	0	0	-	-	-	0	0	-	-	-	0	6	3	2						
Maine	-	0	2	3	2	-	0	1	-	-	-	0	2	-	1						
Mass.	-	0	0	-	-	-	0	0	-	-	1	2	7	13	18						
N.H.	-	0	0	-	-	-	0	0	-	-	1	0	2	4	4						
R.I.	-	0	2	3	-	-	0	1	-	-	1	0	3	3	-						
Vt.	1	0	2	4	2	-	0	1	-	1	-	0	1	-	-						
MID. ATLANTIC	1	3	8	26	20	-	0	3	4	2	24	23	35	175	130						
N.J.	-	0	0	-	-	-	0	0	-	-	1	3	8	16	22						
N.Y. (Upstate)	1	1	5	6	4	-	0	2	1	-	3	3	13	10	13						
N.Y. City	-	0	0	-	-	-	0	0	-	-	19	11	28	118	66						
Pa.	-	2	6	20	16	-	0	2	3	2	1	5	12	31	29						
E.N. CENTRAL	7	10	40	111	79	1	1	8	11	15	8	15	32	67	128						
Ill.	-	0	2	-	6	-	0	1	-	2	-	7	13	7	75						
Ind.	4	2	24	17	10	-	0	5	1	4	-	2	5	5	12						
Mich.	-	0	3	-	6	-	0	1	-	-	6	2	10	20	6						
Ohio	3	5	38	94	57	1	1	5	10	9	1	4	9	29	28						
Wis.	N	0	0	N	N	-	0	0	-	-	1	1	4	6	7						
W.N. CENTRAL	-	1	51	11	8	-	0	10	1	1	2	5	13	17	32						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	3	-	2						
Kans.	-	0	1	1	-	-	0	0	-	-	2	0	3	3	4						
Minn.	-	0	50	-	-	-	0	10	-	-	-	0	3	6	9						
Mo.	-	1	3	10	8	-	0	1	-	1	-	3	9	8	16						
Nebr.	-	0	1	-	-	-	0	0	-	-	-	0	2	-	1						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	3	-	-	-	0	1	1	-	-	0	3	-	-						
S. ATLANTIC	28	21	49	176	243	2	2	8	20	22	16	42	114	211	235						
Del.	-	0	0	-	-	-	0	0	-	-	-	0	3	2	5						
D.C.	-	0	3	1	7	-	0	2	-	-	-	2	7	10	20						
Fla.	18	12	29	99	95	2	2	8	17	21	-	15	23	68	100						
Ga.	10	7	24	70	129	-	0	1	-	1	1	7	83	5	10						
Md.	-	0	0	-	-	-	0	0	-	-	6	5	14	42	31						
N.C.	-	0	0	-	-	-	0	0	-	-	3	5	21	42	42						
S.C.	-	0	0	-	-	-	0	0	-	-	2	1	5	14	11						
Va.	N	0	0	N	N	-	0	0	-	-	4	3	17	28	16						
W. Va.	-	1	14	6	12	-	0	1	3	-	-	0	2	-	-						
E.S. CENTRAL	-	2	11	22	38	2	0	2	3	5	5	14	29	83	69						
Ala.	N	0	0	N	N	-	0	0	-	-	-	5	18	23	32						
Ky.	-	0	3	6	7	-	0	2	-	-	1	1	9	11	6						
Miss.	-	0	0	-	-	-	0	0	-	-	-	1	8	14	10						
Tenn.	-	2	10	16	31	2	0	2	3	5	4	5	12	35	21						
W.S. CENTRAL	4	0	5	17	3	-	0	1	-	2	8	29	54	158	178						
Ark.	-	0	3	-	3	-	0	0	-	2	1	1	7	12	11						
La.	-	0	2	1	-	-	0	1	-	-	-	5	27	17	14						
Okla.	4	0	4	16	-	-	0	0	-	-	-	1	4	12	8						
Tex.	-	0	0	-	-	-	0	0	-	-	7	21	34	117	145						
MOUNTAIN	-	1	7	7	19	-	0	5	1	7	-	8	26	27	62						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	3	16	11	32						
Colo.	-	0	0	-	-	-	0	0	-	-	-	1	5	1	8						
Idaho	N	0	0	N	N	-	0	0	-	-	-	0	1	-	1						
Mont.	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
Nev.	-	0	2	5	2	-	0	1	1	-	-	2	12	8	16						
N. Mex.	-	0	0	-	-	-	0	0	-	-	-	1	5	7	4						
Utah	-	0	7	1	12	-	0	4	-	6	-	0	2	-	1						
Wyo.	-	0	3	1	5	-	0	2	-	1	-	0	0	-	-						
PACIFIC	-	0	0	-	-	-	0	0	-	-	2	36	51	69	285						
Alaska	-	0	0	-	-	-	0	0	-	-	-	0	4	1	-						
Calif.	N	0	0	N	N	-	0	0	-	-	-	32	44	50	248						
Hawaii	-	0	0	-	-	-	0	0	-	-	-	0	2	1	3						
Oreg.	N	0	0	N	N	-	0	0	-	-	-	0	6	2	2						
Wash.	N	0	0	N	N	-	0	0	-	-	2	2	11	15	32						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
P.R.	N	0	0	N	N	-	0	0	-	-	-	3	11	11	20						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease caused by drug-resistant Streptococcus pneumoniae (DRSP) 
(NNDSS event code 11720).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


