
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending February 10, 2007 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Varicella (chickenpox) current week
Varicella (chickenpox) previous 52 weeks median 
Varicella (chickenpox) previous 52 weeks maximum 
Varicella (chickenpox) cummulative for 2007
Varicella (chickenpox) cummulative for 2006
West Nile virus disease † Neuroinvasive current week
West Nile virus disease † Neuroinvasive previous 52 weeks median 
West Nile virus disease † Neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Neuroinvasive cummulative for 2007
West Nile virus disease † Neuroinvasive cummulative for 2006
West Nile virus disease † Non-neuroinvasive § current week
West Nile virus disease † Non-neuroinvasive § previous 52 weeks median 
West Nile virus disease † Non-neuroinvasive § previous 52 weeks maximum 
West Nile virus disease † Non-neuroinvasive § cummulative for 2007
West Nile virus disease † Non-neuroinvasive § cummulative for 2006

tab delimited data:
test
UNITED STATES	1,052	807	1,432	4,226	5,329	-	1	178	-	2	-	1	399	-	-						
NEW ENGLAND	16	25	59	73	269	-	0	3	-	-	-	0	2	-	-						
Conn.	-	0	0	-	-	-	0	3	-	-	-	0	1	-	-						
Maine	-	0	16	-	50	-	0	0	-	-	-	0	0	-	-						
Mass.	-	0	14	-	74	-	0	1	-	-	-	0	1	-	-						
N.H.	3	5	47	26	46	-	0	0	-	-	-	0	0	-	-						
R.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Vt.	13	12	52	47	99	-	0	0	-	-	-	0	0	-	-						
MID. ATLANTIC	108	106	189	753	823	-	0	11	-	-	-	0	4	-	-						
N.J.	N	0	0	N	N	-	0	2	-	-	-	0	1	-	-						
N.Y. (Upstate)	N	0	0	N	N	-	0	5	-	-	-	0	1	-	-						
N.Y. City	-	0	0	-	-	-	0	4	-	-	-	0	2	-	-						
Pa.	108	106	189	753	823	-	0	2	-	-	-	0	1	-	-						
E.N. CENTRAL	501	276	587	1,600	2,371	-	0	43	-	-	-	0	33	-	-						
Ill.	-	1	7	-	12	-	0	23	-	-	-	0	23	-	-						
Ind.	-	0	0	-	-	-	0	7	-	-	-	0	12	-	-						
Mich.	51	106	258	670	702	-	0	11	-	-	-	0	2	-	-						
Ohio	450	136	420	925	1,393	-	0	11	-	-	-	0	3	-	-						
Wis.	-	12	52	5	264	-	0	2	-	-	-	0	2	-	-						
W.N. CENTRAL	40	29	98	243	375	-	0	36	-	-	-	0	79	-	-						
Iowa	N	0	0	N	N	-	0	3	-	-	-	0	4	-	-						
Kans.	12	5	41	114	82	-	0	3	-	-	-	0	3	-	-						
Minn.	-	0	0	-	-	-	0	6	-	-	-	0	7	-	-						
Mo.	28	20	82	116	272	-	0	14	-	-	-	0	2	-	-						
