
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending October 12, 2002 (WEEK 41)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis cummulative for 2002
Shigellosis cummulative for 2001
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2001
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2001
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2001

tab delimited data:
test
UNITED STATES	13,377	14,880	3,319	3,001	1,739	2,147	189	338													
NEW ENGLAND	266	257	155	190	17	104	2	36													
Maine	6	6	20	10	-	-	-	-													
N.H.	11	6	30	N	-	-	N	N													
Vt.	1	7	9	13	4	7	1	-													
Mass.	166	181	81	57	N	N	N	N													
R.I.	14	17	15	12	13	4	1	3													
Conn.	68	40	-	98	-	93	-	33													
MID. ATLANTIC	1,041	1,229	547	548	91	138	53	86													
Upstate N.Y.	229	405	254	223	79	132	53	86													
N.Y. City	330	344	130	150	U	U	U	U													
N.J.	302	239	116	110	N	N	N	N													
Pa.	180	241	47	65	12	6	-	-													
E.N. CENTRAL	1,399	3,548	581	677	180	149	81	98													
Ohio	520	2,363	184	171	43	-	11	-													
Ind.	77	178	44	54	132	149	45	47													
Ill.	535	489	105	219	2	-	-	51													
Mich.	138	255	248	182	3	-	N	N													
Wis.	129	263	-	51	N	N	25	-													
W.N. CENTRAL	814	1,450	201	317	170	124	39	52													
Minn.	177	351	103	141	56	55	39	43													
Iowa	101	331	-	-	N	N	N	N													
Mo.	134	268	41	67	5	9	-	-													
N. Dak.	15	20	-	17	1	6	-	9													
S. Dak.	150	350	12	11	1	3	-	-													
Nebr.	166	67	16	34	29	16	N	N													
Kans.	71	63	29	47	78	35	N	N													
S. ATLANTIC	4,891	2,022	690	492	1,065	1,147	5	5													
Del.	177	13	2	2	3	6	N	N													
Md.	917	127	117	N	N	N	N	N													
D.C.	48	49	6	21	48	5	1	3													
Va.	715	260	66	67	N	N	N	N													
W. Va.	9	8	17	18	37	37	4	2													
N.C.	313	290	110	125	N	N	U	U													
S.C.	96	221	31	9	153	235	N	N													
Ga.	1,234	329	147	156	262	343	N	N													
Fla.	1,382	725	194	94	562	521	N	N													
E.S. CENTRAL	1,069	1,300	90	94	115	205	-	-													
Ky.	119	577	18	34	13	24	N	N													
Tenn.	76	79	72	60	102	180	N	N													
Ala.	589	182	-	-	-	1	N	N													
Miss.	285	462	-	-	-	-	-	-													
W.S. CENTRAL	1,156	2,340	106	276	63	242	5	61													
Ark.	155	494	5	-	6	14	-	-													
La.	299	198	-	1	57	228	2	61													
Okla.	437	52	38	37	N	N	3	-													
Tex.	265	1,596	63	238	N	N	-	-													
MOUNTAIN	683	764	471	337	38	34	4	-													
Mont.	3	4	-	-	-	-	-	-													
Idaho	14	33	9	7	N	N	N	N													
Wyo.	8	7	7	11	9	5	-	-													
Colo.	144	196	120	130	-	-	-	-													
N. Mex.	138	107	89	68	29	27	-	-													
Ariz.	307	300	217	118	-	-	N	N													
Utah	28	49	29	3	-	-	4	-													
Nev.	41	68	-	-	-	2	-	-													
PACIFIC	2,058	1,970	478	70	-	4	-	-													
Wash.	129	159	65	-	-	-	N	N													
Oreg.	83	92	N	N	N	N	N	N													
Calif.	1,789	1,662	351	-	N	N	N	N													
Alaska	6	6	-	-	-	-	N	N													
Hawaii	51	51	62	70	-	4	-	-													
Guam	-	37	-	1	-	-	-	-													
P.R.	7	15	N	N	-	-	N	N													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	-	-	U	U													
C.N.M.I.	17	U	-	U	-	-	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


