
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending August 6, 2005 (WEEK 31)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	20,405	23,315	532,160	543,497	2,471	3,343	1,316	1,696													
NEW ENGLAND	778	769	18,760	17,939	-	-	74	96													
Maine	11	14	1,267	1,176	N	N	11	14													
N.H.	20	28	1,090	1,001	-	-	10	16													
Vt.	4	13	571	672	-	-	18	12													
Mass.	368	232	8,434	7,897	-	-	24	39													
R.I.	68	82	1,922	1,991	-	-	2	3													
Conn.	307	400	5,476	5,202	N	N	9	12													
MID. ATLANTIC	4,352	4,995	66,767	67,361	-	-	184	266													
Upstate N.Y.	800	653	13,354	13,313	N	N	53	57													
N.Y. City	2,327	2,723	21,454	20,985	-	-	40	76													
N.J.	574	919	10,239	10,762	N	N	10	23													
Pa.	651	700	21,720	22,301	N	N	81	110													
E.N. CENTRAL	1,938	1,901	81,978	94,438	5	7	275	472													
Ohio	312	229	20,726	23,538	N	N	88	92													
Ind.	236	246	11,584	10,541	N	N	21	43													
Ill.	983	941	24,306	28,013	-	-	27	79													
Mich.	322	380	14,238	21,232	5	7	40	84													
Wis.	85	105	11,124	11,114	N	N	99	174													
W.N. CENTRAL	463	470	32,453	33,152	5	5	210	220													
Minn.	123	118	5,527	6,963	3	N	51	74													
Iowa	50	36	3,994	4,032	N	N	46	42													
Mo.	198	201	13,300	12,178	2	3	81	40													
N. Dak.	5	14	663	1,122	N	N	-	8													
S. Dak.	10	7	1,639	1,429	-	-	13	23													
Nebr.	18	21	3,381	3,069	-	2	3	16													
Kans.	59	73	3,949	4,359	N	N	16	17													
S. ATLANTIC	6,473	7,144	102,527	101,429	-	-	267	268													
Del.	100	102	1,938	1,696	N	N	-	-													
Md.	812	804	11,072	11,178	-	-	16	11													
D.C.	467	460	2,177	2,099	-	-	5	10													
Va.	307	393	11,685	13,205	-	-	14	29													
W. Va.	36	32	1,449	1,685	N	N	4	3													
N.C.	531	390	20,115	16,909	N	N	31	43													
S.C.	386	426	11,653	10,845	-	-	9	11													
Ga.	1,103	1,011	16,945	18,501	-	-	58	89													
Fla.	2,731	3,526	25,493	25,311	N	N	130	72													
E.S. CENTRAL	1,093	1,163	38,569	35,466	-	4	48	66													
Ky.	135	129	5,614	3,368	N	N	19	23													
Tenn.	434	461	12,899	13,449	N	N	14	19													
Ala.	295	286	7,235	8,130	-	-	14	13													
Miss.	229	287	12,821	10,519	-	4	1	11													
W.S. CENTRAL	2,206	2,954	66,022	69,377	1	2	50	56													
Ark.	72	131	4,672	4,889	-	1	2	11													
La.	436	590	11,455	14,373	1	1	3	-													
Okla.	167	120	6,444	6,972	N	N	29	14													
Tex.	1,531	2,113	43,451	43,143	N	N	16	31													
MOUNTAIN	789	828	31,643	32,517	1,682	2,087	73	91													
Mont.	4	4	1,121	1,521	N	N	12	28													
Idaho	9	11	1,341	1,725	N	N	6	9													
Wyo.	2	6	659	641	2	1	2	2													
Colo.	163	162	8,181	7,971	N	N	23	31													
N. Mex.	72	116	2,848	5,288	5	15	4	7													
Ariz.	329	309	11,029	9,932	1,642	2,022	9	11													
Utah	33	41	2,578	2,182	2	11	9	2													
Nev.	177	179	3,886	3,257	31	38	8	1													
PACIFIC	2,313	3,091	93,441	91,818	778	1,238	135	161													
Wash.	229	213	11,089	10,379	N	N	10	14													
Oreg.	136	155	4,968	4,857	-	-	25	21													
Calif.	1,874	2,646	72,330	70,985	778	1,238	100	124													
Alaska	14	21	2,345	2,245	-	-	-	-													
Hawaii	60	56	2,709	3,352	-	-	-	2													
Guam	1	1	-	705	-	-	-	-													
P.R.	537	394	2,274	2,239	N	N	N	N													
V.I.	10	6	119	232	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


